ticker,from_date,to_date
360ONE,2023-01-05,2030-12-31
3MINDIA,2011-04-20,2030-12-31
8KMILES,2011-01-01,2019-10-29
AADHARHFC,2024-10-21,2030-12-31
AARTIDRUGS,2021-06-14,2024-10-21
AARTIIND,2011-04-20,2022-07-22
AARTIIND,2023-01-05,2030-12-31
AAVAS,2019-10-29,2030-12-31
ABB,2011-04-20,2030-12-31
ABBOTINDIA,2019-10-29,2030-12-31
ABCAPITAL,2017-09-01,2030-12-31
ABDL,2026-03-05,2030-12-31
ABFRL,2013-07-17,2030-12-31
ABLBL,2025-10-26,2030-12-31
ABREL,2011-04-20,2018-12-03
ABREL,2019-10-29,2030-12-31
ABSLAMC,2021-06-14,2023-01-05
ABSLAMC,2024-10-21,2030-12-31
ACC,2011-04-20,2030-12-31
ACE,2024-10-21,2030-12-31
ACI,2023-01-05,2024-10-21
ACMESOLAR,2024-10-21,2030-12-31
ACUTAAS,2026-03-05,2030-12-31
ADANIENSOL,2018-10-04,2030-12-31
ADANIENT,2021-06-14,2030-12-31
ADANIGREEN,2018-12-03,2030-12-31
ADANIPORTS,2011-04-20,2030-12-31
ADANIPOWER,2011-04-20,2021-06-14
ADANIPOWER,2023-01-05,2030-12-31
ADVENZYMES,2016-08-01,2022-07-22
AEGISLOG,2018-10-04,2030-12-31
AEGISVOPAK,2025-10-26,2030-12-31
AETHER,2022-07-22,2024-10-21
AFCONS,2024-10-21,2030-12-31
AFFLE,2019-10-29,2030-12-31
AGARWALEYE,2025-10-26,2026-03-05
AIAENG,2011-04-20,2030-12-31
AIIL,2024-10-21,2030-12-31
AJANTPHARM,2011-04-20,2030-12-31
AKUMS,2024-10-21,2026-03-05
AKZOINDIA,2011-06-06,2021-06-14
AKZOINDIA,2025-10-26,2026-03-05
ALBK,2011-01-01,2020-04-01
ALIVUS,2024-10-21,2025-10-26
ALKEM,2015-12-23,2030-12-31
ALKYLAMINE,2019-10-29,2026-03-05
ALLCARGO,2011-06-06,2023-01-05
ALLCARGO,2023-09-05,2024-10-21
ALOKINDS,2021-06-14,2023-01-05
ALOKINDS,2023-09-05,2026-03-05
AMBER,2019-10-29,2030-12-31
AMBUJACEM,2011-04-20,2030-12-31
ANANDRATHI,2024-10-21,2030-12-31
ANANTRAJ,2024-10-21,2030-12-31
ANDHRABANK,2011-01-01,2020-04-01
ANGELONE,2021-06-14,2030-12-31
ANTHEM,2026-03-05,2030-12-31
ANURAS,2021-06-14,2024-10-21
ANURAS,2026-03-05,2030-12-31
APARINDS,2023-01-05,2030-12-31
APLAPOLLO,2011-12-14,2030-12-31
APLLTD,2011-09-20,2026-03-05
APOLLOHOSP,2011-04-20,2030-12-31
APOLLOTYRE,2011-04-20,2030-12-31
APTUS,2021-06-14,2030-12-31
ARE&M,2018-10-04,2030-12-31
ARVINDFASN,2019-10-29,2021-06-14
ASAHIINDIA,2019-10-29,2030-12-31
ASHOKA,2011-06-06,2021-06-14
ASHOKLEY,2011-04-20,2030-12-31
ASIANPAINT,2011-04-20,2030-12-31
ASTERDM,2018-02-26,2030-12-31
ASTRAL,2011-04-20,2030-12-31
ASTRAZEN,2019-10-29,2023-01-05
ASTRAZEN,2024-10-21,2026-03-05
ATGL,2019-10-29,2030-12-31
ATHERENERG,2025-10-26,2030-12-31
ATUL,2011-04-20,2030-12-31
AUBANK,2017-07-11,2030-12-31
AUROPHARMA,2011-04-20,2030-12-31
AVANTIFEED,2011-06-06,2024-10-21
AWL,2022-07-22,2030-12-31
AXISBANK,2011-04-20,2030-12-31
BAJAJ-AUTO,2011-04-20,2030-12-31
BAJAJCON,2018-12-03,2021-06-14
BAJAJCORP,2011-01-01,2018-12-03
BAJAJELEC,2011-06-06,2023-09-05
BAJAJFINSV,2011-04-20,2030-12-31
BAJAJHFL,2024-10-21,2030-12-31
BAJAJHLDNG,2011-04-20,2030-12-31
BAJFINANCE,2011-04-20,2030-12-31
BALAMINES,2021-06-14,2024-10-21
BALKRISIND,2011-04-20,2030-12-31
BALMLAWRIE,2011-06-06,2021-06-14
BALRAMCHIN,2011-04-20,2030-12-31
BANDHANBNK,2018-03-27,2030-12-31
BANKBARODA,2011-04-20,2030-12-31
BANKINDIA,2011-04-20,2030-12-31
BASF,2011-04-20,2023-09-05
BASF,2024-10-21,2026-03-05
BATAINDIA,2011-04-20,2030-12-31
BAYERCROP,2011-04-20,2030-12-31
BBTC,2011-04-20,2030-12-31
BCG,2021-06-14,2024-10-21
BDL,2018-03-23,2030-12-31
BEL,2011-04-20,2030-12-31
BELRISE,2026-03-05,2030-12-31
BEML,2011-04-20,2021-06-14
BEML,2023-01-05,2030-12-31
BERGEPAINT,2011-04-20,2030-12-31
BHARATFIN,2011-01-01,2018-12-03
BHARATFORG,2011-04-20,2030-12-31
BHARATRAS,2019-10-29,2021-06-14
BHARATRAS,2022-07-22,2023-01-05
BHARTIARTL,2011-04-20,2030-12-31
BHARTIHEXA,2024-10-21,2030-12-31
BHEL,2011-04-20,2030-12-31
BIKAJI,2023-01-05,2030-12-31
BIOCON,2011-04-20,2030-12-31
BIRLACORPN,2011-06-06,2024-10-21
BLISSGVS,2011-06-06,2021-06-14
BLS,2023-01-05,2030-12-31
BLUEDART,2011-04-20,2030-12-31
BLUEJET,2025-10-26,2030-12-31
BLUESTARCO,2011-04-20,2030-12-31
BOMDYEING,2011-06-06,2021-06-14
BORORENEW,2021-06-14,2024-10-21
BOSCHLTD,2011-04-20,2030-12-31
BPCL,2011-04-20,2030-12-31
BRIGADE,2011-04-20,2030-12-31
BRITANNIA,2011-04-20,2030-12-31
BSE,2017-02-03,2030-12-31
BSOFT,2019-10-29,2030-12-31
CAMPUS,2022-07-22,2026-03-05
CAMS,2021-06-14,2030-12-31
CANBK,2011-04-20,2030-12-31
CANFINHOME,2011-04-20,2030-12-31
CANHLIFE,2026-03-05,2030-12-31
CAPF,2011-01-01,2018-12-03
CAPLIPOINT,2014-06-23,2023-01-05
CAPLIPOINT,2024-10-21,2030-12-31
CARBORUNIV,2011-04-20,2030-12-31
CARERATING,2012-12-26,2021-06-14
CARTRADE,2026-03-05,2030-12-31
CASTROLIND,2011-04-20,2030-12-31
CCL,2011-04-20,2030-12-31
CDSL,2017-06-30,2030-12-31
CEATLTD,2011-04-20,2030-12-31
CEMPRO,2026-03-05,2030-12-31
CENTRALBK,2011-04-20,2030-12-31
CENTURYPLY,2011-04-20,2026-03-05
CERA,2011-04-20,2026-03-05
CESC,2019-10-29,2030-12-31
CGCL,2019-10-29,2030-12-31
CGPOWER,2011-04-20,2019-10-29
CGPOWER,2021-06-14,2030-12-31
CHALET,2021-06-14,2030-12-31
CHAMBLFERT,2011-04-20,2030-12-31
CHEMPLASTS,2021-06-14,2024-10-21
CHENNPETRO,2011-04-20,2021-06-14
CHENNPETRO,2024-10-21,2030-12-31
CHOICEIN,2025-10-26,2030-12-31
CHOLAFIN,2011-04-20,2030-12-31
CHOLAHLDNG,2019-10-29,2030-12-31
CIEINDIA,2023-09-05,2024-10-21
CIPLA,2011-04-20,2030-12-31
CLEAN,2021-06-14,2030-12-31
COALINDIA,2011-04-20,2030-12-31
COCHINSHIP,2017-08-11,2030-12-31
COFFEEDAY,2015-11-02,2019-10-29
COFORGE,2011-04-20,2030-12-31
COHANCE,2024-10-21,2030-12-31
COLPAL,2011-04-20,2030-12-31
CONCOR,2011-04-20,2030-12-31
CONCORDBIO,2023-09-05,2030-12-31
COROMANDEL,2011-04-20,2030-12-31
CORPBANK,2018-12-03,2020-04-01
CPPLUS,2026-03-05,2030-12-31
CRAFTSMAN,2023-01-05,2030-12-31
CREDITACC,2018-12-03,2030-12-31
CRISIL,2011-04-20,2030-12-31
CROMPTON,2016-05-13,2030-12-31
CSBBANK,2019-10-29,2024-10-21
CUB,2011-04-20,2030-12-31
CUMMINSIND,2011-04-20,2030-12-31
CYIENT,2011-04-20,2030-12-31
DABUR,2011-04-20,2030-12-31
DALBHARAT,2019-10-29,2030-12-31
DATAPATTNS,2023-01-05,2030-12-31
DBCORP,2011-06-06,2021-06-14
DBL,2016-08-11,2023-01-05
DBREALTY,2024-10-21,2026-03-05
DCAL,2011-06-06,2021-06-14
DCBBANK,2011-06-06,2021-06-14
DCMSHRIRAM,2011-04-20,2030-12-31
DEEPAKFERT,2011-04-20,2019-10-29
DEEPAKFERT,2022-07-22,2030-12-31
DEEPAKNTR,2019-10-29,2030-12-31
DELHIVERY,2022-07-22,2030-12-31
DELTACORP,2011-06-06,2024-10-21
DEN,2011-06-06,2019-10-29
DENABANK,2011-01-01,2018-12-03
DEVYANI,2021-06-14,2030-12-31
DHANI,2021-06-14,2023-01-05
DHANUKA,2019-10-29,2021-06-14
DHFL,2011-01-01,2019-10-29
DISHTV,2011-06-06,2021-06-14
DIVISLAB,2011-04-20,2030-12-31
DIXON,2017-09-18,2030-12-31
DLF,2011-04-20,2030-12-31
DMART,2017-03-21,2030-12-31
DOMS,2024-10-21,2030-12-31
DREDGECORP,2011-06-06,2019-10-29
DRREDDY,2011-04-20,2030-12-31
EASEMYTRIP,2021-06-14,2024-10-21
ECLERX,2011-04-20,2030-12-31
EDELWEISS,2011-06-06,2023-09-05
EICHERMOT,2011-04-20,2030-12-31
EIDPARRY,2011-04-20,2030-12-31
EIHOTEL,2011-04-20,2030-12-31
ELECON,2024-10-21,2030-12-31
ELGIEQUIP,2011-04-20,2030-12-31
EMAMILTD,2011-04-20,2030-12-31
EMCURE,2024-10-21,2030-12-31
EMMVEE,2026-03-05,2030-12-31
ENDURANCE,2016-10-19,2030-12-31
ENGINERSIN,2011-04-20,2030-12-31
ENRIN,2025-10-26,2030-12-31
EPIGRAL,2023-09-05,2024-10-21
EPL,2021-06-14,2024-10-21
EQUITAS,2011-01-01,2022-07-22
EQUITASBNK,2021-06-14,2024-10-21
ERIS,2017-06-30,2022-07-22
ERIS,2023-09-05,2030-12-31
EROSMEDIA,2011-06-06,2019-10-29
ESABINDIA,2019-10-29,2021-06-14
ESCORTS,2011-04-20,2030-12-31
ESSELPACK,2019-10-29,2021-06-14
ETERNAL,2024-10-21,2030-12-31
EVEREADY,2011-06-06,2019-10-29
EXCELCROP,2011-01-01,2019-10-29
EXIDEIND,2011-04-20,2030-12-31
FACT,2021-06-14,2030-12-31
FCONSUMER,2011-11-04,2021-06-14
FDC,2011-06-06,2024-10-21
FEDERALBNK,2011-04-20,2030-12-31
FINCABLES,2011-04-20,2030-12-31
FINEORG,2019-10-29,2024-10-21
FINPIPE,2011-04-20,2026-03-05
FIRSTCRY,2024-10-21,2030-12-31
FIVESTAR,2023-01-05,2030-12-31
FLFL,2013-10-01,2019-10-29
FLUOROCHEM,2019-10-29,2030-12-31
FORCEMOT,2025-10-26,2030-12-31
FORTIS,2018-12-03,2030-12-31
FRETAIL,2016-08-29,2021-06-14
FSL,2011-04-20,2030-12-31
GABRIEL,2026-03-05,2030-12-31
GAEL,2021-06-14,2024-10-21
