"SYMBOL
",,,,,,,,,,,,,,
NIFTY 500,,,,,,,,,,,,,,
GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED (XNSE:GMDCLTD),GMDCLTD,GMDCLTD.NS,,,,,,,,,,,,
SAREGAMA INDIA LIMITED (XNSE:SAREGAMA),SAREGAMA,SAREGAMA.NS,,,,,,,,,,,,
SAMMAAN CAPITAL LIMITED (XNSE:SAMMAANCAP),SAMMAANCAP,SAMMAANCAP.NS,,,,,,,,,,,,
CHENNAI PETROLEUM CORPORATION LIMITED (XNSE:CHENNPETRO),CHENNPETRO,CHENNPETRO.NS,,,,,,,,,,,,
PVR INOX LIMITED (XNSE:PVRINOX),PVRINOX,PVRINOX.NS,,,,,,,,,,,,
WELSPUN LIVING LIMITED (XNSE:WELSPUNLIV),WELSPUNLIV,WELSPUNLIV.NS,,,,,,,,,,,,
DALMIA BHARAT LIMITED (XNSE:DALBHARAT),DALBHARAT,DALBHARAT.NS,,,,,,,,,,,,
JUBILANT PHARMOVA LIMITED (XNSE:JUBLPHARMA),JUBLPHARMA,JUBLPHARMA.NS,,,,,,,,,,,,
WHIRLPOOL OF INDIA LIMITED (XNSE:WHIRLPOOL),WHIRLPOOL,WHIRLPOOL.NS,,,,,,,,,,,,
TRIVENI TURBINE LIMITED (XNSE:TRITURBINE),TRITURBINE,TRITURBINE.NS,,,,,,,,,,,,
NMDC LIMITED (XNSE:NMDC),NMDC,NMDC.NS,,,,,,,,,,,,
SUMITOMO CHEMICAL INDIA LIMITED (XNSE:SUMICHEM),SUMICHEM,SUMICHEM.NS,,,,,,,,,,,,
STEEL AUTHORITY OF INDIA LIMITED (XNSE:SAIL),SAIL,SAIL.NS,,,,,,,,,,,,
RAYMOND LIMITED (XNSE:RAYMOND),RAYMOND,RAYMOND.NS,,,,,,,,,,,,
WIPRO LIMITED (XNSE:WIPRO),WIPRO,WIPRO.NS,,,,,,,,,,,,
GUJARAT PIPAVAV PORT LIMITED (XNSE:GPPL),GPPL,GPPL.NS,,,,,,,,,,,,
