ticker,rows,first,last,status
AARTIDRUGS,3700,2011-06-06,2026-06-05,OK
ABDL,479,2024-07-02,2026-06-05,OK
ABLBL,237,2025-06-24,2026-06-05,OK
ACI,875,2022-11-21,2026-06-05,OK
ACUTAAS,1170,2021-09-14,2026-06-05,OK
ADVENZYMES,2433,2016-08-01,2026-06-05,OK
AEGISVOPAK,253,2025-06-02,2026-06-05,OK
AETHER,991,2022-06-03,2026-06-05,OK
AGARWALEYE,328,2025-02-04,2026-06-05,OK
AKZOINDIA,3700,2011-06-06,2026-06-05,OK
ALLCARGO,3700,2011-06-06,2026-06-05,WARN
ANTHEM,218,2025-07-21,2026-06-05,OK
ANURAS,1285,2021-03-24,2026-06-05,OK
ARVINDFASN,1790,2019-03-08,2026-06-05,OK
ASHOKA,3700,2011-06-06,2026-06-05,OK
ATHERENERG,272,2025-05-06,2026-06-05,OK
AVANTIFEED,3699,2011-06-06,2026-06-05,WARN
BAJAJCON,3700,2011-06-06,2026-06-05,OK
BAJAJELEC,3700,2011-06-06,2026-06-05,OK
BALAMINES,3700,2011-06-06,2026-06-05,OK
BALMLAWRIE,3700,2011-06-06,2026-06-05,OK
BCG,2738,2015-05-08,2026-06-05,WARN
BELRISE,256,2025-05-28,2026-06-05,OK
BHARATRAS,3699,2011-06-06,2026-06-05,WARN
BIRLACORPN,3699,2011-06-06,2026-06-05,OK
BLISSGVS,3700,2011-06-06,2026-06-05,OK
BLUEJET,641,2023-11-01,2026-06-05,OK
BOMDYEING,3700,2011-06-06,2026-06-05,OK
BORORENEW,1984,2018-05-25,2026-06-05,OK
CANHLIFE,157,2025-10-17,2026-06-05,OK
CARERATING,3317,2012-12-26,2026-06-05,OK
CARTRADE,1186,2021-08-20,2026-06-05,OK
CEMPRO,3700,2011-06-06,2026-06-05,OK
CHEMPLASTS,1184,2021-08-24,2026-06-05,OK
CHOICEIN,1027,2022-04-08,2026-06-05,OK
CIEINDIA,3698,2011-06-06,2026-06-05,OK
COFFEEDAY,2615,2015-11-02,2026-06-05,WARN
CPPLUS,207,2025-08-05,2026-06-05,OK
CSBBANK,1612,2019-12-04,2026-06-05,OK
DBCORP,3699,2011-06-06,2026-06-05,OK
DBL,2423,2016-08-11,2026-06-05,OK
DCAL,3699,2011-06-06,2026-06-05,WARN
DCBBANK,3700,2011-06-06,2026-06-05,OK
DELTACORP,3700,2011-06-06,2026-06-05,OK
DEN,3698,2011-06-06,2026-06-05,OK
