ticker,first_seen,last_seen
8KMILES,2018-10-04,2019-02-01
AARTIDRUGS,2022-05-04,2024-02-26
ABDL,2026-05-02,2026-05-02
ABLBL,2026-01-07,2026-05-02
ACI,2023-04-04,2024-02-26
ACUTAAS,2026-05-02,2026-05-02
ADVENZYMES,2018-10-04,2022-05-04
AEGISVOPAK,2026-01-07,2026-05-02
AETHER,2022-10-09,2024-02-26
AGARWALEYE,2026-01-07,2026-01-07
AKZOINDIA,2018-10-04,2026-01-07
ALBK,2018-10-04,2019-02-01
ALLCARGO,2018-10-04,2024-02-26
ANDHRABANK,2018-10-04,2019-02-01
ANTHEM,2026-05-02,2026-05-02
ANURAS,2022-05-04,2026-05-02
ARVINDFASN,2020-07-25,2020-07-25
ASHOKA,2018-10-04,2020-07-25
ATHERENERG,2026-01-07,2026-05-02
AVANTIFEED,2018-10-04,2024-02-26
BAJAJCON,2019-02-01,2020-07-25
BAJAJCORP,2018-10-04,2018-10-04
BAJAJELEC,2018-10-04,2023-04-04
BALAMINES,2022-05-04,2024-02-26
BALMLAWRIE,2018-10-04,2020-07-25
BCG,2022-05-04,2024-02-26
BELRISE,2026-05-02,2026-05-02
BHARATFIN,2018-10-04,2018-10-04
BHARATRAS,2020-07-25,2022-10-09
BIRLACORPN,2018-10-04,2024-02-26
BLISSGVS,2018-10-04,2020-07-25
BLUEJET,2026-01-07,2026-05-02
BOMDYEING,2018-10-04,2020-07-25
BORORENEW,2022-05-04,2024-02-26
CANHLIFE,2026-05-02,2026-05-02
CAPF,2018-10-04,2018-10-04
CARERATING,2018-10-04,2020-07-25
CARTRADE,2026-05-02,2026-05-02
CEMPRO,2026-05-02,2026-05-02
CHEMPLASTS,2022-05-04,2024-02-26
CHOICEIN,2026-01-07,2026-05-02
CIEINDIA,2024-02-07,2024-02-26
COFFEEDAY,2018-10-04,2019-02-01
CORPBANK,2019-02-01,2019-02-01
CPPLUS,2026-05-02,2026-05-02
CSBBANK,2020-07-25,2024-02-26
DBCORP,2018-10-04,2020-07-25
DBL,2018-10-04,2022-10-09
DCAL,2018-10-04,2020-07-25
DCBBANK,2018-10-04,2020-07-25
DELTACORP,2018-10-04,2024-02-26
DEN,2018-10-04,2019-02-01
DENABANK,2018-10-04,2018-10-04
DHANI,2022-05-04,2022-10-09
DHANUKA,2020-07-25,2020-07-25
DHFL,2018-10-04,2019-02-01
DISHTV,2018-10-04,2020-07-25
DREDGECORP,2018-10-04,2019-02-01
EASEMYTRIP,2022-05-04,2024-02-26
EDELWEISS,2018-10-04,2023-04-04
EMMVEE,2026-05-02,2026-05-02
ENRIN,2026-01-07,2026-05-02
EPIGRAL,2024-02-07,2024-02-26
EPL,2022-05-04,2024-02-26
EQUITAS,2018-10-04,2022-05-04
EQUITASBNK,2022-05-04,2024-02-26
EROSMEDIA,2018-10-04,2019-02-01
ESABINDIA,2020-07-25,2020-07-25
ESSELPACK,2020-07-25,2020-07-25
EVEREADY,2018-10-04,2019-02-01
EXCELCROP,2018-10-04,2019-02-01
FCONSUMER,2018-10-04,2020-07-25
FDC,2018-10-04,2024-02-26
FINEORG,2020-07-25,2024-02-26
FLFL,2018-10-04,2019-02-01
FORCEMOT,2026-01-07,2026-05-02
FRETAIL,2018-10-04,2020-07-25
GABRIEL,2026-05-02,2026-05-02
GAEL,2022-05-04,2024-02-26
GALAXYSURF,2018-10-04,2024-02-26
GALLANTT,2026-05-02,2026-05-02
GARFIBRES,2020-07-25,2023-04-04
GAYAPROJ,2018-10-04,2019-02-01
GDL,2018-10-04,2019-02-01
GEPIL,2018-10-04,2020-07-25
GET&D,2018-10-04,2020-07-25
GHCL,2018-10-04,2020-07-25
GLS,2022-05-04,2024-02-26
GMMPFAUDLR,2020-07-25,2024-02-26
GOCOLORS,2022-05-04,2024-02-26
GREAVESCOT,2018-10-04,2020-07-25
GREENPANEL,2022-10-09,2023-04-04
GREENPLY,2018-10-04,2019-02-01
GRINDWELL,2018-10-04,2024-02-26
GRINFRA,2022-05-04,2024-02-26
GROWW,2026-05-02,2026-05-02
GSFC,2018-10-04,2024-02-26
GSKCONS,2018-10-04,2019-02-01
GUJALKALI,2018-10-04,2024-02-26
GUJFLUORO,2018-10-04,2019-02-01
