effective_date,action,ticker,source
2019-02-01,add,ADANIGREEN,wayback
2019-02-01,add,BAJAJCON,wayback
2019-02-01,add,CORPBANK,wayback
2019-02-01,add,CREDITACC,wayback
2019-02-01,add,FORTIS,wayback
2019-02-01,add,RITES,wayback
2019-02-01,add,SFL,wayback
2019-02-01,add,VARROC,wayback
2019-02-01,remove,ABREL,wayback
2019-02-01,remove,BAJAJCORP,wayback
2019-02-01,remove,BHARATFIN,wayback
2019-02-01,remove,CAPF,wayback
2019-02-01,remove,DENABANK,wayback
2019-02-01,remove,HSIL,wayback
2019-02-01,remove,IIFL,wayback
2019-02-01,remove,VIJAYABANK,wayback
2020-07-25,add,AAVAS,wayback
2020-07-25,add,ABBOTINDIA,wayback
2020-07-25,add,ABREL,wayback
2020-07-25,add,AFFLE,wayback
2020-07-25,add,ALKYLAMINE,wayback
2020-07-25,add,AMBER,wayback
2020-07-25,add,ARVINDFASN,wayback
2020-07-25,add,ASAHIINDIA,wayback
2020-07-25,add,ASTRAZEN,wayback
2020-07-25,add,ATGL,wayback
2020-07-25,add,BHARATRAS,wayback
2020-07-25,add,BSOFT,wayback
2020-07-25,add,CESC,wayback
2020-07-25,add,CGCL,wayback
2020-07-25,add,CHOLAHLDNG,wayback
2020-07-25,add,CSBBANK,wayback
2020-07-25,add,DALBHARAT,wayback
2020-07-25,add,DEEPAKNTR,wayback
2020-07-25,add,DHANUKA,wayback
2020-07-25,add,ESABINDIA,wayback
2020-07-25,add,ESSELPACK,wayback
2020-07-25,add,FINEORG,wayback
2020-07-25,add,FLUOROCHEM,wayback
2020-07-25,add,GARFIBRES,wayback
2020-07-25,add,GMMPFAUDLR,wayback
2020-07-25,add,GRSE,wayback
2020-07-25,add,HDFCAMC,wayback
2020-07-25,add,ICRA,wayback
2020-07-25,add,IIFL,wayback
2020-07-25,add,IIFLWAM,wayback
2020-07-25,add,INDIAMART,wayback
2020-07-25,add,INDOSTAR,wayback
2020-07-25,add,INGERRAND,wayback
2020-07-25,add,IRCON,wayback
2020-07-25,add,IRCTC,wayback
2020-07-25,add,JAMNAAUTO,wayback
2020-07-25,add,JKPAPER,wayback
2020-07-25,add,KEI,wayback
2020-07-25,add,KPITTECH,wayback
2020-07-25,add,KSB,wayback
2020-07-25,add,LAOPALA,wayback
2020-07-25,add,MAHABANK,wayback
2020-07-25,add,MAHSCOOTER,wayback
2020-07-25,add,MAHSEAMLES,wayback
2020-07-25,add,MCX,wayback
2020-07-25,add,METROPOLIS,wayback
2020-07-25,add,MIDHANI,wayback
2020-07-25,add,NESTLEIND,wayback
2020-07-25,add,ORIENTELEC,wayback
2020-07-25,add,ORIENTREF,wayback
2020-07-25,add,PGHL,wayback
2020-07-25,add,POLYCAB,wayback
2020-07-25,add,POLYMED,wayback
2020-07-25,add,RATNAMANI,wayback
2020-07-25,add,RVNL,wayback
2020-07-25,add,SCHNEIDER,wayback
2020-07-25,add,SEQUENT,wayback
2020-07-25,add,SPANDANA,wayback
2020-07-25,add,SPICEJET,wayback
2020-07-25,add,SUMICHEM,wayback
2020-07-25,add,SUPRAJIT,wayback
2020-07-25,add,SWSOLAR,wayback
2020-07-25,add,TASTYBITE,wayback
