ticker,member_days_in_window,first,last,live_on_yf
GSPL,3466,2017-01-01,2026-06-29,False
TATAMOTORS,3220,2017-01-01,2025-10-26,False
PEL,3053,2017-01-01,2025-10-26,False
IBULHSGFIN,2850,2017-01-01,2024-10-21,False
ISEC,2850,2017-01-01,2024-10-21,False
AVANTIFEED,2850,2017-01-01,2024-10-21,True
LAXMIMACH,2850,2017-01-01,2024-10-21,False
INFIBEAM,2850,2017-01-01,2024-10-21,False
QUESS,2850,2017-01-01,2024-10-21,True
TATAMTRDVR,2850,2017-01-01,2024-10-21,False
TV18BRDCST,2850,2017-01-01,2024-10-21,False
SWANENERGY,2817,2017-01-01,2025-10-26,False
ALLCARGO,2607,2017-01-01,2024-10-21,True
MAHINDCIE,2438,2017-01-01,2023-09-05,False
PVR,2438,2017-01-01,2023-09-05,False
THYROCARE,2195,2017-01-01,2023-01-05,True
INOXLEISUR,2195,2017-01-01,2023-01-05,False
LTI,2195,2017-01-01,2023-01-05,False
JSLHISAR,2028,2017-01-01,2022-07-22,False
EQUITAS,2028,2017-01-01,2022-07-22,False
STAR,2028,2017-01-01,2022-07-22,True
MINDTREE,2028,2017-01-01,2022-07-22,False
JAMNAAUTO,1819,2019-10-29,2024-10-21,True
RELCAPITAL,1790,2017-01-01,2021-11-26,False
AKZOINDIA,1755,2017-01-01,2026-03-05,False
GEPIL,1625,2017-01-01,2021-06-14,False
FCONSUMER,1625,2017-01-01,2021-06-14,True
GET&D,1625,2017-01-01,2021-06-14,False
HEXAWARE,1625,2017-01-01,2021-06-14,False
NBVENTURES,1625,2017-01-01,2021-06-14,False
INFRATEL,1625,2017-01-01,2021-06-14,False
PHILIPCARB,1625,2017-01-01,2021-06-14,False
STRTECH,1625,2017-01-01,2021-06-14,False
UJJIVAN,1625,2017-01-01,2021-06-14,False
JCHAC,1625,2017-01-01,2021-06-14,False
DCAL,1625,2017-01-01,2021-06-14,True
IBVENTURES,1625,2017-01-01,2021-06-14,False
FRETAIL,1625,2017-01-01,2021-06-14,True
LAKSHVILAS,1426,2017-01-01,2020-11-27,False
TCNSBRANDS,1407,2019-10-29,2023-09-05,False
GARFIBRES,1407,2019-10-29,2023-09-05,True
BCG,1225,2021-06-14,2024-10-21,True
SUVENPHAR,1225,2021-06-14,2024-10-21,False
ZOMATO,1225,2021-06-14,2024-10-21,False
ALBK,1186,2017-01-01,2020-04-01,False
SYNDIBANK,1186,2017-01-01,2020-04-01,False
ORIENTBANK,1186,2017-01-01,2020-04-01,False
ANDHRABANK,1186,2017-01-01,2020-04-01,False
IIFLWAM,1164,2019-10-29,2023-01-05,False
LTIM,1155,2023-01-05,2026-03-05,False
TIFIN,1031,2017-01-01,2019-10-29,False
RCOM,1031,2017-01-01,2019-10-29,True
RNAVAL,1031,2017-01-01,2019-10-29,True
TATASPONGE,1031,2017-01-01,2019-10-29,False
MERCK,1031,2017-01-01,2019-10-29,False
EXCELCROP,1031,2017-01-01,2019-10-29,False
COFFEEDAY,1031,2017-01-01,2019-10-29,True
DHFL,1031,2017-01-01,2019-10-29,False
EROSMEDIA,1031,2017-01-01,2019-10-29,True
GDL,1031,2017-01-01,2019-10-29,False
GREENPLY,1031,2017-01-01,2019-10-29,True
8KMILES,1031,2017-01-01,2019-10-29,False
HCC,1031,2017-01-01,2019-10-29,True
KIOCL,1031,2017-01-01,2019-10-29,True
JPASSOCIAT,1031,2017-01-01,2019-10-29,False
ITDCEM,1031,2017-01-01,2019-10-29,False
GAYAPROJ,1031,2017-01-01,2019-10-29,True
GUJFLUORO,1031,2017-01-01,2019-10-29,False
GVKPIL,1031,2017-01-01,2019-10-29,True
GSKCONS,1031,2017-01-01,2019-10-29,False
HCL-INSYS,1031,2017-01-01,2019-10-29,True
SUVEN,1031,2017-01-01,2019-10-29,True
MANPASAND,1031,2017-01-01,2019-10-29,False
MAXINDIA,1031,2017-01-01,2019-10-29,False
JETAIRWAYS,1031,2017-01-01,2019-10-29,True
SREINFRA,1031,2017-01-01,2019-10-29,False
RUPA,1031,2017-01-01,2019-10-29,True
SPICEJET,997,2019-10-29,2022-07-22,False
SEQUENT,997,2019-10-29,2022-07-22,False
SHANKARA,937,2017-04-05,2019-10-29,True
GLS,815,2021-06-14,2024-10-21,False
SPTL,812,2017-08-08,2019-10-29,False
BHARATRAS,761,2019-10-29,2023-01-05,True
BAJAJCORP,701,2017-01-01,2018-12-03,False
HSIL,701,2017-01-01,2018-12-03,False
BHARATFIN,701,2017-01-01,2018-12-03,False
CAPF,701,2017-01-01,2018-12-03,False
DENABANK,701,2017-01-01,2018-12-03,False
VIJAYABANK,701,2017-01-01,2018-12-03,False
ORIENTREF,594,2019-10-29,2021-06-14,False
ESSELPACK,594,2019-10-29,2021-06-14,False
TATASTLBSL,594,2019-10-29,2021-06-14,False
DHANI,570,2021-06-14,2023-01-05,False
CORPBANK,485,2018-12-03,2020-04-01,False
HEMIPROP,403,2021-06-14,2022-07-22,True
TATASTLLP,403,2021-06-14,2022-07-22,False
SOLARA,403,2021-06-14,2022-07-22,True
JINDWORLD,243,2023-01-05,2023-09-05,True
KENNAMET,243,2023-01-05,2023-09-05,True
RUSTOMJEE,243,2023-01-05,2023-09-05,True
MFL,243,2023-01-05,2023-09-05,False
TMB,243,2023-01-05,2023-09-05,True
NIITLTD,167,2022-07-22,2023-01-05,True
