ticker,signal_date,entry_date,exit_date,why,close_sig,st_line,ema200,pivot,atr14,entry_px,stop_px,target_px,exit_px,R,mfe_R,mae_R,held_d,stop_pct,gap_flag,pnl
DCAL,2017-01-09,2017-01-10,2017-01-20,stop,250.27,,197.29,229.45,9.42,249.58,231.43,285.88,231.43,-1.0,0.32,-1.17,8,7.3,False,-7755.0
DCAL,2017-01-23,2017-01-24,2017-02-14,stop,230.31,,201.21,229.45,8.38,231.0,213.54,265.93,213.54,-1.0,0.48,-1.37,14,7.6,False,-7958.0
RELCAPITAL,2017-01-17,2017-01-18,2017-02-17,target,389.35,,380.21,386.31,9.34,392.8,370.67,437.06,437.06,2.0,2.18,-0.89,21,5.6,False,10678.0
MANPASAND,2017-01-25,2017-01-27,2017-02-28,target,315.82,,302.02,315.75,10.64,318.2,294.54,365.52,365.52,2.0,2.0,-0.46,21,7.4,False,14184.0
DCAL,2017-03-06,2017-03-07,2017-03-28,target,232.69,,207.25,232.44,8.27,234.24,216.15,270.41,270.41,2.0,2.44,-0.61,14,7.7,False,15123.0
SADBHIN,2017-03-23,2017-03-24,2017-03-31,stop,101.99,,95.65,98.71,3.29,101.2,95.41,112.78,95.41,-1.0,0.43,-1.3,5,5.7,False,-6308.0
QUESS,2017-02-14,2017-02-15,2017-04-11,target,586.35,,528.42,582.27,19.09,584.79,548.18,658.02,658.02,2.0,2.89,-0.68,36,6.3,False,12007.0
GET&D,2017-03-23,2017-03-24,2017-04-11,target,318.25,,300.25,313.52,8.69,318.55,300.86,353.93,353.93,2.0,2.06,-0.47,11,5.6,False,10749.0
LAXMIMACH,2017-03-22,2017-03-23,2017-04-17,target,3804.25,,3695.64,3745.48,75.95,3865.19,3652.35,4290.86,4290.86,2.0,3.07,-0.05,15,5.5,False,10565.0
IFCI,2017-03-23,2017-03-24,2017-04-18,stop,30.25,,28.09,29.93,0.95,30.2,28.36,33.88,28.36,-1.0,0.24,-1.09,15,6.1,False,-6687.0
HINDZINC,2017-04-10,2017-04-11,2017-04-18,stop,141.11,,126.43,139.99,3.65,141.11,133.82,155.7,133.82,-1.0,0.02,-1.1,4,5.2,False,-6012.0
VINATIORGA,2017-04-18,2017-04-19,2017-04-20,target,363.22,,320.61,360.58,10.75,358.33,341.71,391.57,400.19,2.519,2.7,0.0,1,4.6,False,11773.0
INDIACEM,2017-04-19,2017-04-20,2017-04-24,target,168.0,,135.03,156.86,5.56,169.2,156.88,193.85,193.85,2.0,2.22,0.0,2,7.3,False,14949.0
BANKBARODA,2017-04-13,2017-04-17,2017-05-05,target,149.75,,134.63,147.71,4.03,151.76,141.7,171.88,171.88,2.0,2.08,-0.4,13,6.6,False,13460.0
DBCORP,2017-04-21,2017-04-24,2017-05-05,stop,261.49,,253.34,260.06,5.55,265.49,250.39,295.67,250.39,-1.0,0.78,-1.41,8,5.7,False,-6669.0
ZYDUSWELL,2017-03-27,2017-03-28,2017-05-12,stop,171.0,,167.35,169.23,3.24,171.27,164.52,184.76,164.52,-1.0,0.4,-1.35,30,3.9,False,-4469.0
KNRCON,2017-03-30,2017-03-31,2017-05-15,target,93.49,,86.1,91.35,2.79,93.71,87.9,105.33,105.33,2.0,2.11,-0.39,28,6.2,False,12137.0
ZEEL,2017-05-11,2017-05-12,2017-05-16,stop,504.91,,452.68,485.12,13.38,503.94,478.15,555.51,478.15,-1.0,0.0,-1.15,2,5.1,False,-6185.0
JSWSTEEL,2017-03-23,2017-03-24,2017-05-17,target,168.66,,156.44,168.54,5.03,168.7,158.59,188.92,188.92,2.0,2.01,-0.82,35,6.0,False,11640.0
GPPL,2017-05-16,2017-05-17,2017-05-22,stop,107.12,,96.43,106.97,3.68,105.15,99.75,115.94,99.75,-1.0,0.0,-1.19,3,5.1,False,-6190.0
WELSPUNLIV,2017-04-10,2017-04-11,2017-05-23,stop,80.47,,69.13,80.27,3.1,81.25,74.26,95.24,74.26,-1.0,1.57,-1.17,28,8.6,False,-9657.0
HFCL,2017-04-17,2017-04-18,2017-05-23,stop,14.69,,12.99,14.02,0.57,15.13,13.54,18.31,13.54,-1.0,0.96,-1.45,24,10.5,False,-11713.0
SYMPHONY,2017-05-04,2017-05-05,2017-05-23,stop,1348.61,,1182.21,1347.08,39.6,1331.32,1269.41,1455.13,1269.41,-1.0,1.19,-1.42,12,4.7,False,-5668.0
THOMASCOOK,2017-05-15,2017-05-16,2017-05-23,stop,79.77,,70.71,78.07,2.44,79.88,74.9,89.84,74.9,-1.0,0.26,-1.45,5,6.2,False,-7397.0
RNAVAL,2017-03-16,2017-03-17,2017-05-24,stop,17160.0,,16818.73,16367.08,563.12,17325.0,16033.76,19907.47,16033.76,-1.0,1.64,-1.75,45,7.5,False,-8128.0
SHRIRAMFIN,2017-05-04,2017-05-05,2017-05-24,stop,174.83,,163.17,174.67,5.61,175.57,163.6,199.52,163.6,-1.0,0.0,-1.29,13,6.8,False,-8057.0
MANPASAND,2017-05-12,2017-05-15,2017-05-26,target,366.74,,326.74,357.36,11.19,370.52,344.36,422.86,422.86,2.0,2.17,-0.36,9,7.1,False,14807.0
MPHASIS,2017-05-22,2017-05-23,2017-06-05,target,467.29,,449.01,465.74,12.56,466.05,442.18,513.81,513.81,2.0,2.34,-0.64,9,5.1,False,10324.0
LUXIND,2017-06-02,2017-06-05,2017-06-14,target,799.47,,732.29,772.87,23.96,809.74,751.56,926.1,926.1,2.0,4.23,-0.22,7,7.2,False,14545.0
BASF,2017-05-25,2017-05-26,2017-06-15,target,1295.26,,1194.19,1274.76,41.37,1303.61,1212.52,1485.8,1485.8,2.0,2.19,-0.59,14,7.0,False,13859.0
HSIL,2017-05-22,2017-05-23,2017-06-20,target,349.2,,308.05,344.73,10.92,352.75,327.35,403.55,403.55,2.0,2.05,-0.81,20,7.2,False,14726.0
IFBIND,2017-06-13,2017-06-14,2017-06-22,target,649.2,,555.8,647.68,16.42,643.35,616.37,697.31,697.31,2.0,4.21,0.0,6,4.2,False,8699.0
WELCORP,2017-05-25,2017-05-26,2017-06-29,target,75.16,,69.09,72.7,3.27,76.69,68.61,92.86,92.86,2.0,2.06,-0.46,23,10.5,False,21163.0
TATASTEEL,2017-05-25,2017-05-26,2017-06-30,target,35.72,,32.78,35.7,1.01,35.88,33.69,40.24,40.24,2.0,2.06,0.0,24,6.1,False,11999.0
HEG,2017-06-21,2017-06-22,2017-07-03,target,55.96,,36.62,48.14,3.18,54.94,49.6,65.62,65.62,2.0,2.03,-0.8,6,9.7,False,21329.0
RELIANCE,2017-06-19,2017-06-20,2017-07-12,target,307.38,,265.45,305.36,5.83,307.32,295.72,330.54,330.54,2.0,2.18,-0.71,15,3.8,False,7891.0
CHOLAFIN,2017-03-27,2017-03-28,2017-07-13,target,195.34,,187.05,194.6,6.01,197.32,183.31,225.33,225.33,2.0,2.14,-1.0,73,7.1,False,13784.0
M&MFIN,2017-06-28,2017-06-29,2017-07-25,target,182.63,,167.05,181.8,6.65,183.45,169.34,211.67,211.67,2.0,2.59,-0.08,18,7.7,False,16707.0
TNPL,2017-05-25,2017-05-26,2017-07-27,target,266.97,,264.21,265.43,9.87,269.14,247.24,312.96,312.96,2.0,2.31,-0.94,43,8.1,False,16228.0
PRSMJOHNSN,2017-06-14,2017-06-15,2017-08-10,stop,119.78,,96.95,115.35,4.09,118.1,111.59,131.11,111.59,-1.0,1.58,-1.07,39,5.5,False,-6709.0
CERA,2017-05-23,2017-05-24,2017-08-11,stop,2755.64,,2297.55,2738.68,96.03,2757.58,2563.58,3145.6,2563.58,-1.0,1.32,-1.17,56,7.0,False,-7767.0
SBIN,2017-07-24,2017-07-25,2017-08-11,stop,266.97,,246.09,265.84,4.74,268.29,257.48,289.9,257.48,-1.0,1.58,-1.56,13,4.0,False,-5419.0
VIPIND,2017-08-11,2017-08-14,2017-08-28,target,181.71,,159.84,178.94,7.12,183.11,167.47,214.39,214.39,2.0,2.25,0.0,8,8.5,False,19505.0
BOMDYEING,2017-08-24,2017-08-28,2017-08-30,target,81.91,,68.83,76.72,3.95,82.73,74.01,100.16,100.16,2.0,2.36,0.0,2,10.5,False,25196.0
SCI,2017-06-29,2017-06-30,2017-08-31,target,76.76,,64.26,72.83,3.46,77.13,69.85,91.69,91.69,2.0,2.43,-0.46,42,9.4,False,20895.0
BBTC,2017-08-30,2017-08-31,2017-09-01,target,909.2,,762.96,879.74,26.96,911.44,855.29,1023.76,1023.76,2.0,2.6,0.0,1,6.2,False,14949.0
M&M,2017-07-11,2017-07-12,2017-09-05,stop,639.84,,600.08,639.07,12.65,642.07,614.54,697.13,614.54,-1.0,0.87,-1.15,37,4.3,False,-5756.0
MOIL,2017-08-11,2017-08-14,2017-09-08,target,128.65,,128.37,123.99,4.25,130.33,120.16,150.67,150.67,2.0,2.14,0.0,17,7.8,False,17773.0
MANPASAND,2017-07-26,2017-07-27,2017-09-13,target,395.34,,350.9,391.44,12.32,397.63,370.7,451.49,451.69,2.007,2.17,-0.76,32,6.8,False,15923.0
SHRIRAMFIN,2017-09-04,2017-09-05,2017-09-22,stop,184.71,,167.78,178.7,5.46,185.36,173.8,208.48,173.8,-1.0,0.6,-1.3,13,6.2,False,-8601.0
ADANIPOWER,2017-09-12,2017-09-13,2017-09-22,stop,6.63,,6.33,6.47,0.28,6.6,6.07,7.67,6.07,-1.0,0.06,-1.03,7,8.1,False,-11274.0
TORNTPHARM,2017-09-21,2017-09-22,2017-09-25,stop,602.89,,574.89,576.88,17.99,605.58,566.92,682.91,566.11,-1.021,0.0,-1.53,1,6.4,True,-9172.0
MAHINDCIE,2017-07-12,2017-07-13,2017-09-27,stop,228.07,,202.28,227.94,6.64,228.92,214.78,257.19,214.78,-1.0,1.6,-1.42,52,6.2,False,-8050.0
UBL,2017-09-25,2017-09-26,2017-09-29,stop,834.45,,770.87,791.02,19.62,826.81,795.21,890.01,795.21,-1.0,0.26,-1.01,3,3.8,False,-5427.0
ZYDUSWELL,2017-09-21,2017-09-22,2017-10-04,target,173.3,,168.25,172.77,3.91,174.05,165.49,191.17,191.17,2.0,2.13,-0.43,7,4.9,False,12198.0
PRESTIGE,2017-06-30,2017-07-03,2017-10-09,target,244.36,,198.67,231.94,10.81,245.28,222.75,290.34,290.34,2.0,2.24,-0.55,67,9.2,False,20728.0
IFBIND,2017-08-30,2017-08-31,2017-10-11,target,716.9,,615.91,703.5,23.9,705.1,669.11,777.08,777.08,2.0,2.5,-0.45,28,5.1,False,12276.0
AXISBANK,2017-05-19,2017-05-22,2017-10-18,stop,494.14,,470.71,492.28,13.25,496.4,467.65,553.92,467.65,-1.0,1.67,-1.32,103,5.8,False,-6747.0
GVKPIL,2017-10-06,2017-10-09,2017-10-25,target,12.4,,8.8,12.32,0.61,12.4,11.19,14.83,15.45,2.512,2.51,-0.74,11,9.8,False,31304.0
BIRLACORPN,2017-10-10,2017-10-11,2017-10-31,target,890.01,,785.04,887.41,22.2,914.77,845.61,1053.1,1053.1,2.0,2.67,-0.17,13,7.6,False,18997.0
GREENPLY,2017-01-27,2017-01-30,2017-11-07,target,263.12,,229.17,258.68,9.71,263.12,243.7,301.97,301.97,2.0,2.2,-0.82,191,7.4,False,14103.0
TEAMLEASE,2017-11-06,2017-11-07,2017-11-08,target,1632.9,,1325.53,1622.33,47.83,1650.0,1537.24,1875.51,1875.51,2.0,2.93,0.0,1,6.8,False,18093.0
OFSS,2017-11-07,2017-11-08,2017-11-10,target,2478.1,,2378.45,2431.53,52.12,2435.6,2373.87,2559.08,2559.08,2.0,2.28,-0.65,2,2.5,False,6224.0
TNPL,2017-10-03,2017-10-04,2017-11-15,stop,288.68,,271.91,277.37,11.64,289.46,265.4,337.59,265.4,-1.0,0.57,-1.2,29,8.3,False,-11140.0
SCI,2017-10-24,2017-10-25,2017-11-16,stop,88.82,,74.49,87.05,3.56,91.31,81.71,110.53,81.71,-1.0,1.4,-1.03,16,10.5,False,-14722.0
