ticker,entry_date,exit_date,why,r,mfe,mae,held,adv,stop_pct,equity_pnl,ret
LAXMIMACH,2016-06-03,2016-06-15,stop,-1.0,0.5912854875296013,-1.0150404863148745,8,18340697.746252444,0.04649585799557599,-5137.961835058699,-0.051379618350586985
FCONSUMER,2016-06-20,2016-06-24,stop,-1.0830391055892354,0.20306926744920611,-1.6245580128423953,4,50789484.275,0.0639534475501792,-7351.933719999804,-0.07409092442250868
MANPASAND,2016-06-28,2016-07-14,target,2.0,2.276494263267196,-0.10963907690693048,11,33961028.00528259,0.09192752337231583,17586.06735619887,0.1783954091277702
FCONSUMER,2016-06-28,2016-07-18,stop,-1.0,1.1031507904722355,-1.0279352248084017,13,60902668.82395191,0.08559177721647529,-8909.366260710096,-0.09037779777343394
RUPA,2016-06-03,2016-08-12,stop,-1.0050698405107554,0.37306248601248204,-1.0050698405107554,49,2261178.476266479,0.0751961203564277,-8038.840931192808,-0.08038840931192807
RELCAPITAL,2016-07-25,2016-08-16,target,2.0,2.3053888414047568,0.0,15,1207410194.0468109,0.0569255237132207,10774.728285078154,0.10856641980787538
SUVEN,2016-08-10,2016-08-31,stop,-1.0,0.4696931292723927,-1.0151363369221162,14,38237853.83114466,0.06439107974898182,-6891.753964974489,-0.06923010204960917
THYROCARE,2016-08-31,2016-09-02,target,2.0,2.0298388878128764,0.0,2,35992206.33776551,0.057340759943826126,10944.415177695504,0.10939481608793332
EROSMEDIA,2016-09-06,2016-09-12,stop,-1.0,0.8603563990375718,-1.1829900486766611,4,56505382.378833,0.0411436819998008,-4633.022142290067,-0.046040822794801255
EROSMEDIA,2016-09-12,2016-09-16,stop,-1.0,0.0,-2.1037657862566537,3,63796710.92010497,0.03521823743239477,-4044.1402585666765,-0.04013019183881361
DCAL,2016-08-02,2016-09-20,target,2.0,2.6628652220930387,-0.8209999867848261,32,287273070.02633053,0.09650255741544984,18749.501461159216,0.18752260204382254
RUPA,2016-09-21,2016-09-29,stop,-1.0,0.0,-2.1498506073763752,6,1637608.2245391847,0.0593624011389851,-6505.183964172297,-0.06421399513613764
SUVEN,2016-10-03,2016-11-04,stop,-1.0,0.6137737953470552,-1.625525643986274,21,66619129.216405265,0.08831880158103728,-9370.709912882667,-0.09309800457708461
MANPASAND,2016-10-17,2016-11-09,stop,-1.0,0.49743561515970414,-3.302983231986339,16,48162021.887866214,0.06903517490573324,-7411.193760183277,-0.0738625869684689
GVKPIL,2016-10-18,2016-11-09,stop,-1.0,0.2995679496422553,-1.5477664700846392,15,43174887.25173595,0.14104829508242167,-14566.966127099973,-0.14569567434471561
HCC,2016-11-08,2016-11-09,stop,-1.4133285554768276,0.0,-1.6412847897353713,1,299209778.2594032,0.12118255743537232,-17336.473871712267,-0.1758425919269995
DCAL,2016-11-08,2016-11-09,stop,-1.4494563615052374,0.13176829305056242,-1.558385385508623,1,514072578.015715,0.11796457097397439,-17308.320722603894,-0.17555703658588703
THYROCARE,2016-11-08,2016-11-09,stop,-1.9237367908789846,1.387110748128302e-06,-2.1477947988200947,1,35210252.49670029,0.06958240316197084,-13657.160405255923,-0.13852358338805623
HCC,2016-11-11,2016-11-21,stop,-1.0,0.0,-1.3646122562422927,5,314152084.6429825,0.10829167668069191,-10475.817639094157,-0.11302094748899015
DCAL,2016-11-21,2016-12-23,stop,-1.0,0.323300347324744,-1.1225731801281165,24,393341284.571347,0.116476273226238,-11120.150638688827,-0.12118508254317237
HCC,2016-12-02,2016-12-26,stop,-1.0,0.5906155739507356,-1.1930421736079988,16,312605694.2401285,0.10324086737312942,-9905.05050419266,-0.10798276520469641
DCAL,2017-01-10,2017-01-20,stop,-1.0,0.3228226244428775,-1.1654425260989019,8,179300721.7251892,0.07272712449714551,-7016.387128953086,-0.07754530668590254
DCAL,2017-01-24,2017-02-14,stop,-1.0,0.4776699418192158,-1.3704616906441658,14,220654337.55551606,0.07560328159322437,-7224.301031296591,-0.08041427338924124
RELCAPITAL,2017-01-18,2017-02-17,target,2.0,2.1806634670427876,-0.8878551133209306,21,828775283.0736572,0.056333573844655774,9673.047940497998,0.10738547982008838
MANPASAND,2017-01-27,2017-02-28,target,2.0,2.001116842517779,-0.45823890119861105,21,65992381.02133179,0.07435679129837619,12878.173119950812,0.14334179864026067
DCAL,2017-03-07,2017-03-28,target,2.0,2.441348551387064,-0.6075749005215502,14,255277851.64673615,0.07720575954631091,13617.16390685231,0.14902549029489043
SADBHIN,2017-03-24,2017-03-31,stop,-1.0,0.42665509510751837,-1.2970236246914304,5,3007819.954221344,0.057222295243386706,-5681.323475168707,-0.06207923950527811
QUESS,2017-02-15,2017-04-11,target,2.0,2.889810260173929,-0.6784588555344613,36,88937942.35138856,0.06261336637198825,10820.3617743059,0.11991366591211658
GET&D,2017-03-28,2017-04-12,target,2.0,2.116531322836385,-0.43568062552904807,10,29584214.31,0.06086596873709781,10572.02833214941,0.11642760763051019
