ticker,entry_date,stop_width_pct,r_multiple,return_pct,reason,population,stop_width_pct_card,stop_width_pct_engine,width_gap_pct,beyond_stop_r,designed_r
TCIEXP,2019-01-07 00:00:00,3.8391969625368594,-1.691,-6.490459041504382,stop,historical,,,,,
ASIANPAINT,2019-01-07 00:00:00,1.977030985047024,1.376,-3.2434098967165204,stop_part,historical,,,,,
TECHM,2019-02-11 00:00:00,8.948477976171459,-0.994,-8.898968281853904,stop,historical,,,,,
MAHABANK,2019-05-27 00:00:00,9.33625091174326,-1.033,-9.628008752735228,stop,historical,,,,,
COFORGE,2019-01-28 00:00:00,6.430034700447342,-1.291,-8.298841924829636,stop,historical,,,,,
CUB,2019-03-25 00:00:00,5.748244943351644,-0.305,-1.7515812886633841,sma_break,historical,,,,,
CGCL,2019-08-05 00:00:00,9.998774659968138,-0.829,-8.295552015684349,stop,historical,,,,,
GODREJPROP,2019-09-19 00:00:00,6.324914383561646,0.329,-4.965753424657537,sma_break,historical,,,,,
UJJIVAN,2019-12-09 00:00:00,7.063829787234035,-0.827,-5.8439716312056795,stop,historical,,,,,
TRIVENI,2019-10-07 00:00:00,7.807757166947717,0.851,0.6745362563237878,sma_break,historical,,,,,
UNOMINDA,2020-01-13 00:00:00,9.995880111236994,-1.28,-12.79740447007931,stop,historical,,,,,
NAUKRI,2019-01-07 00:00:00,9.999020024172742,2.528,42.80534413484469,sma_break,historical,,,,,
VSTIND,2019-08-26 00:00:00,2.8961489898989914,1.822,2.9000946969697017,sma_break,historical,,,,,
JSL,2020-03-09 00:00:00,3.9084597582926284,-5.355,-20.98225764978143,stop,historical,,,,,
VBL,2019-01-07 00:00:00,7.312925170068023,1.222,-10.501700680272108,sma_break,historical,,,,,
BAJFINANCE,2019-02-01 00:00:00,1.8784043575776985,3.075,3.596603652675423,sma_break,historical,,,,,
ESABINDIA,2019-05-13 00:00:00,9.999750474099208,1.42,10.340353328675512,sma_break,historical,,,,,
REDINGTON,2019-12-16 00:00:00,7.7198903184982,-2.158,-38.02995148702804,stop_part,historical,,,,,
SFL,2020-03-16 00:00:00,10.0,-2.013,-20.127795527156543,stop,historical,,,,,
LALPATHLAB,2019-07-29 00:00:00,6.718688744936239,3.279,24.1809322904027,sma_break,historical,,,,,
GSKCONS,2020-03-25 00:00:00,10.0,2.035,20.591011235955058,stale,historical,,,,,
IRCON,2020-04-08 00:00:00,9.999999999999993,0.884,1.379310344827589,sma_break,historical,,,,,
BHARTIARTL,2019-11-18 00:00:00,9.998943308501088,2.789,25.704020711153362,sma_break,historical,,,,,
AVANTIFEED,2020-08-31 00:00:00,9.813983322642708,-1.42,-13.930498434139515,stop,historical,,,,,
HONAUT,2020-09-14 00:00:00,5.5153276267024705,-1.185,-6.533767679161451,stop,historical,,,,,
IDBI,2020-10-19 00:00:00,9.988992845349483,-1.576,-15.740231150247663,stop,historical,,,,,
DRREDDY,2020-03-09 00:00:00,8.951469717893065,2.988,41.627211152758605,sma_break,historical,,,,,
RELCAPITAL,2021-03-18 00:00:00,9.482758620689651,-1.727,-16.37931034482759,stop,historical,,,,,
GLENMARK,2021-04-19 00:00:00,10.000893096365099,0.537,-4.386889345360379,sma_break,historical,,,,,
TANLA,2020-04-29 00:00:00,9.994952044422005,38.255,1195.9111559818273,sma_break,historical,,,,,
DHANUKA,2021-05-17 00:00:00,9.999541252838503,-0.952,-9.523591072780246,sma_break,historical,,,,,
HINDUNILVR,2021-08-23 00:00:00,8.851451006460447,-0.935,-8.278111302685975,sma_break,historical,,,,,
ALKYLAMINE,2020-03-23 00:00:00,7.116834899640333,29.719,626.4183780020884,sma_break,historical,,,,,
DIVISLAB,2020-03-23 00:00:00,9.999888549584293,6.377,141.53311191850744,sma_break,historical,,,,,
