ticker,entry_date,qty,basis,pnl,entry_px,last_exit,days_held,n_sells,n_trims,final_reason,nms,rank_in_band,n_rankable,mr12,mr6,turnover,return_pct,exit_px_eff
KEC,2018-02-01,127,42858.8042,-303.27689999999984,334.8514,2018-08-01,124,6,5,rebalance_exit,1.6447543139707312,22.000000000000004,150,4.113249277673582,0.6902438237342416,135493763.57266235,-0.7076186693981533,335.08289212598424
HFCL,2018-02-01,1434,40853.9836,-2268.345,28.7507,2018-04-02,38,3,2,rebalance_exit,1.616717599064605,24.0,150,2.3962554958356805,1.289895253780475,193109746.16171265,-5.552322687083078,26.907697768479775
UNOMINDA,2018-02-01,216,42205.7004,-3184.438,197.7491,2018-05-02,59,3,2,rebalance_exit,3.3379646046522664,2.9999999999999964,150,8.277383128057929,1.8629103469509656,131497665.25195312,-7.545042422752923,180.6539925925926
IBVENTURES,2018-02-01,149,39703.072199999995,20208.2922,248.1663,2018-06-01,81,9,8,rebalance_exit,5.361283182397639,1.0,150,20.11648230310584,0.6861435190649217,363755520.0,50.898560439360665,402.0896939597315
PHILIPCARB,2018-02-01,700,62315.7947,-5873.8975,92.8673,2019-02-01,247,9,8,rebalance_exit,2.255911191830684,12.000000000000004,150,5.157634804471037,1.2857958493280262,286802830.01434326,-9.426017157091636,80.63128171428572
BALKRISIND,2018-02-01,37,39472.3328,-2666.0665000000004,1061.0046,2018-07-02,102,3,2,rebalance_exit,2.1443305810320226,15.000000000000009,150,3.8295485128003097,1.6043195736181235,565077522.7001953,-6.754266370595661,994.7639540540539
HSCL,2018-02-01,285,45787.1982,-9069.3681,173.7466,2018-07-02,102,3,2,rebalance_exit,2.4670118259153533,7.999999999999995,150,5.250599399827601,1.5920942768322095,242472915.53497317,-19.807650296453385,128.83449157894736
BAJAJELEC,2018-02-01,106,48154.1414,1221.9798999999998,438.396,2018-10-01,163,7,6,rebalance_exit,1.6059908154160956,28.000000000000007,150,2.585402867588763,1.2015055655496352,130408459.45730592,2.537642380225265,465.8124650943396
GNFC,2018-02-01,98,36905.10890000001,38.40820000000002,383.4628,2018-05-02,59,2,1,rebalance_exit,1.734397698276943,20.000000000000007,150,2.27919776094004,1.5240828286172,408991932.8242188,0.10407285371809326,376.9746642857143
AVANTIFEED,2018-02-01,65,43679.7217,-8417.324400000001,682.8269,2018-06-01,81,4,3,rebalance_exit,2.707830377353568,7.000000000000005,150,7.1812403440790655,1.2561256854960252,145059808.02392578,-19.270554097875582,542.4984199999999
GODREJPROP,2018-02-01,45,36115.2678,-2989.7672,806.2142,2018-04-02,38,3,2,rebalance_exit,1.6119988168485342,25.000000000000004,150,3.249902970418061,0.9616047682596308,115103702.25,-8.27840241018509,736.1222355555556
SOBHA,2018-02-01,68,35801.8752,-1154.1353000000001,531.9024,2018-05-02,59,2,1,rebalance_exit,1.609044104421565,25.999999999999996,150,2.874237536162452,1.0979433385846122,161099327.9663086,-3.2236727644925147,509.5255867647059
VENKEYS,2018-02-01,21,65237.1867,13302.0011,2651.0343,2018-05-02,59,12,11,rebalance_exit,2.3243310581377985,10.000000000000009,150,7.481789333116617,0.523345927737981,180584437.8500977,20.390212657652818,3739.961323809524
JINDALSAW,2018-02-01,754,45166.1029,-10274.115099999999,63.7088,2018-06-01,81,2,1,rebalance_exit,1.4919866379541582,30.000000000000004,150,2.9610047531273813,0.8761404711398171,197825123.47909543,-22.747402233811055,46.27584588859417
MOTILALOFS,2018-02-01,30,36609.027,-4005.4981,1220.3009,2018-03-01,19,1,0,rebalance_exit,1.8648076352343932,17.999999999999993,150,4.213882444800984,1.0081326120078518,113755725.6566162,-10.941285328342651,1086.7842966666667
JAICORPLTD,2018-02-01,258,40996.098,-8088.6771,166.185,2018-06-01,81,2,1,rebalance_exit,2.249660665054276,12.999999999999996,150,2.9073732065209343,2.1209781997631776,432702797.4949341,-19.730358484361123,127.5481430232558
KOLTEPATIL,2018-02-01,98,34634.1604,-1962.9733,353.4098,2018-03-01,19,1,0,rebalance_exit,2.820115588422675,5.999999999999999,150,5.188690245502895,2.1861007801339967,134720976.83703613,-5.66773750923669,333.3794602040816
BBTC,2018-02-01,28,38612.5273,4746.8150000000005,1378.9978,2018-05-02,59,5,4,rebalance_exit,2.953691240362195,4.000000000000003,150,5.347131416482586,2.342493578596632,240248746.9921875,12.293458449688167,1548.5479392857144
BATAINDIA,2018-02-01,50,32967.115,835.1128,659.3423,2018-03-01,19,1,0,rebalance_exit,1.5003259900955572,29.0,150,2.324786518517845,1.1286083235975797,394820321.25738525,2.533169189963999,676.0445560000001
VIPIND,2018-02-01,147,54087.599799999996,8819.9893,331.9557,2019-06-03,327,13,12,rebalance_exit,2.8231188079726266,4.999999999999993,150,4.373194920015278,2.4972868307938367,156788632.85272217,16.306860227877962,427.9427829931973
