ticker,entry_date,exit_date,days_held,entry,exit,qty,reason,return_pct,pnl
GNFC,2017-01-03,2017-01-20,13,172.35,197.59,870,trailing,14.64,21537.24
ESCORTS,2017-01-03,2017-01-20,13,308.39,331.05,488,trailing,7.35,10654.54
HINDPETRO,2017-01-03,2017-01-27,17,129.89,158.27,1159,target,21.85,32458.89
IOC,2017-01-03,2017-01-31,19,58.05,64.93,1614,trailing,11.87,10861.01
NMDC,2017-01-03,2017-02-14,29,18.16,19.4,8368,trailing,6.83,9963.47
BIOCON,2017-01-03,2017-03-02,40,156.12,169.31,966,trailing,8.45,12329.62
IGL,2017-01-03,2017-03-22,53,80.55,87.75,1878,trailing,8.94,13116.24
ENGINERSIN,2017-01-23,2017-02-13,14,108.11,112.34,59,trailing,3.91,232.22
GNFC,2017-01-23,2017-02-15,16,198.26,195.4,822,trailing,-1.44,-2774.78
ESCORTS,2017-01-23,2017-02-22,21,334.43,406.81,488,target,21.64,34849.58
HINDPETRO,2017-01-30,2017-02-14,11,154.37,157.49,1088,trailing,2.02,2952.0
AIAENG,2017-01-30,2017-02-20,15,1332.63,1394.74,11,trailing,4.66,644.24
BPCL,2017-01-30,2017-03-10,28,129.33,117.24,3,stop,-9.35,-37.23
IOC,2017-02-01,2017-02-15,10,65.64,67.74,1592,trailing,3.2,3072.64
ENGINERSIN,2017-02-14,2017-05-19,63,112.82,124.47,58,trailing,10.32,657.6
HINDPETRO,2017-02-15,2017-03-02,10,157.6,152.75,1099,trailing,-3.08,-5777.82
NMDC,2017-02-15,2017-03-08,14,19.46,19.68,15,trailing,1.1,2.46
COROMANDEL,2017-02-15,2017-04-28,48,313.17,310.68,509,trailing,-0.79,-1678.86
GNFC,2017-02-16,2017-03-03,10,197.48,208.49,876,trailing,5.58,9187.3
IOC,2017-02-16,2017-03-03,10,68.15,68.81,1390,trailing,0.98,677.98
MFSL,2017-02-21,2017-04-21,39,575.84,630.78,26,trailing,9.54,1387.83
INDIACEM,2017-02-21,2017-04-24,40,157.97,193.81,2,target,22.69,70.77
ESCORTS,2017-02-23,2017-03-10,10,405.97,494.67,435,target,21.85,38075.36
SUNTV,2017-02-23,2017-04-19,35,540.6,664.06,39,target,22.84,4754.21
BIOCON,2017-03-03,2017-04-07,23,167.77,180.17,921,trailing,7.39,11000.49
HINDPETRO,2017-03-03,2017-04-26,35,153.6,163.27,1148,trailing,6.3,10632.93
GNFC,2017-03-06,2017-04-05,20,208.19,219.36,852,trailing,5.36,9038.11
IOC,2017-03-06,2017-05-22,51,69.21,78.99,1449,trailing,14.14,13895.23
NMDC,2017-03-09,2017-05-23,49,19.77,17.29,15,stop,-12.55,-37.93
MARUTI,2017-03-14,2017-04-13,21,5574.21,5585.13,6,trailing,0.2,-21.5
ESCORTS,2017-03-14,2017-05-10,38,502.64,612.46,354,target,21.85,38363.65
BPCL,2017-03-14,2017-05-19,45,119.74,134.58,30,trailing,12.4,435.38
SUNDRMFAST,2017-03-23,2017-04-27,23,344.4,352.6,477,trailing,2.38,3478.83
IGL,2017-03-23,2017-05-08,29,88.04,88.59,1,trailing,0.63,0.32
GNFC,2017-04-06,2017-05-15,25,217.5,238.47,843,trailing,9.64,17180.59
BALKRISIND,2017-04-10,2017-05-22,28,649.21,677.15,259,trailing,4.3,6790.43
BIOCON,2017-04-17,2017-05-02,10,179.64,177.84,188,trailing,-1.0,-426.38
SUNTV,2017-04-20,2017-05-05,10,678.56,671.39,38,trailing,-1.06,-339.29
JINDALSTEL,2017-04-24,2017-06-06,30,110.99,116.49,148,trailing,4.96,771.24
INDIACEM,2017-04-25,2017-05-18,16,196.65,197.85,2,trailing,0.61,1.37
HINDPETRO,2017-04-27,2017-06-01,24,164.62,164.9,1135,trailing,0.17,-171.51
SUNDRMFAST,2017-04-28,2017-05-15,10,357.11,356.88,470,trailing,-0.07,-545.78
NATCOPHARM,2017-05-02,2017-06-12,29,864.33,947.06,182,trailing,9.57,14626.97
SUNTV,2017-05-08,2017-05-22,10,673.83,665.17,87,trailing,-1.29,-905.26
IGL,2017-05-09,2017-06-15,27,88.98,92.94,8,trailing,4.45,29.76
ESCORTS,2017-05-11,2017-06-14,24,607.83,685.9,325,trailing,12.84,24827.88
BBTC,2017-05-11,2017-06-23,31,869.67,855.7,21,trailing,-1.61,-340.5
SUNDRMFAST,2017-05-16,2017-06-27,29,361.23,386.51,552,trailing,7.0,13420.34
GNFC,2017-05-16,2017-06-27,29,240.11,205.29,703,stop,-14.5,-24889.41
INDIACEM,2017-05-19,2017-06-22,24,200.31,202.95,2,trailing,1.32,4.23
TRIDENT,2017-05-22,2017-07-31,49,6.58,6.58,1716,trailing,0.01,-28.53
IOC,2017-05-23,2017-06-23,23,79.56,71.2,7,stop,-10.51,-59.9
BALKRISIND,2017-05-23,2017-07-18,39,685.73,758.26,232,trailing,10.58,16392.15
SUNTV,2017-05-23,2017-08-08,54,668.31,571.28,280,stop,-14.52,-27621.27
RCF,2017-05-24,2017-06-19,18,63.63,66.99,4,trailing,5.28,12.76
MRF,2017-06-02,2017-06-23,15,67609.94,69008.44,2,trailing,2.07,2441.79
HINDPETRO,2017-06-02,2017-07-18,31,165.63,168.64,310,trailing,1.82,799.88
JINDALSTEL,2017-06-07,2017-06-22,11,116.71,119.94,148,trailing,2.77,433.14
CEATLTD,2017-06-13,2017-08-22,48,1747.21,1499.73,98,stop,-14.16,-24667.05
ESCORTS,2017-06-15,2017-07-27,29,688.51,613.63,295,stop,-10.87,-22587.44
