arm,entry_date,exit_date,symbol,trade_ret,exit_reason,hold_days,pnl
base,2018-01-22,2018-02-05,HEG,-0.182,atr_stop,9,-27578.82
base,2018-01-22,2018-02-05,KOLTEPATIL,-0.1574,atr_stop,9,-24354.87
base,2018-01-22,2018-02-06,GRAPHITE,-0.2125,atr_stop,10,-32326.17
base,2018-01-22,2018-02-06,HSCL,-0.1643,trailing,10,-25173.25
base,2018-01-22,2018-02-06,UNOMINDA,-0.1879,atr_stop,10,-29019.15
base,2018-01-22,2018-02-06,JAICORPLTD,-0.2317,atr_stop,10,-21090.11
base,2018-01-22,2018-02-06,HFCL,-0.2912,atr_stop,10,-28.43
base,2018-02-06,2018-02-21,HEG,0.2246,target,10,25632.6
base,2018-02-06,2018-02-21,KOLTEPATIL,0.1134,trailing,10,13159.72
base,2018-02-06,2018-02-21,RADICO,0.0048,trailing,10,33.26
base,2018-02-07,2018-02-22,GRAPHITE,-0.0082,trailing,10,-1261.56
base,2018-02-07,2018-02-22,HSCL,-0.0063,trailing,10,-987.48
base,2018-02-07,2018-02-22,UNOMINDA,-0.0231,trailing,10,-3307.44
base,2018-02-07,2018-02-22,JAICORPLTD,0.0145,trailing,10,946.72
base,2018-02-07,2018-02-22,HFCL,0.0684,trailing,10,6.73
base,2018-02-22,2018-03-09,HEG,0.0166,trailing,10,1553.35
base,2018-02-22,2018-03-09,RADICO,-0.0211,trailing,10,-2803.47
base,2018-02-22,2018-03-09,KOLTEPATIL,-0.0419,trailing,10,-2628.44
base,2018-02-23,2018-03-12,HSCL,-0.0419,trailing,10,-5443.02
base,2018-02-23,2018-03-12,HFCL,-0.0364,trailing,10,-1.07
base,2018-02-23,2018-03-14,UNOMINDA,0.0129,trailing,12,1368.02
base,2018-02-23,2018-03-15,GRAPHITE,0.2246,target,13,25506.42
base,2018-02-22,2018-03-16,VAKRANGEE,0.2246,target,15,40.0
base,2018-03-12,2018-03-26,HEG,0.2246,target,10,26129.46
base,2018-03-12,2018-03-26,KOLTEPATIL,-0.0885,trailing,10,-3893.42
base,2018-03-13,2018-03-27,HSCL,0.0108,trailing,10,963.06
base,2018-03-12,2018-03-28,RADICO,0.0145,trailing,12,1478.27
base,2018-03-16,2018-03-28,DELTACORP,-0.2013,atr_stop,8,-1253.9
base,2018-04-02,2018-04-17,MINDACORP,-0.0091,trailing,11,-2.02
base,2018-04-02,2018-04-19,RADICO,0.2225,target,13,28604.47
base,2018-02-06,2018-04-25,PCJEWELLER,-0.3598,atr_stop,52,-27.45
base,2018-01-22,2018-04-26,SUNTECK,0.0047,time_exit,63,323.05
base,2018-03-27,2018-04-30,KOLTEPATIL,0.0782,trailing,22,3642.88
base,2018-04-18,2018-05-03,COFORGE,0.1266,trailing,10,21.21
base,2018-04-20,2018-05-10,JUBLFOOD,0.0098,trailing,13,141.05
base,2018-03-19,2018-05-14,TATACONSUM,-0.0622,trailing,37,-16.39
base,2018-04-27,2018-05-14,VIPIND,-0.0075,trailing,10,-160.33
base,2018-03-27,2018-05-18,HEG,0.0781,trailing,35,10157.68
base,2018-05-04,2018-05-28,COFORGE,0.022,trailing,16,3.68
base,2018-02-23,2018-05-29,JAICORPLTD,-0.1363,time_exit,63,-8576.84
base,2018-05-15,2018-05-29,JUBLFOOD,0.0544,trailing,10,818.3
base,2018-03-15,2018-06-01,UNOMINDA,0.1189,trailing,53,15603.38
base,2018-03-16,2018-06-01,GRAPHITE,0.0985,trailing,52,12858.63
base,2018-04-20,2018-06-01,RADICO,0.0292,trailing,29,3689.86
base,2018-03-28,2018-06-05,HSCL,-0.2244,atr_stop,46,-26724.31
base,2018-03-15,2018-06-14,HFCL,0.2225,target,62,23.48
base,2018-05-30,2018-06-18,FSL,0.0913,trailing,13,4.98
base,2018-06-04,2018-06-18,GRAPHITE,-0.0147,trailing,10,-2436.5
base,2018-05-21,2018-06-19,VIPIND,0.0731,trailing,21,594.71
base,2018-05-02,2018-06-20,KOLTEPATIL,-0.1935,atr_stop,35,-10207.96
base,2018-04-26,2018-06-28,DELTACORP,-0.2327,atr_stop,44,-59.85
base,2018-05-29,2018-06-28,COFORGE,-0.0081,trailing,22,-2.07
base,2018-05-11,2018-07-03,SONATSOFTW,-0.1645,atr_stop,37,-3305.42
base,2018-06-19,2018-07-04,FSL,-0.1761,atr_stop,11,-459.16
base,2018-06-20,2018-07-04,VIPIND,-0.0444,trailing,10,-409.87
base,2018-05-21,2018-07-05,HEG,0.0528,trailing,33,6828.95
base,2018-06-19,2018-07-05,GRAPHITE,0.2246,target,12,30279.88
base,2018-05-30,2018-07-06,JUBLFOOD,0.0409,trailing,27,2674.75
base,2018-06-04,2018-07-11,TITAN,-0.1074,atr_stop,27,-1742.79
base,2018-04-27,2018-07-13,BIOCON,-0.1052,atr_stop,54,-14707.25
base,2018-06-04,2018-07-16,RADICO,-0.2105,atr_stop,30,-30021.06
base,2018-06-21,2018-07-17,MPHASIS,0.0819,trailing,18,3320.65
base,2018-07-05,2018-07-19,FSL,0.0714,trailing,10,714.96
base,2018-07-12,2018-07-19,JINDALSTEL,-0.1737,atr_stop,5,-191.92
base,2018-07-06,2018-07-24,HEG,0.0919,trailing,12,12566.5
base,2018-07-06,2018-07-24,GRAPHITE,0.0084,trailing,12,815.61
base,2018-07-09,2018-07-25,JUBLFOOD,0.0145,trailing,12,861.97
base,2018-06-04,2018-07-26,BAJAJELEC,0.0953,trailing,38,13013.79
base,2018-06-21,2018-07-26,INTELLECT,-0.0341,trailing,25,-7.14
base,2018-07-17,2018-07-31,RADICO,0.2225,target,10,24426.79
base,2018-07-04,2018-08-03,SONATSOFTW,0.1093,trailing,22,1776.78
base,2018-07-06,2018-08-03,VIPIND,0.2225,target,20,6271.55
base,2018-06-29,2018-08-06,COFORGE,0.2246,target,26,86.33
base,2018-07-20,2018-08-06,FSL,0.0096,trailing,11,89.47
base,2018-07-18,2018-08-08,MPHASIS,0.0107,trailing,15,360.09
base,2018-07-27,2018-08-10,INTELLECT,0.2225,target,10,32941.79
base,2018-07-25,2018-08-13,HEG,0.0579,trailing,13,8137.6
base,2018-07-25,2018-08-20,GRAPHITE,0.0795,trailing,17,11260.82
base,2018-08-06,2018-08-30,SONATSOFTW,0.0481,trailing,16,2430.8
base,2018-08-13,2018-08-30,TEAMLEASE,-0.0121,trailing,11,-372.62
base,2018-07-27,2018-09-03,LTTS,0.2225,target,24,603.31
base,2018-08-01,2018-09-03,RADICO,0.0662,trailing,21,8608.28
base,2018-07-16,2018-09-04,BIOCON,-0.0091,trailing,34,-1425.77
base,2018-07-26,2018-09-04,JUBLFOOD,0.0157,trailing,26,965.64
base,2018-08-09,2018-09-04,VIPIND,0.0416,trailing,16,1739.42
base,2018-06-06,2018-09-05,TECHM,0.1103,time_exit,63,9872.83
base,2018-07-12,2018-09-05,LUXIND,-0.1252,atr_stop,37,-1683.76
base,2018-08-07,2018-09-11,COFORGE,0.0064,trailing,23,50.63
base,2018-08-07,2018-09-12,FSL,0.0358,trailing,24,1.82
base,2018-08-13,2018-09-21,MPHASIS,0.0254,trailing,25,3553.34
base,2018-08-31,2018-09-21,SONATSOFTW,0.1051,trailing,13,8306.14
base,2018-09-04,2018-09-21,RADICO,-0.1702,atr_stop,11,-25391.37
base,2018-09-05,2018-09-21,VIPIND,-0.157,atr_stop,10,-25436.98
base,2018-09-05,2018-09-24,JUBLFOOD,-0.1175,atr_stop,11,-9900.48
base,2018-09-06,2018-09-24,INTELLECT,-0.1196,trailing,10,-94.33
base,2018-08-21,2018-09-25,GRAPHITE,-0.1782,atr_stop,22,-28513.92
base,2018-07-27,2018-09-27,TAKE,-0.2862,atr_stop,40,-256.17
base,2018-08-14,2018-09-27,HEG,-0.1706,atr_stop,28,-27100.75
base,2018-09-12,2018-09-27,COFORGE,-0.1392,atr_stop,9,-1897.83
base,2018-09-14,2018-09-28,FSL,-0.1529,atr_stop,9,-35.83
base,2018-09-24,2018-09-28,VIPIND,-0.1894,atr_stop,4,-28161.83
base,2018-09-24,2018-10-05,SONATSOFTW,-0.1902,atr_stop,8,-12957.43
base,2018-09-06,2018-10-08,LTTS,-0.1351,atr_stop,19,-15444.05
base,2018-09-24,2018-10-09,RADICO,-0.2245,atr_stop,10,-33150.85
base,2018-09-24,2018-10-09,MPHASIS,-0.1183,atr_stop,10,-17493.98
base,2018-10-10,2018-10-12,TCS,-0.0874,atr_stop,2,-154.67
base,2018-09-28,2018-10-15,HEG,0.2225,target,10,29889.88
base,2018-09-28,2018-10-15,COFORGE,-0.03,trailing,10,-182.96
base,2018-09-26,2018-10-17,GRAPHITE,0.2225,target,14,28323.0
base,2018-10-01,2018-10-19,VIPIND,0.0432,trailing,12,4676.81
base,2018-10-08,2018-10-23,SONATSOFTW,-0.0809,trailing,10,-4530.37
base,2018-10-09,2018-10-24,LTTS,-0.0583,trailing,10,-5885.55
