tkr,sig_date,entry_date,entry,trig,gap_pct,stop0,stop_pct,sh,notional_pct,risk_pct,adv_cr,rank,half_date,half_px,exit_date,exit_px,reason,held,R,final_stop,half_done,engine,slope66_pct,dist_to_44sma_pct,atr_pct,regime_ok,days_to_fill,mae_pct,mfe_pct,max_1d_move_in_trade_pct,zero_vol_days,exit_day_open,gap_through_stop,gross_ret_pct,src
DCAL,2017-02-17,2017-02-20,222.77479452749324,222.77479452749324,-0.12232436754853193,187.67324371915484,18.703545648130017,569.7753956571339,12.693159669433918,2.0,20.407587286586914,2,,,2017-03-02,223.52715501041862,stop,7,0.02143382459178011,223.52715501041862,False,A,-0.7596969316242763,-2.091013403083153,3.9724880495890895,True,1,-0.8621562651404013,5.5945813985423865,2.58920425368558,0,231.19261351112635,False,0.3377224450015204,backfill
STAR,2017-03-20,2017-03-21,1020.2347728259085,1015.8867888801375,0.4279988669371404,911.3654918271305,11.945732198013538,183.62179777020356,18.742381018156266,2.0,27.728947093992616,5,,,2017-03-27,975.6581904881117,stop,4,-0.4094505073317897,975.6581904881117,False,B,10.105689984108345,0.6214088678600627,2.6921413103772087,True,1,-5.299133797852862,0.17093154446765624,1.8689989052277294,0,980.9950300589204,False,-4.369247503133611,backfill
EROSMEDIA,2017-05-09,2017-05-10,246.54630305480956,246.54630305480956,-1.0327889825399228,193.3520517496105,27.51160425961512,372.24725806936476,9.26965967206734,2.0,34.58945792357323,7,,,2017-05-18,232.4173439025879,stop,6,-0.26561064035204734,232.4173439025879,False,B,40.05428824010701,1.6202990432720332,5.47040826508126,True,1,-8.333648811696815,1.3197115335470855,3.510993234882729,0,233.0500030517578,False,-5.730752794569649,backfill
BALKRISIND,2017-06-19,2017-06-20,747.4754309347771,747.4754309347771,-0.1738879312722319,651.2230399883497,14.780249628168773,204.7169591239269,15.531571186648444,2.0,20.322890443563843,41,,,2017-07-27,737.6932020540784,stop,26,-0.10163102219604497,737.6932020540784,False,B,27.858982426749336,6.171617026960141,3.243188895155539,True,1,-2.5264935796672883,7.485128550191411,3.1406441766855195,0,751.0615126493302,False,-1.308702396875483,pinned
INDIGO,2017-07-03,2017-07-04,1160.7592347962452,1160.7592347962452,-0.09990175792615741,1001.752844298629,15.872816473902152,124.55119419460291,14.600158285004872,2.0,72.71866539975403,40,,,2017-07-27,1179.463244726657,stop,17,0.11763055479642605,1179.463244726657,False,B,29.01696399998661,4.706484430643476,3.4619748208002905,True,1,-2.008282239630721,7.342826641265199,3.1867934068114647,0,1188.4932797028926,False,1.611359993504169,pinned
PEL,2017-07-06,2017-07-07,2966.0630999999994,2966.0630999999994,-0.271845194392506,2612.4429116829165,13.535996776644721,56.40389048874578,16.775417230084162,2.0,67.6309764255,46,,,2017-07-27,2848.149,stop,14,-0.33344843958475784,2848.149,False,B,52.689282603031806,5.163149160583558,3.012610225908015,True,1,-4.5671010842621484,2.829909451353241,2.2419518573960198,0,2909.0,False,-3.9754413855861537,backfill
DBL,2017-07-07,2017-07-11,487.3988230123954,487.3988230123954,-0.9589396096556291,415.3319183522744,17.351641295961183,275.2840934450042,13.526287144176536,2.0,13.143704823513488,35,,,2017-07-28,501.1875159119682,stop,13,0.19133183206081203,501.1875159119682,False,B,48.687767587803734,5.951547007145397,3.835623065007278,True,2,-1.3328713774531709,11.097802800064983,5.011565515684834,0,509.3240966272518,False,2.829036971068377,pinned
DCAL,2017-05-26,2017-05-29,296.96638866375775,296.96638866375775,-3.0599019270575623,242.72563569470736,22.34652834003603,362.89585388440605,10.949936068667999,2.0,23.963349357931058,11,,,2017-08-23,300.86505126953125,time,60,0.07187700008512161,261.4469483066842,False,A,35.33878552331839,-4.027669896997155,4.62925310774109,True,1,-6.490818449658242,2.3219214715232583,0.0,60,300.86505126953125,False,1.3128295842893545,backfill
BEML,2017-08-14,2017-08-17,691.7460462678443,691.7460462678443,-2.9086557277400504,566.4793085662841,22.113206220824,156.39670610051655,11.044369143162069,2.0,129.06037149277526,36,,,2017-08-29,689.3290697083075,stop,7,-0.01929463961371049,689.3290697083075,False,B,16.248131492467177,11.813937912139384,4.57834089107166,True,2,-3.3551287863934687,8.450684791219976,3.3077658917432355,0,695.7852042073594,False,-0.34940229475499684,pinned
DBL,2017-08-11,2017-08-17,532.8105212332966,532.8105212332966,-2.1892519792178433,428.38288677685614,24.37717231006864,187.60652065381663,10.204397025876249,2.0,22.496035118461304,26,,,2017-09-07,562.497361453331,stop,14,0.28428145839516755,562.497361453331,False,B,29.857020555437018,6.213199578077955,5.082050895333437,True,3,-2.374149423491534,17.7796681054067,4.9923875504840725,0,572.336252277083,False,5.5717443700845415,pinned
