tkr,sig_date,entry_date,entry,trig,stop0,stop_pct,risk_pct,notional_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through
STAR,2017-01-09,2017-01-10,1014.13,1013.26,952.31,6.49,2.0,32.81,,,2017-02-01,952.31,stop,15,-1.0,True
FCONSUMER,2017-01-20,2017-01-23,23.15,23.15,21.83,6.06,2.0,35.03,2017-02-07,25.793698093414307,2017-02-08,27.12,target3,11,2.5,False
HCC,2017-01-02,2017-01-03,38.76,38.22,35.9,7.97,2.0,27.08,,,2017-02-14,35.9,stop,29,-1.0,False
GAYAPROJ,2017-02-01,2017-02-03,131.27,127.85,122.03,7.57,2.0,28.41,,,2017-03-14,132.98,ma_breach,25,0.185,False
GREENPLY,2017-02-03,2017-02-07,275.09,264.43,253.14,8.67,2.0,25.06,,,2017-03-23,267.68,ma_breach,30,-0.338,False
EROSMEDIA,2017-02-10,2017-02-13,209.8,205.4,187.31,12.01,2.0,18.66,2017-03-23,254.77500915527344,2017-03-27,277.26,target3,28,2.5,False
GAYAPROJ,2017-03-15,2017-03-16,134.31,133.45,127.53,5.31,2.0,39.64,,,2017-03-27,129.23,ma_breach,7,-0.75,False
GREENPLY,2017-03-27,2017-03-28,276.01,276.01,262.23,5.25,2.0,40.07,,,2017-04-03,274.46,ma_breach,4,-0.113,False
GAYAPROJ,2017-03-28,2017-03-29,136.59,136.21,128.57,6.23,2.0,34.09,2017-04-17,152.61159338378906,2017-04-18,160.62,target3,12,2.5,False
GAYAPROJ,2017-04-19,2017-04-20,156.72,156.72,150.87,3.88,2.0,53.58,,,2017-04-26,150.87,stop,4,-1.0,False
HCC,2017-04-24,2017-04-26,42.62,41.45,39.21,8.68,2.0,25.04,,,2017-05-05,39.21,stop,6,-1.0,False
RNAVAL,2017-04-27,2017-05-03,18823.75,17998.75,17609.87,6.89,2.0,31.01,,,2017-05-05,17609.87,stop,2,-1.0,False
SUVEN,2017-05-05,2017-05-08,6.58,6.58,6.35,3.75,2.0,55.35,,,2017-05-19,6.35,stop,9,-1.0,False
DCAL,2017-03-28,2017-03-29,299.67,278.39,244.48,22.57,2.0,10.86,,,2017-05-23,294.22,ma_breach,36,-0.099,False
MANPASAND,2017-05-17,2017-05-19,399.37,399.37,385.11,3.7,2.0,56.01,,,2017-05-23,385.11,stop,2,-1.0,False
COFFEEDAY,2017-05-23,2017-05-26,257.0,257.0,245.4,4.73,2.0,44.33,,,2017-05-29,245.4,stop,1,-1.0,False
LAXMIMACH,2017-03-29,2017-04-03,4067.71,3996.65,3897.85,4.36,2.0,47.89,2017-04-17,4407.427633384834,2017-06-01,4577.29,target3,40,2.5,False
RUPA,2017-05-25,2017-05-29,344.32,333.58,319.91,7.63,2.0,28.22,2017-06-02,393.12565348444457,2017-06-02,417.53,target3,4,2.5,False
SUVEN,2017-05-29,2017-06-01,6.52,6.52,6.22,4.83,2.0,43.43,,,2017-06-19,6.22,stop,12,-1.0,False
GAYAPROJ,2017-06-15,2017-06-20,162.66,157.48,151.77,7.17,2.0,29.89,,,2017-06-27,151.77,stop,4,-1.0,False
MANPASAND,2017-05-25,2017-05-29,427.22,390.42,366.63,16.53,2.0,14.1,,,2017-07-13,382.19,ma_breach,32,-0.743,False
RUPA,2017-06-02,2017-06-05,428.48,417.92,350.86,22.12,2.0,11.04,,,2017-07-31,434.75,ma_breach,39,0.081,False
LAXMIMACH,2017-06-01,2017-06-05,4786.38,4623.4,4448.0,7.61,2.0,28.29,2017-07-28,5463.156898320111,2017-08-07,5801.54,target3,44,2.5,False
RELCAPITAL,2017-06-23,2017-06-27,550.69,550.69,519.71,5.96,2.0,35.55,2017-07-31,612.646114745465,2017-08-07,643.62,target3,29,2.5,False
JETAIRWAYS,2017-07-28,2017-07-31,599.75,599.75,567.83,5.62,2.0,37.58,,,2017-08-10,567.83,stop,8,-1.0,False
FCONSUMER,2017-07-17,2017-07-20,44.35,39.65,37.26,19.02,2.0,12.52,,,2017-08-11,37.26,stop,16,-1.0,False
FCONSUMER,2017-08-14,2017-08-16,41.9,41.8,39.46,6.18,2.0,34.35,2017-08-23,46.77900457763671,2017-08-28,49.22,target3,7,2.5,False
FRETAIL,2017-08-07,2017-08-08,425.42,425.42,393.87,8.01,2.0,26.97,2017-08-17,488.5088668212891,2017-08-31,520.05,target3,15,2.5,False
GREENPLY,2017-08-22,2017-08-24,285.41,266.72,260.1,9.73,2.0,22.56,,,2017-09-14,260.1,stop,14,-1.0,False
GVKPIL,2017-06-28,2017-07-03,8.9,6.7,6.29,41.41,2.0,6.83,,,2017-09-25,11.65,ma_breach,58,1.055,False
DCAL,2017-09-28,2017-09-29,324.54,321.29,290.44,11.74,2.0,19.03,,,2017-10-13,298.62,ma_breach,9,-0.76,False
EROSMEDIA,2017-10-12,2017-10-13,230.3,230.3,216.78,6.24,2.0,34.08,,,2017-10-18,216.78,stop,3,-1.0,False
MANPASAND,2017-09-11,2017-09-13,451.69,433.26,411.93,9.65,2.0,22.72,,,2017-10-26,445.71,ma_breach,29,-0.15,False
EROSMEDIA,2017-10-24,2017-10-25,220.9,220.25,208.79,5.8,2.0,36.49,,,2017-10-31,208.79,stop,4,-1.0,False
FCONSUMER,2017-10-27,2017-10-31,62.0,61.75,56.84,9.07,2.0,24.05,,,2017-11-06,59.85,ma_breach,4,-0.417,False
GREENPLY,2017-11-03,2017-11-06,286.38,286.38,273.0,4.9,2.0,42.81,2017-11-08,313.1361574927055,2017-11-08,326.51,target3,2,2.5,False
GVKPIL,2017-10-26,2017-10-27,17.0,16.2,15.43,10.14,2.0,21.72,,,2017-11-14,15.43,stop,12,-1.0,True
GAYAPROJ,2017-08-28,2017-08-29,172.87,172.87,163.49,5.74,2.0,36.87,2017-09-19,191.62489141845703,2017-11-20,201.0,target3,57,2.5,False
SUVEN,2017-11-16,2017-11-17,6.95,6.95,6.53,6.37,2.0,33.38,,,2017-12-01,6.81,ma_breach,10,-0.328,False
AVANTIFEED,2017-08-11,2017-08-14,596.38,511.53,428.11,39.3,2.0,7.09,,,2017-12-06,789.75,ma_breach,78,1.149,False
JETAIRWAYS,2017-11-08,2017-11-09,627.0,627.0,593.46,5.65,2.0,37.38,2017-11-10,694.0881243896483,2017-12-20,727.63,target3,29,2.5,False
RUPA,2017-12-01,2017-12-04,446.77,446.77,391.89,14.0,2.0,16.28,,,2018-01-23,421.25,ma_breach,35,-0.465,False
CUB,2017-12-01,2017-12-04,113.71,113.71,109.22,4.11,2.0,50.72,,,2018-01-25,114.26,ma_breach,37,0.124,False
GNFC,2018-01-18,2018-01-23,424.71,412.66,388.4,9.35,2.0,23.39,,,2018-01-29,388.4,stop,3,-1.0,False
DEN,2017-12-05,2017-12-08,110.5,107.5,93.51,18.17,2.0,13.0,2018-01-15,144.48720304870605,2018-02-02,106.0,ma_breach_half,38,0.868,False
ABB,2018-01-22,2018-01-25,1443.12,1407.48,1365.75,5.66,2.0,37.31,,,2018-02-06,1365.75,stop,7,-1.0,False
PFIZER,2018-01-24,2018-01-29,1973.14,1924.3,1780.14,10.84,2.0,20.45,,,2018-03-14,1888.06,ma_breach,30,-0.441,False
LTTS,2018-01-22,2018-01-25,1121.29,932.15,881.74,27.17,2.0,9.36,,,2018-03-19,1121.24,ma_breach,34,-0.0,False
ESCORTS,2018-02-01,2018-02-06,846.6,846.6,780.15,8.52,2.0,25.48,,,2018-03-19,800.07,ma_breach,27,-0.7,False
OBEROIRLTY,2018-03-09,2018-03-14,538.51,515.9,477.19,12.85,2.0,17.57,,,2018-03-19,477.19,stop,3,-1.0,False
AARTIIND,2017-12-15,2017-12-20,239.97,224.84,215.71,11.25,2.0,19.78,,,2018-03-23,255.58,ma_breach,63,0.643,False
FDC,2018-02-06,2018-02-07,238.42,235.98,212.03,12.45,2.0,18.07,2018-03-07,291.19521064215064,2018-03-26,239.58,ma_breach_half,31,1.022,False
JUBLFOOD,2018-03-14,2018-03-19,208.41,204.6,200.39,4.0,2.0,51.99,2018-03-22,224.44370664164882,2018-03-27,232.46,target3,6,2.5,False
LTI,2018-03-20,2018-03-22,1364.0,1339.0,1270.23,7.38,2.0,29.09,,,2018-04-02,1335.0,ma_breach,5,-0.309,False
TVTODAY,2018-03-14,2018-03-16,362.26,362.26,298.22,21.47,2.0,11.31,,,2018-04-17,306.01,ma_breach,20,-0.878,False
RADICO,2018-03-23,2018-03-26,342.27,342.27,319.51,7.12,2.0,30.07,2018-04-19,387.80047805101395,2018-04-19,410.56,target3,16,2.5,False
CHAMBLFERT,2018-04-18,2018-04-23,167.5,150.03,144.98,15.53,2.0,14.88,,,2018-05-10,144.98,stop,12,-1.0,False
AARTIIND,2018-04-16,2018-04-19,314.45,302.86,284.61,10.48,2.0,21.08,,,2018-05-21,284.61,stop,21,-1.0,False
CHOLAFIN,2018-03-26,2018-04-02,285.92,284.75,266.08,7.46,2.0,28.81,2018-04-23,325.62037746490245,2018-05-23,300.36,ma_breach_half,36,1.364,False
ASTRAL,2018-03-22,2018-03-27,392.18,380.2,366.49,7.01,2.0,30.53,2018-05-30,443.56315435325604,2018-06-01,469.25,target3,45,2.5,False
MERCK,2018-04-19,2018-04-23,1332.07,1332.07,1138.04,17.05,2.0,13.73,2018-05-30,1720.128691693231,2018-06-01,1914.16,target3,28,2.5,False
CUB,2018-05-30,2018-06-01,127.97,121.12,117.47,8.94,2.0,24.38,,,2018-06-21,119.81,ma_breach,14,-0.777,False
DMART,2018-05-25,2018-05-30,1544.0,1506.0,1418.58,8.84,2.0,24.62,,,2018-06-22,1496.0,ma_breach,17,-0.383,False
FSL,2018-06-21,2018-06-22,59.18,59.18,53.74,10.12,2.0,21.75,,,2018-06-27,53.74,stop,3,-1.0,False
AIAENG,2018-05-16,2018-05-21,1519.01,1457.58,1374.65,10.5,2.0,21.04,,,2018-06-29,1428.92,ma_breach,29,-0.624,False
BERGEPAINT,2018-05-18,2018-05-23,235.18,225.5,213.69,10.06,2.0,21.89,,,2018-07-02,224.78,ma_breach,28,-0.484,False
JUSTDIAL,2018-06-28,2018-07-02,555.1,549.8,515.58,7.66,2.0,28.09,,,2018-07-26,558.0,ma_breach,18,0.073,False
IBVENTURES,2018-04-13,2018-04-17,384.0,324.7,276.77,38.74,2.0,7.16,2018-07-31,598.4540999999999,2018-08-10,705.68,target3,82,2.5,False
BATAINDIA,2018-06-18,2018-06-21,787.99,761.18,723.74,8.88,2.0,24.53,2018-08-13,916.4917061250563,2018-08-23,980.74,target3,43,2.5,False
GSKCONS,2018-06-26,2018-06-29,6485.95,6485.95,6113.88,6.09,2.0,34.86,2018-08-23,7230.089999999999,2018-08-23,7602.16,target3,37,2.5,False
BRITANNIA,2018-08-17,2018-08-23,3072.48,2949.21,2874.71,6.88,2.0,31.07,,,2018-09-04,2874.71,stop,8,-1.0,False
MERCK,2018-08-23,2018-08-27,2399.28,2300.79,2180.9,10.01,2.0,21.97,,,2018-09-06,2180.9,stop,8,-1.0,False
LALPATHLAB,2018-07-23,2018-07-26,444.65,425.92,412.83,7.71,2.0,27.94,2018-08-27,508.31040329090825,2018-09-21,456.75,ma_breach_half,37,1.19,False
BBTC,2018-08-21,2018-08-24,1941.16,1655.35,1525.11,27.28,2.0,9.33,,,2018-09-21,1525.11,stop,18,-1.0,False
SUVEN,2018-09-05,2018-09-10,12.47,11.18,10.45,19.32,2.0,12.35,,,2018-09-21,10.45,stop,7,-1.0,False
GAIL,2018-09-17,2018-09-21,93.07,89.73,87.65,6.18,2.0,34.34,,,2018-09-25,87.65,stop,2,-1.0,False
INTELLECT,2018-08-07,2018-08-10,250.75,240.28,194.66,28.82,2.0,8.94,,,2018-09-27,224.3,ma_breach,30,-0.472,False
VINATIORGA,2018-08-10,2018-08-14,649.39,627.01,575.82,12.78,2.0,17.65,,,2018-09-28,575.82,stop,29,-1.0,False
MINDTREE,2018-08-30,2018-09-04,1109.4,1059.9,1032.37,7.46,2.0,28.8,,,2018-09-28,1032.37,stop,16,-1.0,False
ERIS,2018-09-19,2018-09-25,727.01,724.62,673.52,7.94,2.0,27.18,,,2018-09-28,673.52,stop,3,-1.0,False
AIAENG,2018-09-25,2018-09-28,1696.5,1696.5,1642.0,3.32,2.0,62.26,,,2018-10-04,1642.0,stop,3,-1.0,False
ABFRL,2018-09-25,2018-09-28,184.33,184.28,170.36,8.2,2.0,26.39,,,2018-10-08,177.38,ma_breach,5,-0.497,False
ATUL,2018-10-01,2018-10-05,3098.48,3098.48,2994.76,3.46,2.0,59.75,,,2018-10-08,2994.76,stop,1,-1.0,True
PRAJIND,2018-10-05,2018-10-08,89.53,89.53,86.07,4.02,2.0,51.69,2018-10-10,96.46060405303515,2018-10-11,99.92,target3,3,2.5,False
TCS,2018-10-05,2018-10-08,1735.53,1735.53,1652.75,5.01,2.0,41.93,,,2018-10-11,1652.75,stop,3,-1.0,True
AUROPHARMA,2018-10-09,2018-10-11,738.67,738.67,704.8,4.81,2.0,43.61,,,2018-10-12,704.8,stop,1,-1.0,False
PRAJIND,2018-10-11,2018-10-12,101.78,101.78,91.78,10.9,2.0,20.36,,,2018-10-23,91.78,stop,6,-1.0,False
DRREDDY,2018-10-09,2018-10-12,473.37,473.37,447.11,5.87,2.0,36.06,,,2018-10-26,457.01,ma_breach,9,-0.623,False
NAUKRI,2018-10-24,2018-10-25,310.71,310.71,287.71,7.99,2.0,27.02,,,2018-11-01,287.71,stop,5,-1.0,False
