tkr,sig_date,entry_date,entry,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
STAR,2017-01-09,2017-01-10,1014.13,952.31,2.0,,,2017-02-01,952.31,stop,15,-1.0,True,-21989.63,629.41
FCONSUMER,2017-01-20,2017-01-23,23.15,21.83,2.0,2017-02-07,25.793698093414307,2017-02-08,27.12,target3,11,2.5,False,44287.69,734.22
HCC,2017-01-02,2017-01-03,38.76,35.9,2.0,,,2017-02-14,35.9,stop,29,-1.0,False,-21825.9,521.68
GAYAPROJ,2017-02-01,2017-02-03,131.27,122.03,2.0,,,2017-03-14,132.98,stall,25,0.185,False,92.79,545.2
GAYAPROJ,2017-03-15,2017-03-16,134.31,127.53,2.0,,,2017-03-20,132.83,stall,2,-0.217,False,-9250.4,783.2
STAR,2017-03-20,2017-03-21,1020.23,975.66,2.0,,,2017-03-23,1005.41,stall,2,-0.333,False,-9716.64,898.18
GREENPLY,2017-02-03,2017-02-07,275.09,253.14,2.0,,,2017-03-27,265.45,stall,32,-0.439,False,-11629.54,481.96
EROSMEDIA,2017-02-10,2017-02-13,209.8,187.31,2.0,2017-03-23,254.77500915527344,2017-03-27,277.26,target3,28,2.5,False,48917.08,433.46
GREENPLY,2017-03-27,2017-03-28,276.01,262.23,2.0,,,2017-03-30,267.05,stall,2,-0.65,False,-18315.96,803.37
FCONSUMER,2017-03-28,2017-03-31,29.25,27.32,2.0,2017-04-05,33.10469923782349,2017-04-06,35.03,target3,3,2.5,False,47411.21,653.07
FCONSUMER,2017-04-06,2017-04-07,35.6,32.97,2.0,,,2017-04-13,32.97,stop,4,-1.0,False,-23115.34,551.67
GAYAPROJ,2017-03-28,2017-03-29,136.59,128.57,2.0,2017-04-17,152.61159338378906,2017-04-18,160.62,target3,12,2.5,False,45703.58,736.95
MANPASAND,2017-04-11,2017-04-17,359.58,347.89,2.0,,,2017-05-03,347.89,stop,11,-1.0,False,-29474.17,1291.57
HCC,2017-04-24,2017-04-26,42.62,39.21,2.0,,,2017-05-05,39.21,stop,6,-1.0,False,-23086.53,511.95
RNAVAL,2017-04-27,2017-05-03,18823.75,17609.87,2.0,,,2017-05-05,17609.87,stop,2,-1.0,False,-23010.69,624.99
THYROCARE,2017-05-08,2017-05-10,208.49,192.06,2.0,,,2017-05-12,197.53,stall,2,-0.667,False,-16150.19,484.86
SUVEN,2017-05-05,2017-05-08,6.58,6.35,2.0,,,2017-05-19,6.35,stop,9,-1.0,False,-24879.71,1086.44
HCC,2017-05-17,2017-05-18,41.9,39.12,2.0,,,2017-05-19,39.12,stop,1,-1.0,False,-21393.9,566.62
MANPASAND,2017-05-17,2017-05-19,399.37,385.11,2.0,,,2017-05-23,385.11,stop,2,-1.0,False,-23600.73,1040.62
DCAL,2017-03-28,2017-03-29,299.67,244.48,2.0,,,2017-05-25,270.2,deep,38,-0.534,False,-11481.55,207.97
COFFEEDAY,2017-05-23,2017-05-26,257.0,245.4,2.0,,,2017-05-29,245.4,stop,1,-1.0,False,-22849.41,777.71
LAXMIMACH,2017-05-25,2017-05-29,4295.9,4157.1,2.0,2017-06-01,4573.47721433054,2017-06-02,4712.27,target3,4,2.5,False,38068.94,1170.73
SUVEN,2017-05-29,2017-06-01,6.52,6.22,2.0,,,2017-06-05,6.52,stall,2,0.029,False,-3030.67,789.79
RUPA,2017-05-30,2017-06-02,351.26,334.33,2.0,2017-06-05,385.12604818452274,2017-06-05,402.06,target3,1,2.5,False,41217.63,815.68
RUPA,2017-06-05,2017-06-06,454.05,422.28,2.0,2017-06-14,517.5888759501015,2017-06-28,422.28,stop_half,15,0.5,False,7760.44,566.81
MANPASAND,2017-05-25,2017-05-26,390.91,366.63,2.0,2017-05-29,439.49318803126135,2017-07-11,383.11,stall_half,31,0.839,False,12989.72,592.84
GVKPIL,2017-06-28,2017-06-30,7.4,6.29,2.0,2017-07-21,9.612599905014038,2017-07-24,10.72,target3,16,2.5,False,46367.98,304.75
LAXMIMACH,2017-06-02,2017-06-05,4787.34,4559.25,2.0,2017-07-03,5243.5406545947035,2017-07-28,5471.64,target3,38,2.5,False,44318.77,887.98
MANPASAND,2017-07-24,2017-07-26,396.19,376.39,2.0,,,2017-07-28,395.84,stall,2,-0.018,False,-4219.18,854.17
QUESS,2017-06-20,2017-06-23,812.99,750.78,2.0,,,2017-08-02,799.79,stall,27,-0.212,False,-7484.69,516.76
JETAIRWAYS,2017-07-28,2017-07-31,599.75,567.83,2.0,,,2017-08-10,567.83,stop,8,-1.0,False,-23054.87,791.25
FCONSUMER,2017-07-12,2017-07-13,37.8,33.82,2.0,2017-07-20,45.76770075988769,2017-08-28,49.75,target3,30,2.5,False,48803.3,432.25
FRETAIL,2017-08-07,2017-08-08,425.42,393.87,2.0,2017-08-17,488.5088668212891,2017-08-31,520.05,target3,15,2.5,False,53990.05,650.26
MANPASAND,2017-08-14,2017-08-17,402.88,388.27,2.0,2017-09-11,432.0944112695477,2017-09-12,446.7,target3,17,2.5,False,49713.65,1262.54
GAYAPROJ,2017-09-13,2017-09-15,172.4,165.34,2.0,2017-09-18,186.49947592163085,2017-09-19,193.55,target3,2,2.5,False,51090.33,1206.55
GVKPIL,2017-09-15,2017-09-19,12.4,11.99,2.0,,,2017-09-20,11.99,stop,1,-1.0,False,-31733.18,1483.31
DCAL,2017-09-28,2017-09-29,324.54,290.44,2.0,,,2017-10-16,290.44,stop,10,-1.0,False,-27388.82,443.51
FRETAIL,2017-09-29,2017-10-03,524.52,499.88,2.0,,,2017-10-18,499.88,stop,11,-1.0,False,-26566.24,1027.46
MANPASAND,2017-09-12,2017-09-13,451.69,424.37,2.0,2017-09-15,506.3187671786024,2017-10-25,434.16,stall_half,28,0.679,False,12810.95,794.07
EROSMEDIA,2017-10-24,2017-10-25,220.9,208.79,2.0,,,2017-10-31,213.3,stall,4,-0.628,False,-17525.11,834.39
GVKPIL,2017-10-26,2017-10-31,18.7,15.43,2.0,,,2017-11-14,15.43,stop,10,-1.0,True,-25040.15,246.67
FCONSUMER,2017-10-27,2017-10-31,62.0,56.84,2.0,,,2017-11-22,59.4,stall,16,-0.504,False,-13841.75,555.52
SUVEN,2017-11-21,2017-11-23,7.12,6.72,2.0,,,2017-11-27,6.97,stall,2,-0.372,False,-12472.18,822.11
GAYAPROJ,2017-10-19,2017-10-23,182.99,175.35,2.0,2017-11-07,198.250016784668,2017-11-29,205.88,target3,27,2.5,False,52001.49,1202.34
QUESS,2017-11-27,2017-11-30,832.01,799.08,2.0,2017-12-11,897.87417605813,2017-12-11,930.8,target3,7,2.5,False,54577.83,1250.59
AVANTIFEED,2017-08-11,2017-08-14,596.38,428.11,2.0,,,2017-12-21,776.2,stall,89,1.069,False,21924.22,171.94
3MINDIA,2017-12-06,2017-12-11,14746.94,14032.66,2.0,2017-12-26,16175.501104344647,2017-12-27,16889.78,target3,11,2.5,False,54581.67,1074.69
GREENPLY,2017-11-03,2017-11-07,295.02,273.0,2.0,2018-01-01,339.0559667149435,2018-01-04,361.07,target3,41,2.5,False,53485.97,676.76
AARTIIND,2017-12-20,2017-12-26,267.43,239.73,2.0,,,2018-01-05,239.73,stop,8,-1.0,False,-28813.68,472.98
BOMDYEING,2017-12-15,2017-12-19,272.98,221.96,2.0,,,2018-01-29,227.05,deep,27,-0.9,False,-23091.05,246.51
HFCL,2018-01-01,2018-01-04,33.35,28.46,2.0,,,2018-01-30,28.46,stop,17,-1.0,False,-28229.53,341.63
NBVENTURES,2018-01-02,2018-01-05,74.26,64.75,2.0,,,2018-01-30,64.75,stop,16,-1.0,False,-28317.97,393.59
ALLCARGO,2017-12-21,2017-12-27,45.23,40.18,2.0,,,2018-02-01,41.04,stall,25,-0.83,False,-23215.06,445.95
BLISSGVS,2018-01-24,2018-01-30,201.47,190.05,2.0,,,2018-02-02,190.05,stop,3,-1.0,False,-27903.58,854.13
KNRCON,2017-12-21,2017-12-27,170.75,135.39,2.0,,,2018-02-05,135.39,stop,27,-1.0,False,-26885.0,225.96
PHILIPCARB,2018-01-02,2018-01-04,95.75,74.25,2.0,,,2018-02-05,74.24,deep,21,-1.0,False,-27795.18,213.72
ELGIEQUIP,2018-01-30,2018-02-01,161.49,136.48,2.0,,,2018-02-05,136.48,stop,2,-1.0,False,-25619.96,283.92
GAYAPROJ,2018-01-31,2018-02-02,223.0,201.05,2.0,,,2018-02-05,201.05,stop,1,-1.0,True,-25161.92,455.29
GRAPHITE,2017-12-05,2017-12-08,501.61,421.9,2.0,2018-01-03,661.0443773079469,2018-02-06,487.84,deep_half,40,0.914,False,21448.06,325.56
GVKPIL,2018-01-30,2018-02-02,21.1,19.18,2.0,,,2018-02-06,19.18,stop,2,-1.0,True,-25299.72,494.66
APOLLOTYRE,2018-02-08,2018-02-14,247.52,228.94,2.0,,,2018-02-16,241.41,stall,2,-0.328,False,-8336.88,583.83
AARTIIND,2018-01-31,2018-02-05,251.04,239.71,2.0,2018-02-14,273.693476591023,2018-03-14,285.02,target3,25,2.5,False,50737.43,1037.67
OBEROIRLTY,2018-03-09,2018-03-14,538.51,477.19,2.0,,,2018-03-19,477.19,stop,3,-1.0,False,-23252.83,364.08
