tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
3MINDIA,2018-06-18,18229.81,17465.25,2.0,4.38,2018-07-23,21785.11,2018-09-17,23304.86,time,13,4.319,106159.23,1066.61
BAJAJHLDNG,2018-06-18,2652.23,2516.49,2.0,5.39,,,2018-09-17,2781.3,time,13,0.951,16214.53,800.55
BALKRISIND,2018-07-23,1112.97,1027.57,2.0,8.31,,,2018-09-24,1021.45,stop,9,-1.072,-24365.38,545.36
ASIANPAINT,2018-09-17,1241.95,1195.31,2.0,3.9,,,2018-10-08,1129.94,stop,3,-2.401,-56792.62,1158.44
SONATSOFTW,2018-07-16,99.11,81.31,2.0,21.88,,,2018-10-15,97.68,time,13,-0.08,-2390.57,222.56
AIAENG,2018-09-24,1705.89,1576.13,2.0,8.23,,,2018-10-15,1480.67,stop,3,-1.736,-40213.95,542.14
3MINDIA,2018-10-15,20544.89,19546.21,2.0,5.11,,,2018-10-29,18301.35,stop,2,-2.247,-50041.21,781.23
RADICO,2018-11-19,428.33,383.25,2.0,11.76,,,2018-12-10,372.51,stop,3,-1.238,-25225.75,344.6
HAVELLS,2018-10-08,561.41,526.41,2.0,6.65,2018-11-19,640.92,2019-01-07,649.8,time,13,2.263,47839.51,705.95
NAUKRI,2018-10-08,280.16,255.35,2.0,9.72,,,2019-01-07,306.13,time,13,1.047,19743.42,483.89
AIAENG,2018-10-29,1622.42,1413.16,2.0,14.81,,,2019-01-28,1536.26,time,13,-0.412,-9061.68,294.44
BAJFINANCE,2018-10-29,226.79,193.69,2.0,17.09,,,2019-01-28,253.08,time,13,0.794,14982.7,282.8
VMART,2018-11-05,659.43,524.9,2.0,25.63,,,2019-02-04,660.24,time,13,0.006,-558.21,193.48
ABFRL,2018-12-17,197.39,172.5,2.0,14.43,,,2019-03-18,224.74,time,13,1.099,20765.69,338.76
NAUKRI,2019-01-07,306.13,272.45,2.0,12.36,,,2019-04-08,357.48,time,13,1.525,28859.3,390.65
VBL,2019-01-08,47.38,43.6,2.0,8.68,,,2019-04-08,51.01,time,13,0.96,17466.62,522.72
COFORGE,2019-01-29,239.19,223.81,2.0,6.87,,,2019-04-30,242.13,time,13,0.191,2654.33,617.04
AUROPHARMA,2019-04-30,798.22,743.14,2.0,7.41,,,2019-05-13,715.48,stop,2,-1.502,-32962.58,583.84
