tkr,sig_date,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held,R,net_pnl,stt_paid
ALLCARGO,2017-01-02,2017-01-03,38.46,35.7,2.0,7.72,,,2017-01-10,35.97,ma_breach,5,-0.903,-21465.11,539.86
LAXMIMACH,2017-01-02,2017-01-03,3843.07,3662.6,2.0,4.93,,,2017-01-23,3662.6,stop,14,-1.0,-25240.32,831.8
DCAL,2017-01-02,2017-01-03,221.02,198.43,2.0,11.39,,,2017-02-14,215.31,ma_breach,29,-0.253,-6406.79,386.24
FCONSUMER,2017-01-23,2017-01-24,23.25,21.28,2.0,9.26,2017-02-08,27.19260152435303,2017-03-28,27.61,trail,42,2.105,37871.77,500.86
EROSMEDIA,2017-02-13,2017-02-14,209.25,178.92,2.0,16.95,2017-03-24,269.90818780517577,2017-04-12,241.94,trail,38,1.539,30351.71,313.44
AVANTIFEED,2017-01-09,2017-01-10,160.61,145.16,2.0,10.65,2017-02-22,191.5270484248956,2017-04-13,261.77,time,63,4.272,82207.66,500.61
MANPASAND,2017-01-30,2017-02-01,319.5,297.89,2.0,7.25,2017-02-28,362.7144962749547,2017-05-04,341.23,trail,61,1.503,26382.78,594.36
GVKPIL,2017-04-24,2017-04-25,6.55,5.94,2.0,10.19,,,2017-05-09,6.1,ma_breach,9,-0.743,-20807.18,496.91
SUVEN,2017-05-08,2017-05-10,6.58,6.08,2.0,8.35,,,2017-05-19,6.08,stop,7,-1.0,-25977.98,582.95
ALLCARGO,2017-05-15,2017-05-16,39.61,37.42,2.0,5.86,,,2017-05-19,37.42,stop,3,-1.0,-26538.6,830.68
RELCAPITAL,2017-02-20,2017-02-21,441.06,394.47,2.0,11.81,2017-04-25,534.2303993892559,2017-05-23,530.68,trail,60,1.962,39425.77,428.14
RELCAPITAL,2017-06-12,2017-06-13,501.47,461.5,2.0,8.66,,,2017-06-19,509.25,ma_breach,4,0.195,3413.91,578.6
LAXMIMACH,2017-03-27,2017-03-28,3976.07,3641.56,2.0,9.19,2017-06-02,4645.083241067883,2017-06-29,4707.36,time,63,2.093,44307.24,589.49
COFFEEDAY,2017-07-03,2017-07-04,252.75,239.86,2.0,5.37,,,2017-07-10,244.8,ma_breach,4,-0.617,-19748.85,886.46
COFFEEDAY,2017-07-17,2017-07-18,250.95,242.96,2.0,3.29,,,2017-07-28,244.85,ma_breach,8,-0.763,-25621.04,1377.23
THYROCARE,2017-07-03,2017-07-04,205.31,188.58,2.0,8.87,,,2017-07-31,193.64,ma_breach,19,-0.697,-19466.89,547.56
THYROCARE,2017-08-07,2017-08-09,197.12,190.45,2.0,3.51,,,2017-08-10,190.45,stop,1,-1.0,-30872.55,1312.37
GVKPIL,2017-06-27,2017-06-29,7.65,6.04,2.0,26.57,2017-07-24,10.862099905014038,2017-08-24,11.57,trail,39,2.222,49132.07,267.31
COFFEEDAY,2017-09-04,2017-09-05,247.4,237.06,2.0,4.36,,,2017-09-21,237.06,stop,12,-1.0,-28168.85,1019.22
RUPA,2017-10-03,2017-10-04,405.0,350.16,2.0,15.66,,,2017-10-12,385.07,ma_breach,6,-0.363,-9393.93,307.71
EROSMEDIA,2017-10-09,2017-10-10,232.3,210.89,2.0,10.15,,,2017-10-23,210.89,stop,8,-1.0,-22839.51,440.82
RELCAPITAL,2017-10-30,2017-10-31,573.34,532.44,2.0,7.68,,,2017-11-06,569.39,ma_breach,4,-0.097,-3172.51,603.66
SUVEN,2017-09-18,2017-09-20,6.22,5.44,2.0,14.36,2017-10-16,7.784900218713156,2017-11-08,6.91,trail,33,1.44,29247.26,379.06
HATHWAY,2017-12-04,2017-12-05,44.85,34.72,2.0,29.19,,,2017-12-08,34.72,stop,3,-1.0,-22923.08,172.77
GAYAPROJ,2017-08-28,2017-08-29,170.02,148.03,2.0,14.86,2017-12-29,214.01012539672854,2017-12-29,214.81,time,85,2.018,41630.13,381.36
JETAIRWAYS,2017-10-30,2017-10-31,574.0,462.19,2.0,24.19,2017-12-26,797.6253121948242,2018-01-24,775.64,trail,60,1.902,40611.89,262.9
AARTIIND,2017-12-18,2017-12-19,231.7,208.91,2.0,10.91,2018-01-05,277.2727790126902,2018-01-25,251.41,trail,26,1.432,29952.25,503.34
GREENPLY,2017-11-06,2017-11-07,295.02,265.68,2.0,11.04,2018-01-04,353.69998095380123,2018-01-30,345.44,trail,58,1.859,37370.11,477.08
EROSMEDIA,2018-01-08,2018-01-09,254.0,198.35,2.0,28.06,,,2018-01-30,207.0,ma_breach,14,-0.845,-21894.12,207.62
AIAENG,2017-12-04,2017-12-05,1419.85,1347.17,2.0,5.39,2017-12-15,1565.2054847318523,2018-02-01,1449.27,trail,40,1.202,23360.24,886.33
RELCAPITAL,2018-01-01,2018-01-02,594.74,468.69,2.0,26.89,,,2018-02-01,479.69,ma_breach,21,-0.913,-22614.66,207.71
PNB,2018-01-22,2018-01-24,167.03,146.5,2.0,14.01,,,2018-02-01,155.8,ma_breach,5,-0.547,-13938.68,381.13
ALLCARGO,2017-12-26,2017-12-27,45.23,37.34,2.0,21.11,,,2018-02-02,40.4,ma_breach,26,-0.612,-15676.78,261.85
PETRONET,2018-01-29,2018-01-30,175.04,161.76,2.0,8.21,,,2018-02-07,170.74,ma_breach,6,-0.324,-8597.05,603.52
8KMILES,2018-02-12,2018-02-14,325.2,233.77,2.0,39.11,,,2018-02-20,318.0,ma_breach,4,-0.079,-2374.75,161.61
INOXLEISUR,2018-02-05,2018-02-07,292.45,267.43,2.0,9.35,,,2018-02-23,282.0,ma_breach,11,-0.418,-11111.05,512.23
INDHOTEL,2018-01-08,2018-01-09,133.54,109.87,2.0,21.54,,,2018-02-26,124.42,ma_breach,32,-0.385,-10615.81,273.16
APOLLOTYRE,2018-02-26,2018-02-27,238.72,220.94,2.0,8.04,,,2018-03-07,229.92,ma_breach,5,-0.495,-12176.51,591.8
SJVN,2018-02-05,2018-02-07,22.26,21.42,2.0,3.93,,,2018-03-09,21.89,ma_breach,20,-0.443,-17266.02,1170.74
HCLTECH,2018-03-12,2018-03-13,376.08,356.35,2.0,5.54,,,2018-03-20,356.35,stop,5,-1.0,-22757.76,791.87
