tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
GREENPLY,2017-01-30,263.12,237.12,0.0319,,,2017-05-02,269.86,time,13,0.259
RELCAPITAL,2017-02-06,414.68,373.16,0.0352,2017-03-20,507.36,2017-05-08,552.79,time,13,2.663
MANPASAND,2017-02-13,348.14,326.76,0.0527,,,2017-05-15,370.52,time,13,1.047
GAYAPROJ,2017-04-03,138.2,127.75,0.0236,,,2017-07-03,151.93,time,13,1.314
EROSMEDIA,2017-05-29,217.5,205.0,0.0098,2017-06-19,244.7,2017-07-03,217.45,trail,5,0.998
MANPASAND,2017-05-15,370.52,339.81,0.0032,,,2017-08-14,397.9,time,13,0.891
GAYAPROJ,2017-07-10,166.98,142.48,0.1514,,,2017-10-09,178.43,time,13,0.467
DCAL,2017-10-04,331.68,290.73,0.1472,,,2017-11-20,284.68,stop,7,-1.148
RUPA,2017-10-03,391.42,350.51,0.079,,,2018-01-01,443.05,time,13,1.262
QUESS,2017-10-03,742.95,703.18,0.0116,2017-12-11,879.83,2018-01-01,1026.26,time,13,4.561
JETAIRWAYS,2017-11-06,622.0,524.5,0.1048,2018-01-01,832.0,2018-01-22,793.0,trail,11,1.877
COFFEEDAY,2017-12-04,265.5,229.0,0.0668,2018-01-15,346.25,2018-02-05,307.8,trail,9,1.579
DCAL,2018-01-08,334.88,313.0,0.0356,2018-01-29,379.58,2018-02-12,344.62,trail,5,1.223
SUVEN,2018-01-01,7.02,6.6,0.0383,2018-02-12,8.04,2018-03-12,7.21,trail,10,1.237
MANPASAND,2017-12-26,438.24,347.55,0.0163,,,2018-03-26,367.52,time,13,-0.78
JETAIRWAYS,2018-02-12,797.0,639.0,0.2464,,,2018-03-26,616.85,stop,6,-1.14
SOBHA,2018-02-12,530.56,446.78,0.1884,,,2018-03-26,437.5,stop,6,-1.111
GREENPLY,2018-02-12,357.25,299.97,0.1898,,,2018-04-02,300.94,stop,7,-0.983
BAJAJELEC,2018-02-12,484.94,356.77,0.3083,,,2018-05-14,560.04,time,13,0.586
HFCL,2018-02-12,30.6,22.94,0.2869,,,2018-05-14,26.53,time,13,-0.532
GULFOILLUB,2018-02-12,866.73,669.41,0.2188,,,2018-05-14,736.61,time,13,-0.659
ZYDUSWELL,2018-02-12,227.71,178.27,0.2115,,,2018-05-14,249.12,time,13,0.433
