tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
LAXMIMACH,2017-01-02,3814.38,3666.27,2.0,4.04,,,2017-02-20,3547.57,stop,7,-1.801,-42291.42,994.11
GREENPLY,2017-01-02,250.87,231.01,2.0,8.6,,,2017-04-03,274.46,time,13,1.188,20422.7,529.12
GAYAPROJ,2017-01-02,128.13,114.2,2.0,12.2,,,2017-04-03,138.2,time,13,0.723,12042.9,382.28
EROSMEDIA,2017-02-27,211.5,197.6,2.0,7.03,2017-03-27,268.8,2017-05-02,218.6,trail,9,1.255,45867.29,682.16
AVANTIFEED,2017-02-20,177.73,168.18,2.0,5.68,2017-02-27,202.64,2017-05-22,421.67,time,13,13.776,274089.76,1022.3
GREENPLY,2017-04-03,274.46,262.49,2.0,4.56,,,2017-06-05,256.2,stop,9,-1.526,-41320.3,1015.06
ALLCARGO,2017-05-02,39.93,36.65,2.0,8.94,,,2017-06-05,36.68,stop,5,-0.99,-24372.19,531.2
SUVEN,2017-06-05,6.52,6.22,2.0,4.86,,,2017-06-27,6.05,stop,3,-1.56,-45718.06,1043.42
EROSMEDIA,2017-05-29,217.5,205.0,2.0,6.1,2017-06-19,244.7,2017-07-03,217.45,trail,5,0.998,24989.6,933.75
HCC,2017-06-05,39.03,34.81,2.0,12.11,,,2017-08-14,31.4,stop,10,-1.809,-46847.16,419.1
COFFEEDAY,2017-07-03,249.7,240.1,2.0,4.0,,,2017-08-14,242.7,stop,6,-0.729,-26841.49,1308.31
GVKPIL,2017-06-27,6.65,6.05,2.0,9.92,2017-07-03,8.9,2017-08-28,11.95,trail,9,5.417,148555.21,690.81
COFFEEDAY,2017-09-07,246.0,237.3,2.0,3.67,,,2017-09-25,219.9,stop,3,-3.0,-86790.72,1392.65
GAYAPROJ,2017-07-10,166.98,142.48,2.0,17.2,,,2017-10-09,178.43,time,13,0.467,10600.83,357.7
EROSMEDIA,2017-10-09,228.8,211.1,2.0,8.38,,,2017-11-13,200.9,stop,5,-1.576,-40742.63,595.4
SUVEN,2017-09-18,6.22,5.45,2.0,14.19,,,2017-12-18,6.39,time,13,0.228,3223.36,419.9
QUESS,2017-10-03,742.95,703.18,2.0,5.66,2017-12-11,879.83,2018-01-01,1026.26,time,13,4.561,123359.28,1031.14
RUPA,2017-10-03,391.42,350.51,2.0,11.67,,,2018-01-01,443.05,time,13,1.262,27408.3,493.27
GREENPLY,2017-11-13,305.79,278.52,2.0,9.79,2018-01-08,368.8,2018-02-05,320.36,trail,12,1.267,30472.11,571.37
BAYERCROP,2018-01-01,3815.62,3646.86,2.0,4.63,,,2018-02-05,3530.51,stop,5,-1.689,-53279.57,1181.1
