tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
RELCAPITAL,2017-01-30,389.56,376.48,2.0,3.48,2017-02-20,434.58,2017-05-02,561.54,time,13,7.572,163409.69,1356.85
MANPASAND,2017-01-30,316.31,298.18,2.0,6.08,2017-03-06,368.36,2017-05-02,349.93,time,13,1.927,44299.34,745.2
GREENPLY,2017-05-08,277.02,269.42,2.0,2.82,,,2017-06-05,256.2,stop,4,-2.739,-79069.75,1743.34
LAXMIMACH,2017-03-27,3918.92,3645.2,2.0,7.51,2017-05-02,4509.11,2017-06-27,4836.28,time,13,2.676,60142.45,733.65
GREENPLY,2017-06-19,276.06,256.68,2.0,7.55,,,2017-07-24,249.88,stop,5,-1.351,-36446.16,649.96
HCC,2017-07-10,36.96,35.08,2.0,5.37,,,2017-08-14,31.4,stop,5,-2.952,-72175.59,850.48
JETAIRWAYS,2017-10-30,524.5,462.65,2.0,13.37,2017-11-13,686.0,2018-01-22,793.0,trail,12,3.171,74301.31,441.49
MANPASAND,2017-12-18,397.4,357.17,2.0,11.27,2018-01-08,485.65,2018-01-22,424.79,trail,5,1.34,30859.93,479.85
SUVEN,2017-12-26,6.6,6.23,2.0,5.99,2018-01-08,7.5,2018-02-05,6.49,trail,6,0.85,19385.66,853.08
DCAL,2017-11-27,302.66,276.04,2.0,9.64,2018-01-22,373.53,2018-02-12,344.62,trail,11,1.788,44675.23,562.02
ABREL,2018-02-12,1216.4,1107.01,2.0,9.88,,,2018-03-12,1102.06,stop,4,-1.045,-27952.52,546.84
SJVN,2018-02-07,22.1,21.44,2.0,3.09,,,2018-05-07,21.95,time,13,-0.225,-16110.25,1664.39
ADANIPORTS,2018-05-07,389.82,372.04,2.0,4.78,,,2018-05-21,370.19,stop,2,-1.104,-28223.29,1021.35
FINPIPE,2018-03-19,117.47,109.31,2.0,7.47,,,2018-05-28,109.29,stop,10,-1.002,-29266.02,690.42
GULFOILLUB,2018-05-14,736.61,680.8,2.0,8.2,,,2018-06-11,684.03,stop,4,-0.942,-26299.92,607.25
IDBI,2018-06-01,63.27,56.5,2.0,11.98,,,2018-06-18,56.22,stop,2,-1.042,-24073.04,395.87
HINDALCO,2018-05-28,234.32,212.83,2.0,10.1,,,2018-06-25,209.7,stop,4,-1.146,-27289.42,476.73
FRETAIL,2018-06-25,574.0,542.0,2.0,5.9,,,2018-07-23,534.0,stop,4,-1.25,-29207.65,770.63
BAJAJHLDNG,2018-05-21,2425.97,2259.09,2.0,7.39,2018-06-25,2781.52,2018-08-20,2655.98,time,13,1.689,36561.49,714.98
OBEROIRLTY,2018-07-23,475.36,438.83,2.0,8.32,,,2018-09-03,428.11,stop,6,-1.293,-29311.75,525.38
FDC,2018-06-11,228.05,210.2,2.0,8.5,,,2018-09-10,242.75,time,13,0.823,14603.06,586.2
JAICORPLTD,2018-06-18,138.8,115.29,2.0,20.39,,,2018-09-17,141.44,time,13,0.113,1603.25,270.0
BOMDYEING,2018-07-30,233.18,205.6,2.0,13.41,,,2018-10-01,154.23,stop,9,-2.863,-62632.68,302.14
INDHOTEL,2018-09-03,130.42,118.44,2.0,10.12,,,2018-10-08,116.51,stop,5,-1.161,-27124.88,453.2
ERIS,2018-09-17,722.24,688.55,2.0,4.89,,,2018-10-08,635.55,stop,3,-2.574,-61177.6,872.14
FSL,2018-10-15,50.39,41.85,2.0,20.42,,,2018-11-26,41.49,stop,6,-1.042,-20277.71,202.05
PRAJIND,2018-09-10,83.9,72.87,2.0,15.14,,,2018-12-10,93.5,time,13,0.869,17330.02,342.66
PAGEIND,2018-11-26,24760.68,23148.42,2.0,6.96,,,2018-12-10,21751.77,stop,2,-1.866,-36073.07,542.53
HAVELLS,2018-10-08,561.41,526.41,2.0,6.65,2018-11-19,640.92,2019-01-07,649.8,time,13,2.263,44017.67,649.55
TRENT,2018-10-08,336.27,314.4,2.0,6.96,,,2019-01-07,351.1,time,13,0.678,9044.39,592.12
SUVEN,2019-01-07,9.55,9.16,2.0,4.19,,,2019-01-14,9.06,stop,1,-1.265,-28810.02,889.35
KOTAKBANK,2018-12-10,247.65,233.13,2.0,6.23,,,2019-03-11,246.44,time,13,-0.084,-2647.47,621.82
RADICO,2018-12-17,408.09,348.94,2.0,16.95,,,2019-03-18,386.48,time,13,-0.365,-7716.23,251.34
AIAENG,2019-01-21,1612.31,1532.14,2.0,5.23,,,2019-04-22,1730.76,time,13,1.478,23061.42,745.53
GLENMARK,2019-03-22,632.7,581.19,2.0,8.86,,,2019-05-20,569.52,stop,8,-1.226,-23623.61,421.5
VMART,2019-05-02,694.19,647.96,2.0,7.14,,,2019-05-20,574.33,stop,3,-2.592,-49878.99,494.88
JUBLFOOD,2019-03-11,264.7,247.85,2.0,6.8,,,2019-06-10,259.87,time,13,-0.287,-6298.44,571.78
LINDEINDIA,2019-05-20,526.19,490.32,2.0,7.32,,,2019-06-24,477.13,stop,5,-1.368,-25169.66,455.98
HCC,2019-06-10,13.05,12.4,2.0,5.24,,,2019-06-24,12.15,stop,2,-1.385,-26812.64,638.18
ORIENTBANK,2019-06-28,96.0,89.6,2.0,7.14,,,2019-07-15,89.8,stop,2,-0.969,-16834.28,456.59
