date,equity_net,ret_net,ret_gross,n_positions
2017-09-14,1000000.00,,,0
2017-09-15,1000000.00,0.00000000,0.00000000,0
2017-09-18,1000000.00,0.00000000,0.00000000,0
2017-09-19,1000000.00,0.00000000,0.00000000,0
2017-09-20,1000000.00,0.00000000,0.00000000,0
2017-09-21,1000000.00,0.00000000,0.00000000,0
2017-09-22,1000000.00,0.00000000,0.00000000,0
2017-09-25,1000000.00,0.00000000,0.00000000,0
2017-09-26,1000000.00,0.00000000,0.00000000,0
2017-09-27,1000000.00,0.00000000,0.00000000,0
2017-09-28,1000000.00,0.00000000,0.00000000,0
2017-09-29,1000000.00,0.00000000,0.00000000,0
2017-10-03,1000000.00,0.00000000,0.00000000,0
2017-10-04,1000000.00,0.00000000,0.00000000,0
2017-10-05,1000000.00,0.00000000,0.00000000,0
2017-10-06,1000000.00,0.00000000,0.00000000,0
2017-10-09,1000000.00,0.00000000,0.00000000,0
2017-10-10,1000000.00,0.00000000,0.00000000,0
2017-10-11,1000000.00,0.00000000,0.00000000,0
2017-10-12,1000000.00,0.00000000,0.00000000,0
2017-10-13,1000000.00,0.00000000,0.00000000,0
2017-10-16,1000000.00,0.00000000,0.00000000,0
2017-10-17,1000000.00,0.00000000,0.00000000,0
2017-10-18,1000000.00,0.00000000,0.00000000,0
2017-10-19,1000000.00,0.00000000,0.00000000,0
2017-10-23,1000000.00,0.00000000,0.00000000,0
2017-10-24,1000000.00,0.00000000,0.00000000,0
2017-10-25,1000000.00,0.00000000,0.00000000,0
2017-10-26,1000000.00,0.00000000,0.00000000,0
2017-10-27,1000000.00,0.00000000,0.00000000,0
2017-10-30,1000000.00,0.00000000,0.00000000,0
2017-10-31,1000000.00,0.00000000,0.00000000,0
2017-11-01,1000000.00,0.00000000,0.00000000,0
2017-11-02,1000000.00,0.00000000,0.00000000,0
2017-11-03,1000000.00,0.00000000,0.00000000,0
2017-11-06,1000000.00,0.00000000,0.00000000,0
2017-11-07,1000000.00,0.00000000,0.00000000,0
2017-11-08,1000000.00,0.00000000,0.00000000,0
2017-11-09,1000000.00,0.00000000,0.00000000,0
2017-11-10,1000000.00,0.00000000,0.00000000,0
2017-11-13,1000000.00,0.00000000,0.00000000,0
2017-11-14,1000000.00,0.00000000,0.00000000,0
2017-11-15,1000000.00,0.00000000,0.00000000,0
2017-11-16,1000000.00,0.00000000,0.00000000,0
2017-11-17,1000000.00,0.00000000,0.00000000,0
2017-11-20,1000000.00,0.00000000,0.00000000,0
2017-11-21,1000000.00,0.00000000,0.00000000,0
2017-11-22,1000000.00,0.00000000,0.00000000,0
2017-11-23,1000000.00,0.00000000,0.00000000,0
2017-11-24,1000000.00,0.00000000,0.00000000,0
2017-11-27,1000000.00,0.00000000,0.00000000,0
2017-11-28,1000000.00,0.00000000,0.00000000,0
2017-11-29,1000000.00,0.00000000,0.00000000,0
2017-11-30,1000000.00,0.00000000,0.00000000,0
2017-12-01,1000000.00,0.00000000,0.00000000,0
2017-12-04,1000000.00,0.00000000,0.00000000,0
2017-12-05,1000000.00,0.00000000,0.00000000,0
2017-12-06,1000000.00,0.00000000,0.00000000,0
2017-12-07,1000000.00,0.00000000,0.00000000,0
2017-12-08,1000000.00,0.00000000,0.00000000,0
2017-12-11,1000000.00,0.00000000,0.00000000,0
2017-12-12,1000000.00,0.00000000,0.00000000,0
2017-12-13,1000000.00,0.00000000,0.00000000,0
2017-12-14,1000000.00,0.00000000,0.00000000,0
2017-12-15,1000000.00,0.00000000,0.00000000,0
2017-12-18,1000000.00,0.00000000,0.00000000,0
2017-12-19,1000000.00,0.00000000,0.00000000,0
2017-12-20,1000000.00,0.00000000,0.00000000,0
2017-12-21,1000000.00,0.00000000,0.00000000,0
2017-12-22,1000000.00,0.00000000,0.00000000,0
2017-12-26,1000000.00,0.00000000,0.00000000,0
2017-12-27,1000000.00,0.00000000,0.00000000,0
2017-12-28,1000000.00,0.00000000,0.00000000,0
2017-12-29,1000000.00,0.00000000,0.00000000,0
2018-01-01,1000000.00,0.00000000,0.00000000,0
2018-01-02,1000000.00,0.00000000,0.00000000,0
2018-01-03,1000000.00,0.00000000,0.00000000,0
2018-01-04,1000000.00,0.00000000,0.00000000,0
2018-01-05,1000000.00,0.00000000,0.00000000,0
2018-01-08,1000000.00,0.00000000,0.00000000,0
2018-01-09,1000000.00,0.00000000,0.00000000,0
2018-01-10,1000000.00,0.00000000,0.00000000,0
2018-01-11,1000000.00,0.00000000,0.00000000,0
2018-01-12,1000000.00,0.00000000,0.00000000,0
2018-01-15,1000000.00,0.00000000,0.00000000,0
2018-01-16,1000000.00,0.00000000,0.00000000,0
2018-01-17,1000000.00,0.00000000,0.00000000,0
2018-01-18,1000000.00,0.00000000,0.00000000,0
2018-01-19,1000000.00,0.00000000,0.00000000,0
2018-01-22,1015344.82,0.01534482,0.01821626,8
2018-01-23,1011830.17,-0.00346153,-0.00346155,8
2018-01-24,995982.00,-0.01566288,-0.01565885,8
2018-01-25,1004382.79,0.00843468,0.00842307,8
2018-01-29,1000799.08,-0.00356807,-0.00358071,8
2018-01-30,976061.23,-0.02471810,-0.02473639,8
2018-01-31,972955.13,-0.00318228,-0.00314059,8
2018-02-01,967105.75,-0.00601197,-0.00599789,8
2018-02-02,897224.76,-0.07225786,-0.07226620,8
2018-02-05,871652.23,-0.02850181,-0.02774506,6
2018-02-06,830194.11,-0.04756268,-0.04537929,5
2018-02-07,858538.84,0.03414229,0.03563952,10
2018-02-08,883457.84,0.02902490,0.02901301,10
2018-02-09,900291.41,0.01905419,0.01898268,10
2018-02-12,940979.02,0.04519382,0.04521526,10
2018-02-14,950561.76,0.01018380,0.01020983,10
2018-02-15,928102.33,-0.02362753,-0.02362903,10
2018-02-16,906388.91,-0.02339550,-0.02340385,10
2018-02-19,904735.77,-0.00182387,-0.00184495,10
2018-02-20,887152.03,-0.01943522,-0.01943519,10
2018-02-21,880837.80,-0.00711742,-0.00634320,7
2018-02-22,868860.23,-0.01359793,-0.01138576,6
2018-02-23,889089.38,0.02328240,0.02483646,11
2018-02-26,898022.14,0.01004709,0.01011203,11
2018-02-27,903072.42,0.00562378,0.00555050,11
2018-02-28,908444.91,0.00594912,0.00595220,11
2018-03-01,909632.97,0.00130780,0.00128004,11
2018-03-05,894110.96,-0.01706404,-0.01711294,11
2018-03-06,882001.63,-0.01354343,-0.01355267,11
2018-03-07,857322.21,-0.02798115,-0.02802229,11
2018-03-08,862851.63,0.00644964,0.00641973,11
2018-03-09,856855.63,-0.00694905,-0.00626295,8
2018-03-12,866543.36,0.01130614,0.01271665,9
2018-03-13,885230.94,0.02156566,0.02204315,10
2018-03-14,887317.96,0.00235760,0.00299939,9
2018-03-15,904009.61,0.01881135,0.01958430,10
2018-03-16,899051.46,-0.00548462,-0.00524740,11
2018-03-19,898538.72,-0.00057031,-0.00063872,12
2018-03-20,881977.49,-0.01843129,-0.01840168,12
2018-03-21,901544.57,0.02218546,0.02212084,12
2018-03-22,896088.69,-0.00605170,-0.00610993,12
2018-03-23,887240.69,-0.00987402,-0.00986563,12
2018-03-26,895666.68,0.00949685,0.00986428,10
2018-03-27,904404.50,0.00975566,0.01074038,11
2018-03-28,891790.93,-0.01394682,-0.01300108,10
2018-04-02,921871.72,0.03373076,0.03437496,12
2018-04-03,923056.60,0.00128530,0.00139877,12
2018-04-04,891799.49,-0.03386261,-0.03387664,12
2018-04-05,900336.92,0.00957326,0.00965817,12
2018-04-06,914811.79,0.01607717,0.01608390,12
2018-04-09,912721.81,-0.00228460,-0.00229800,12
2018-04-10,904055.21,-0.00949534,-0.00941090,12
2018-04-11,904959.21,0.00099994,0.00096881,12
2018-04-12,901291.20,-0.00405323,-0.00408030,12
2018-04-13,899300.58,-0.00220863,-0.00220239,12
2018-04-16,907006.36,0.00856864,0.00865535,12
2018-04-17,903650.18,-0.00370028,-0.00361390,11
2018-04-18,907607.45,0.00437921,0.00426672,12
2018-04-19,916784.38,0.01011112,0.01025241,11
2018-04-20,931869.41,0.01645428,0.01795398,13
2018-04-23,934293.10,0.00260089,0.00268742,13
2018-04-24,932995.61,-0.00138874,-0.00251995,13
2018-04-25,914115.67,-0.02023583,-0.01589652,12
2018-04-26,908981.36,-0.00561670,-0.00248567,12
2018-04-27,908499.64,-0.00052996,0.00361930,14
2018-04-30,915667.71,0.00789001,0.01115204,13
2018-05-02,913245.96,-0.00264479,-0.00392446,14
2018-05-03,888442.57,-0.02715959,-0.02496359,13
2018-05-04,885930.32,-0.00282770,-0.00467793,14
2018-05-07,885323.85,-0.00068456,0.00080994,14
2018-05-08,901187.83,0.01791884,0.02539630,14
2018-05-09,920339.06,0.02125110,0.02032521,14
2018-05-10,898697.15,-0.02351515,-0.02394587,13
2018-05-11,899627.23,0.00103492,-0.00232530,14
2018-05-14,902065.90,0.00271076,0.00258086,12
2018-05-15,907138.79,0.00562364,0.00484245,13
2018-05-16,923308.53,0.01782499,0.01867458,13
2018-05-17,951870.21,0.03093406,0.02737579,13
2018-05-18,924101.85,-0.02917242,-0.02699497,12
2018-05-21,906177.47,-0.01939654,-0.01794349,14
2018-05-22,936851.90,0.03385036,0.03370001,14
2018-05-23,957269.81,0.02179417,0.02035540,14
2018-05-24,953874.28,-0.00354710,-0.00283337,14
2018-05-25,966188.54,0.01290973,0.01321146,14
2018-05-28,979814.82,0.01410313,0.01410060,13
2018-05-29,995621.00,0.01613180,0.01641367,12
2018-05-30,996858.72,0.00124316,0.00386870,14
2018-05-31,989131.34,-0.00775173,-0.00716755,14
2018-06-01,952296.28,-0.03723981,-0.03697641,11
2018-06-04,933845.10,-0.01937546,-0.01737403,15
2018-06-05,882888.29,-0.05456666,-0.05517645,14
2018-06-06,914320.95,0.03560208,0.02897016,15
2018-06-07,930129.96,0.01729044,0.02296196,15
2018-06-08,929279.75,-0.00091408,0.00278206,15
2018-06-11,927240.76,-0.00219416,-0.00376600,15
2018-06-12,929554.43,0.00249522,0.00824389,15
2018-06-13,923899.28,-0.00608372,-0.00284802,15
2018-06-14,927800.74,0.00422282,0.00241424,14
2018-06-15,925353.94,-0.00263720,-0.00704246,14
2018-06-18,919613.22,-0.00620381,-0.01538195,12
2018-06-19,908731.29,-0.01183316,-0.01777895,13
2018-06-20,910738.67,0.00220899,0.00091782,13
2018-06-21,900478.96,-0.01126526,-0.00533267,15
2018-06-22,909864.11,0.01042240,0.00341606,15
2018-06-25,923383.80,0.01485902,0.01288162,15
2018-06-26,922928.75,-0.00049281,-0.00160564,15
2018-06-27,916985.27,-0.00643980,-0.01393405,15
2018-06-28,903500.11,-0.01470597,-0.01485282,13
2018-06-29,925384.10,0.02422135,0.03050512,14
2018-07-02,928241.73,0.00308805,0.00202706,14
2018-07-03,943836.90,0.01680076,0.01336593,13
2018-07-04,960751.47,0.01792107,0.01218668,12
2018-07-05,945574.69,-0.01579678,-0.00660399,11
2018-07-06,938194.83,-0.00780463,-0.00308047,13
2018-07-09,957019.73,0.02006502,0.02500353,14
2018-07-10,972126.90,0.01578564,0.01362492,14
2018-07-11,970671.26,-0.00149738,-0.00146800,13
2018-07-12,967092.84,-0.00368654,-0.00324308,15
2018-07-13,948877.18,-0.01883548,-0.01030674,14
2018-07-16,925664.19,-0.02446364,-0.02413203,14
2018-07-17,939577.96,0.01503112,0.01515615,14
2018-07-18,947681.45,0.00862461,0.00309108,15
2018-07-19,952533.37,0.00511978,0.00138500,13
2018-07-20,971463.48,0.01987343,0.01470273,14
2018-07-23,973103.37,0.00168806,0.00255421,14
2018-07-24,986984.03,0.01426432,0.01591470,12
2018-07-25,987593.82,0.00061783,0.00628490,13
2018-07-26,989927.72,0.00236322,0.00385909,12
2018-07-27,1003268.01,0.01347602,0.01137693,15
2018-07-30,1009238.26,0.00595080,0.00146408,15
2018-07-31,1020414.23,0.01107367,0.00618984,14
2018-08-01,1025038.74,0.00453199,0.00740836,15
2018-08-02,1019437.72,-0.00546420,-0.00588824,15
2018-08-03,1027172.20,0.00758701,0.00896005,13
2018-08-06,1019920.78,-0.00705960,-0.01559254,12
2018-08-07,1030437.35,0.01031116,-0.00263260,14
2018-08-08,1051330.19,0.02027570,0.02159402,13
2018-08-09,1070465.16,0.01820072,0.01357338,14
2018-08-10,1051392.19,-0.01781746,-0.01468055,13
2018-08-13,1046402.79,-0.00474552,-0.00125917,14
2018-08-14,1050811.87,0.00421356,0.00757948,15
2018-08-16,1057072.46,0.00595786,0.00727971,15
2018-08-17,1059686.22,0.00247264,0.00191300,15
2018-08-20,1050587.74,-0.00858601,-0.01120376,14
2018-08-21,1067005.05,0.01562679,0.02110121,15
2018-08-23,1060995.57,-0.00563210,-0.00922194,15
2018-08-24,1059758.32,-0.00116612,-0.00476695,15
2018-08-27,1081164.64,0.02019925,0.01687538,15
2018-08-28,1085503.60,0.00401323,0.00484685,15
2018-08-29,1080347.53,-0.00474993,-0.00521925,15
2018-08-30,1083713.40,0.00311554,0.00810307,13
2018-08-31,1103212.70,0.01799304,0.01971101,14
2018-09-03,1085646.61,-0.01592267,-0.01506364,12
2018-09-04,1072384.98,-0.01221542,-0.01375422,10
2018-09-05,1057681.38,-0.01371112,-0.00175781,10
2018-09-06,1064750.37,0.00668348,0.00834657,12
2018-09-07,1065363.02,0.00057539,-0.00099837,12
2018-09-10,1050403.48,-0.01404173,-0.00754638,12
2018-09-11,1038687.74,-0.01115356,-0.01612293,11
2018-09-12,1027558.22,-0.01071498,-0.00302875,11
2018-09-14,1035463.70,0.00769346,0.00631173,12
2018-09-17,1034028.01,-0.00138652,-0.00038920,12
2018-09-18,1030848.70,-0.00307468,-0.00688293,12
2018-09-19,1019963.41,-0.01055954,-0.01298714,12
2018-09-21,996530.27,-0.02297449,-0.02593216,8
2018-09-24,967247.93,-0.02938430,-0.02543498,10
2018-09-25,940232.45,-0.02793025,-0.03195380,10
2018-09-26,941752.28,0.00161644,-0.00355027,12
2018-09-27,912442.66,-0.03112243,-0.03547418,9
2018-09-28,900499.73,-0.01308896,-0.01883683,9
2018-10-01,893095.61,-0.00822223,0.00476020,11
2018-10-03,901657.22,0.00958644,0.01307260,11
2018-10-04,867746.04,-0.03760984,-0.03243706,11
2018-10-05,848826.27,-0.02180335,-0.01504492,10
2018-10-08,832833.74,-0.01884076,-0.01918075,10
2018-10-09,815571.72,-0.02072685,-0.01759965,9
2018-10-10,858696.87,0.05287720,0.06202672,13
2018-10-11,871854.77,0.01532310,0.00123058,13
2018-10-12,891331.29,0.02233918,0.01655892,12
2018-10-15,928318.53,0.04149662,0.03514989,11
2018-10-16,974776.16,0.05004492,0.05290360,13
2018-10-17,963164.30,-0.01191233,-0.00172184,12
2018-10-19,940878.03,-0.02313860,-0.00865794,14
2018-10-22,909564.84,-0.03328082,-0.02646587,15
2018-10-23,895877.04,-0.01504873,-0.01567418,14
2018-10-24,883460.40,-0.01385976,-0.00795668,14
2018-10-25,867699.31,-0.01784018,-0.02610973,13
2018-10-26,878938.30,0.01295263,0.00807339,14
2018-10-29,900673.21,0.02472860,0.03095906,15
2018-10-30,908137.33,0.00828727,-0.00748842,15
2018-10-31,922586.58,0.01591086,0.01281396,15
2018-11-01,939905.47,0.01877210,0.01101818,14
2018-11-02,924652.15,-0.01622857,-0.01485530,15
2018-11-05,911016.01,-0.01474732,-0.01122652,13
2018-11-06,907500.24,-0.00385917,-0.01376600,15
2018-11-07,921927.98,0.01589833,0.01532727,15
2018-11-09,920271.89,-0.00179633,0.00284787,14
2018-11-12,927510.94,0.00786621,0.00380355,14
2018-11-13,935515.81,0.00863049,-0.00339606,15
2018-11-14,933595.35,-0.00205284,-0.00674148,14
2018-11-15,943216.57,0.01030556,0.00866337,15
2018-11-16,944382.55,0.00123617,-0.00443143,15
