ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
3MINDIA,2025-11-07,35580.0,32195.0,27360.01734212943,23.1,17.67,29817.157486979166,29205.516024502842,19.33,21.83,14.98,19.14,2025,True,653472296.5,True,20-25%
AARTIIND,2020-01-31,483.1336975097656,456.35565666486724,347.99975162808806,27.97,31.14,402.95119425455727,403.0241074995561,19.9,19.88,18.49,3.08,2020,True,299762684.92869264,True,15-20%
ABBOTINDIA,2019-08-09,8242.796875,8198.891867075781,6514.185975939688,20.97,25.86,7225.390543619792,7093.9035977450285,14.08,16.2,16.27,3.07,2019,False,59842291.58664551,True,15-20%
ABBOTINDIA,2025-06-27,34460.0546875,31757.693793471386,24977.130415708973,27.52,27.15,29411.154427083333,29072.96306818182,17.17,18.53,12.63,2.55,2025,True,396033509.21728516,True,15-20%
ABFRL,2019-12-20,231.394775390625,227.2055206298828,178.90586853027344,22.68,27.0,204.79710744222004,207.63587015325373,12.99,11.44,3.91,2.54,2019,True,160577579.27779236,True,10-15%
ACC,2022-09-16,2565.575927734375,2463.8465699667827,1935.7473430779216,24.55,27.28,2147.740185546875,2152.3353271484375,19.45,19.2,15.97,5.57,2022,True,3109007046.442395,True,15-20%
ACUTAAS,2023-05-19,577.2297973632812,546.9186780430535,421.3971374949859,27.0,29.79,472.58961181640626,478.75496951016515,22.14,20.57,16.35,6.73,2023,False,173553424.6993622,True,20-25%
ACUTAAS,2024-06-21,676.6658325195312,675.4196878530224,500.68283623110256,26.01,34.9,579.0747192382812,587.4010828191584,16.85,15.2,2.03,2.23,2024,False,445594069.8415772,True,15-20%
ADANIPORTS,2020-11-27,397.8221130371094,382.0175351474333,288.05978088170673,27.59,32.62,332.4641469319661,320.25748963789505,19.66,24.22,3.47,2.37,2020,True,3521187388.127402,True,20-25%
ADANIPORTS,2022-04-08,816.9876708984375,807.8376419413454,634.6182926045383,22.32,27.3,720.4865112304688,713.5850081010299,13.39,14.49,6.86,2.69,2022,True,5260853807.327685,True,10-15%
ADANIPOWER,2025-09-12,129.7100067138672,124.0,92.4000015258789,28.76,34.2,110.88800099690755,108.36750065196644,16.97,19.69,12.84,5.77,2025,True,4115542244.1391907,True,15-20%
AETHER,2023-06-23,1128.699951171875,1055.0,810.0,28.24,30.25,912.323329671224,919.0215884121982,23.72,22.82,18.15,8.97,2023,True,277252017.19178164,True,20-25%
AETHER,2026-01-09,979.8499755859375,953.0999755859375,726.4500122070312,25.86,31.2,794.9366638183594,799.4977278275924,23.26,22.56,16.59,2.11,2026,False,287597536.2284912,True,20-25%
AFFLE,2023-12-15,1213.199951171875,1178.8499755859375,972.0,19.88,21.28,1073.9166748046875,1036.9443248401988,12.97,17.0,2.15,3.89,2023,True,514558146.99802244,True,15-20%
AIAENG,2025-11-14,3693.0,3601.1660121398177,2985.486170743132,19.16,20.62,3238.6822102864585,3268.8090487393465,14.03,12.98,5.19,2.62,2025,True,339361443.5329956,True,10-15%
AJANTPHARM,2026-01-02,2949.199951171875,2843.306390016936,2304.0552404050886,21.88,23.4,2570.396272786458,2567.2419156161222,14.74,14.88,6.39,2.61,2026,True,452349687.6281128,True,10-15%
AKZOINDIA,2019-09-27,1978.65,1860.0,1600.0,19.14,16.25,1741.9566666666665,1724.6136363636363,13.59,14.73,12.32,4.62,2019,True,50548340.129999995,True,10-15%
AKZOINDIA,2024-08-02,3117.5,3058.0,2267.0,27.28,34.89,2656.646666666667,2609.8863636363635,17.35,19.45,3.59,3.09,2024,False,62516940.232499994,True,15-20%
ALKYLAMINE,2018-11-09,302.7870788574219,275.5123454386917,204.199001469712,32.56,34.92,246.08236897786458,245.2679661837491,23.04,23.45,25.8,2.39,2018,False,10739777.137004089,False,20-25%
ALLCARGO,2017-12-22,41.72800064086914,40.7392888171125,32.957147560060854,21.02,23.61,36.44932200113932,36.45225152102384,14.48,14.47,3.81,2.16,2017,True,156604060.25123367,True,10-15%
AMBUJACEM,2023-12-08,488.645751953125,475.59804925059643,399.3876674061177,18.27,19.08,429.52000427246094,411.31310619007456,13.77,18.8,3.43,5.17,2023,True,2191686351.727637,True,15-20%
APLLTD,2020-01-17,555.0098266601562,548.8752870003875,450.49289043587856,18.83,21.84,496.84686075846355,491.3944140347567,11.71,12.95,4.7,3.35,2020,True,58146182.23171234,True,10-15%
APOLLOHOSP,2025-07-04,7533.84228515625,7515.084405936943,5985.382304841609,20.55,25.56,6828.602197265625,6879.605912642045,10.33,9.51,4.69,2.28,2025,True,3752191711.401953,True,5-10%
ASAHIINDIA,2024-06-21,674.227783203125,656.4247242144345,498.83304917563396,26.01,31.59,568.3593872070312,572.1819097345525,18.63,17.83,6.49,3.92,2024,True,155464763.4157959,True,15-20%
ASHOKA,2023-07-14,92.6500015258789,92.30000305175781,71.6500015258789,22.67,28.82,81.64666748046875,80.43750017339534,13.48,15.18,5.67,5.44,2023,False,229192207.70056382,True,15-20%
ASHOKLEY,2023-06-16,74.77823638916016,71.09390791091903,60.54126407922398,19.04,17.43,66.12309405008952,67.19765567779541,13.09,11.28,4.63,2.04,2023,True,1538522111.676558,True,10-15%
ASHOKLEY,2024-05-03,96.18572998046875,89.00627091756859,72.80802364861071,24.3,22.25,81.08295313517253,81.7195632240989,18.63,17.7,9.08,2.12,2024,True,3486149678.3393297,True,15-20%
ASHOKLEY,2025-08-22,128.1304168701172,124.22400266533293,92.05785843654428,28.15,34.94,110.13072891235352,108.55006356672807,16.34,18.04,14.32,3.7,2025,True,1901981982.3787143,True,15-20%
ASIANPAINT,2018-05-11,1195.67919921875,1143.769709704656,1013.1832469194302,15.26,12.89,1074.4676147460937,1077.09130859375,11.28,11.01,4.87,2.55,2018,True,1118221441.4685912,True,10-15%
ASIANPAINT,2025-11-14,2876.910888671875,2604.305468247461,2152.733989669046,25.17,20.98,2400.5127115885416,2353.906571821733,19.85,22.22,14.85,3.14,2025,True,3956825921.627417,True,20-25%
ASTERDM,2021-08-20,142.06207275390625,130.88441067281894,100.10807740625745,29.53,30.74,115.04058151245117,116.65229173140092,23.49,21.78,5.94,9.64,2021,True,427259458.17097014,True,20-25%
AXISBANK,2018-08-10,612.180419921875,581.2978624817558,478.65451668635706,21.81,21.44,535.5228108723958,534.8610943880948,14.31,14.46,5.98,2.6,2018,True,5632195211.145508,True,10-15%
AXISBANK,2022-10-21,898.0210571289062,818.5315892179959,615.679332128826,31.44,32.95,726.0687032063802,727.9312799627131,23.68,23.37,20.68,2.3,2022,True,10692073441.935583,True,20-25%
BAJFINANCE,2025-02-01,790.2459716796875,772.8509165502438,634.6583512146235,19.69,21.77,697.7368448893229,695.0007629394531,13.26,13.7,15.44,2.87,2025,True,9565604388.923126,True,10-15%
BALKRISIND,2023-05-26,2423.67236328125,2302.05852249071,1873.70305812544,22.69,22.86,2052.1240763346354,2026.2715426358309,18.11,19.61,11.91,3.46,2023,True,742017079.3180542,True,15-20%
BALKRISIND,2024-05-24,3007.63916015625,2745.0326562148475,2167.7014827616076,27.93,26.63,2450.818986002604,2448.6998124556108,22.72,22.83,11.1,3.54,2024,True,1554900017.5904663,True,20-25%
BALMLAWRIE,2019-11-01,97.61405944824219,95.26340991991576,74.75427518291205,23.42,27.44,83.42733205159506,84.32718537070535,17.0,15.76,8.2,2.87,2019,True,24469422.91006737,False,15-20%
