signal,mean_IC,IC_IR,pct_days_pos,n_days
prox_52wh,0.06758175383420696,0.4020709686893277,0.6959526159921027,2026
sma200_slope_63,0.062024868365803544,0.3935877189554756,0.6625310173697271,2015
mom_252_21,0.058322387631380444,0.3723412948518105,0.6666666666666666,2025
dist_sma200,0.05158302521225786,0.3360619964928733,0.6775745909528392,2078
roc_126,0.04659205381739895,0.3250166158241036,0.6300523062291964,2103
rvol_63,-0.044301722255484684,-0.24559639387226231,0.43081312410841655,2103
roc_63,0.030314659617709266,0.2263087814556666,0.613884926295768,2103
donchian63,0.02185484665856331,0.18221501362509393,0.604374702805516,2103
breakout_20,0.014657740125426602,0.11998912894036536,0.5587256300523062,2103
dist_sma50,0.014511387761624268,0.111888050504784,0.5473133618640038,2103
macd_hist,-0.009444883040428013,-0.08560337210563311,0.466000951022349,2103
vol_ratio,0.006388493871887293,0.0798077624434518,0.5344745601521635,2103
williams_r,0.006254054586155641,0.0618008666733278,0.5382786495482644,2103
stoch_k,0.006254054586155641,0.0618008666733278,0.5382786495482644,2103
roc_21,0.005868132990542304,0.04809839437617438,0.5173561578697099,2103
rsi_14,0.004462978427150695,0.04167723311678605,0.5235378031383737,2103
mfi_14,-0.0036461393149885314,-0.03971123449639763,0.4926295767950547,2103
cci_20,0.0018923220282905122,0.018838233863205073,0.5183071802187351,2103
boll_pctb,0.001571937248541873,0.01564305746697669,0.5187826913932477,2103
obv_63,-0.001046448940607841,-0.008626006852597198,0.4983357108892059,2103
