entry_date,exit_date,symbol,trade_ret,exit_reason,hold_days,pnl
2018-01-22,2018-02-06,GRAPHITE,-0.212500,atr_stop,10,-32326.17
2018-01-22,2018-02-05,HEG,-0.182000,atr_stop,9,-27578.82
2018-01-22,2018-02-06,HFCL,-0.291200,atr_stop,10,-28.43
2018-01-22,2018-02-06,HSCL,-0.164300,trailing,10,-25173.25
2018-01-22,2018-02-06,JAICORPLTD,-0.231700,atr_stop,10,-21090.11
2018-01-22,2018-02-05,KOLTEPATIL,-0.157400,atr_stop,9,-24354.87
2018-01-22,2018-04-26,SUNTECK,0.004700,time_exit,63,323.05
2018-01-22,2018-02-06,UNOMINDA,-0.187900,atr_stop,10,-29019.15
2018-02-06,2018-02-21,HEG,0.224600,target,10,25632.60
2018-02-06,2018-02-21,KOLTEPATIL,0.113400,trailing,10,13159.72
2018-02-06,2018-04-25,PCJEWELLER,-0.359800,atr_stop,52,-27.45
2018-02-06,2018-02-21,RADICO,0.004800,trailing,10,33.26
2018-02-07,2018-02-22,GRAPHITE,-0.008200,trailing,10,-1261.56
2018-02-07,2018-02-22,HFCL,0.068400,trailing,10,6.73
2018-02-07,2018-02-22,HSCL,-0.006300,trailing,10,-987.48
2018-02-07,2018-02-22,JAICORPLTD,0.014500,trailing,10,946.72
2018-02-07,2018-02-22,UNOMINDA,-0.023100,trailing,10,-3307.44
2018-02-22,2018-03-09,HEG,0.016600,trailing,10,1553.35
2018-02-22,2018-03-09,KOLTEPATIL,-0.041900,trailing,10,-2628.44
2018-02-22,2018-03-09,RADICO,-0.021100,trailing,10,-2803.47
2018-02-22,2018-03-16,VAKRANGEE,0.224600,target,15,40.00
2018-02-23,2018-03-15,GRAPHITE,0.224600,target,13,25506.42
2018-02-23,2018-03-12,HFCL,-0.036400,trailing,10,-1.07
2018-02-23,2018-03-12,HSCL,-0.041900,trailing,10,-5443.02
2018-02-23,2018-05-29,JAICORPLTD,-0.136300,time_exit,63,-8576.84
