ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
3MINDIA,2025-11-07,2026-01-23,35580.0,27360.02,23.1,-0.269,11,stop,False,False,21.83,14.98,653472296.5,2025,stop@33490.00x1.00
AARTIIND,2020-01-31,2020-03-13,483.13,348.0,27.97,-0.14,6,stop,False,False,19.88,18.49,299762684.92869264,2020,stop@467.53x1.00
ABBOTINDIA,2025-06-27,2025-08-01,34460.05,24977.13,27.52,-0.146,5,stop,False,False,18.53,12.63,396033509.21728516,2025,stop@33315.99x1.00
ABFRL,2019-12-20,2020-02-07,231.39,178.91,22.68,-0.22,7,stop,False,False,11.44,3.91,160577579.27779236,2019,stop@221.44x1.00
ACC,2022-09-16,2023-01-13,2565.58,1935.75,24.55,-0.5,17,stop,False,True,19.2,15.97,3109007046.442395,2022,stage3_half@2204.19x0.50;stop@2314.96x0.50
ADANIPORTS,2020-11-27,2021-06-18,397.82,288.06,27.59,2.644,29,stop,False,False,24.22,3.47,3521187388.127402,2020,stop@689.94x1.00
ADANIPORTS,2022-04-08,2022-05-06,816.99,634.62,22.32,-0.188,4,stop,False,False,14.49,6.86,5260853807.327685,2022,stop@785.55x1.00
ADANIPOWER,2025-09-12,2025-11-28,129.71,92.4,28.76,0.442,11,stop,False,False,19.69,12.84,4115542244.1391907,2025,stop@146.71x1.00
AETHER,2023-06-23,2023-09-01,1128.7,810.0,28.24,-0.384,10,stop,False,True,22.82,18.15,277252017.19178164,2023,stage3_half@1024.30x0.50;stop@1003.35x0.50
AFFLE,2023-12-15,2024-02-09,1213.2,972.0,19.88,-0.193,8,stop,False,False,17.0,2.15,514558146.99802244,2023,stop@1171.05x1.00
AIAENG,2025-11-14,2025-12-12,3693.0,2985.49,19.16,-0.094,4,stop,False,False,12.98,5.19,339361443.5329956,2025,stop@3652.50x1.00
AJANTPHARM,2026-01-02,2026-03-27,2949.2,2304.06,21.88,-0.216,12,stop,False,False,14.88,6.39,452349687.6281128,2026,stop@2830.00x1.00
AKZOINDIA,2019-09-27,2019-11-29,1978.65,1600.0,19.14,-0.246,9,stop,False,False,14.73,12.32,50548340.129999995,2019,stop@1898.95x1.00
