ticker,bought,buy,stop,risk%,ext_vs_SMA%,pos%,exit,exit_px,why,held_wk,R,gap_through,giveback,crash,GAP
DCAL,2017-10-04,331.7,290.7,12.3,19.3,16.0,2017-11-20,284.7,stop,7,-1.15,True,False,False,late/extended-entry
MANPASAND,2017-12-26,438.2,347.6,20.7,9.7,10.0,2018-03-26,367.5,time,13,-0.78,False,False,False,wide-stop
JETAIRWAYS,2018-02-12,797.0,639.0,19.8,30.4,10.0,2018-03-26,616.9,stop,6,-1.14,True,False,False,late/extended-entry
SOBHA,2018-02-12,530.6,446.8,15.8,24.4,13.0,2018-03-26,437.5,stop,6,-1.11,True,False,False,late/extended-entry
GREENPLY,2018-02-12,357.2,300.0,16.0,23.1,12.0,2018-04-02,300.9,stop,7,-0.98,False,False,False,late/extended-entry
HFCL,2018-02-12,30.6,22.9,25.0,36.6,8.0,2018-05-14,26.5,time,13,-0.53,False,False,False,late/extended-entry
GULFOILLUB,2018-02-12,866.7,669.4,22.8,26.7,9.0,2018-05-14,736.6,time,13,-0.66,False,False,False,late/extended-entry
TATASPONGE,2018-04-16,1121.0,999.5,10.8,18.7,18.0,2018-07-02,962.1,stop,11,-1.31,True,False,False,late/extended-entry
ELGIEQUIP,2018-05-14,140.9,120.1,14.7,10.3,14.0,2018-08-13,140.4,time,13,-0.02,False,False,False,time-cap-bleed
IPCALAB,2018-07-02,340.3,308.7,9.3,14.4,22.0,2018-10-01,330.8,time,13,-0.3,False,False,False,late/extended-entry
3MINDIA,2018-07-23,21785.1,18158.4,16.6,26.2,12.0,2018-10-22,20438.0,time,13,-0.37,False,False,False,late/extended-entry
SUNTECK,2018-08-13,446.0,399.9,10.3,13.7,19.0,2018-10-01,385.5,stop,7,-1.31,True,False,False,late/extended-entry
UBL,2018-08-20,1342.2,1149.1,14.4,23.5,14.0,2018-10-08,1095.9,stop,7,-1.27,True,False,False,late/extended-entry
BBTC,2018-08-27,1892.4,1526.6,19.3,29.0,10.0,2018-09-24,1486.9,stop,4,-1.11,True,False,False,late/extended-entry
AXISBANK,2018-10-01,611.8,584.7,4.4,10.7,45.0,2018-10-08,566.9,stop,1,-1.66,True,False,False,gap-through-stop
HEG,2018-10-15,736.2,533.2,27.6,30.5,7.0,2019-01-14,632.3,time,13,-0.51,False,False,False,late/extended-entry
COFORGE,2018-10-22,230.9,193.3,16.3,21.2,12.0,2019-01-21,225.9,time,13,-0.13,False,False,False,late/extended-entry
VMART,2018-12-03,676.7,596.6,11.8,16.5,17.0,2019-01-14,578.8,stop,6,-1.22,True,False,False,late/extended-entry
3MINDIA,2019-04-15,23039.2,21497.2,6.7,10.5,30.0,2019-05-06,21149.7,stop,3,-1.23,True,False,False,gap-through-stop
ATGL,2020-01-06,172.2,153.3,11.0,17.9,18.0,2020-03-02,139.7,stop,8,-1.73,True,False,False,late/extended-entry
CANFINHOME,2020-01-27,448.4,368.5,17.8,23.7,11.0,2020-03-23,285.6,stop,8,-2.04,True,False,True,late/extended-entry
AARTIIND,2020-02-03,470.3,414.4,11.9,16.0,17.0,2020-03-23,344.1,stop,7,-2.26,True,False,True,late/extended-entry
GODREJPROP,2020-02-10,1168.8,990.0,15.3,23.6,13.0,2020-03-09,900.0,stop,4,-1.5,True,False,False,late/extended-entry
HONAUT,2020-02-10,33940.0,27162.6,20.0,30.8,10.0,2020-03-23,22690.0,stop,6,-1.66,True,False,True,late/extended-entry
JSL,2020-03-09,38.9,37.4,3.9,9.5,51.0,2020-03-16,30.7,stop,1,-5.36,True,False,False,gap-through-stop
VBL,2020-03-16,65.0,52.8,18.8,9.1,11.0,2020-03-23,42.1,stop,1,-1.88,True,False,True,wide-stop
RATNAMANI,2020-03-16,816.6,614.7,24.7,23.7,8.0,2020-03-30,568.1,stop,2,-1.23,True,False,False,late/extended-entry
SFL,2020-03-16,782.5,631.0,19.4,17.6,10.0,2020-04-07,647.0,stop,3,-0.9,False,False,False,late/extended-entry
FINEORG,2020-03-16,2149.8,1704.3,20.7,23.2,10.0,2020-06-15,1944.3,time,13,-0.46,False,False,False,late/extended-entry
TIMKEN,2020-03-16,851.0,682.5,19.8,11.5,10.0,2020-06-15,837.8,time,13,-0.08,False,False,False,wide-stop
INDOCO,2020-04-07,217.3,166.4,23.4,25.4,9.0,2020-07-06,200.0,time,13,-0.34,False,False,False,late/extended-entry
TRENT,2020-06-29,675.8,554.6,17.9,25.3,11.0,2020-09-28,637.8,time,13,-0.31,False,False,False,late/extended-entry
HONAUT,2020-08-24,34611.9,29880.8,13.7,21.5,15.0,2020-10-19,30132.1,stop,8,-0.95,False,False,False,late/extended-entry
