tkr,entry_date,exit_date,entry,exit_px,reason,held_weeks,R,ret_%
JSL,2020-03-09,2020-03-16,38.89,30.73,stop,1,-5.355,-21.0
AARTIIND,2020-02-03,2020-03-23,470.33,344.14,stop,7,-2.257,-26.8
CANFINHOME,2020-01-27,2020-03-23,448.39,285.6,stop,8,-2.037,-36.3
ATGL,2023-01-02,2023-01-30,3694.93,2497.57,stop,4,-1.999,-32.4
RRKABEL,2026-03-02,2026-03-16,1521.17,1335.73,stop,2,-1.957,-12.2
VBL,2020-03-16,2020-03-23,65.04,42.1,stop,1,-1.878,-35.3
ATGL,2020-01-06,2020-03-02,172.2,139.65,stop,8,-1.726,-18.9
HONAUT,2020-02-10,2020-03-23,33940.04,22689.96,stop,6,-1.66,-33.1
AXISBANK,2018-10-01,2018-10-08,611.78,566.93,stop,1,-1.655,-7.3
ZENSARTECH,2025-01-27,2025-03-17,816.08,644.28,stop,7,-1.551,-21.1
FACT,2024-12-04,2025-02-17,1011.6,729.71,stop,11,-1.549,-27.9
CHALET,2024-12-16,2025-01-20,1006.44,826.08,stop,5,-1.544,-17.9
RPOWER,2025-01-20,2025-03-03,42.39,33.46,stop,6,-1.514,-21.1
GODREJPROP,2020-02-10,2020-03-09,1168.8,900.0,stop,4,-1.503,-23.0
GSFC,2022-07-25,2022-09-26,144.73,116.35,stop,9,-1.429,-19.6
TIMKEN,2026-03-16,2026-03-23,3475.1,3140.0,stop,1,-1.39,-9.6
SUNTECK,2022-02-28,2022-05-16,473.83,382.3,stop,11,-1.366,-19.3
ZENSARTECH,2021-12-06,2022-02-21,414.49,337.5,stop,11,-1.35,-18.6
SUNTECK,2018-08-13,2018-10-01,446.01,385.47,stop,7,-1.312,-13.6
TATASPONGE,2018-04-16,2018-07-02,1121.0,962.15,stop,11,-1.308,-14.2
UNOMINDA,2024-11-18,2025-01-27,991.5,887.47,stop,10,-1.307,-10.5
PRAJIND,2022-10-10,2022-11-28,434.76,373.79,stop,7,-1.276,-14.0
UBL,2018-08-20,2018-10-08,1342.25,1095.94,stop,7,-1.275,-18.4
TANLA,2023-12-18,2024-03-18,1032.8,814.42,stop,13,-1.265,-21.1
BORORENEW,2024-03-04,2024-03-18,568.4,495.1,stop,2,-1.259,-12.9
RELCAPITAL,2021-03-15,2021-04-19,13.8,9.7,stop,5,-1.242,-29.7
BSE,2025-09-08,2025-09-29,2329.0,2055.0,stop,3,-1.238,-11.8
AFFLE,2022-02-21,2022-05-16,1175.1,1045.0,stop,12,-1.237,-11.1
RATNAMANI,2020-03-16,2020-03-30,816.59,568.09,stop,2,-1.231,-30.4
3MINDIA,2019-04-15,2019-05-06,23039.17,21149.66,stop,3,-1.225,-8.2
