id,ticker,entry_date,cohort,ext_band,crs_tercile,false_touch,noise_stop,exit_too_early,R,opp_quality_R,ext_vs_sma,rank_crs,grade,take,breakout_stage,setup_type,box_region,sr_zones,cell,year,vcp,flag,cup_handle,ascending_base,double_bottom,box_breakout,box_lo,box_hi,sr_breakout,sr_level,any_zoo,any_detector
4a52a3a48a62,SAIL,2023-10-03,false_touch,0,0,1,0,0,-2.182,-0.837,9.56,0.0235,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.92, 'kind': 'resistance'}, {'low_frac': 0.4, 'high_frac': 0.5, 'kind': 'support'}]",0,2023,False,False,False,False,False,False,,,False,,False,False
70aa51a2d4ea,CENTURYPLY,2024-02-19,false_touch,0,0,1,0,0,-1.195,-0.891,13.96,0.0123,1,False,extended,no_clear_setup,,"[{'low_frac': 0.78, 'high_frac': 0.9, 'kind': 'resistance'}, {'low_frac': 0.5, 'high_frac': 0.57, 'kind': 'support'}]",0,2024,False,False,False,False,False,False,,,False,,False,False
4182fa59e4e3,CERA,2018-02-14,false_touch,0,0,1,0,0,-1.118,0.222,6.4,0.0131,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.92, 'kind': 'resistance'}, {'low_frac': 0.48, 'high_frac': 0.56, 'kind': 'support'}]",0,2018,False,False,False,False,False,False,,,False,,False,False
ebdf83499ea6,TORNTPOWER,2022-04-11,false_touch,0,0,1,0,0,-1.369,0.724,9.05,0.0458,2,False,pre,pullback_to_ma,"{'low_frac': 0.42, 'high_frac': 0.63, 'start_bars_ago': 6}","[{'low_frac': 0.78, 'high_frac': 0.88, 'kind': 'resistance'}, {'low_frac': 0.5, 'high_frac': 0.58, 'kind': 'support'}]",0,2022,False,False,False,False,False,False,,,False,,False,False
33efe1378d33,SKFINDIA,2023-09-04,false_touch,0,0,1,0,0,-1.105,1.351,11.82,0.0538,1,False,extended,no_clear_setup,,"[{'low_frac': 0.78, 'high_frac': 0.88, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.65, 'kind': 'support'}]",0,2023,False,False,False,False,False,True,4782.466535982308,5407.704499890283,False,,False,True
8315aab47ef0,DEEPAKNTR,2022-04-11,false_touch,0,0,1,0,0,-1.259,-0.661,5.87,0.0036,2,False,pre,no_clear_setup,"{'low_frac': 0.44, 'high_frac': 0.8, 'start_bars_ago': 14}","[{'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'resistance'}, {'low_frac': 0.44, 'high_frac': 0.52, 'kind': 'support'}]",0,2022,False,False,False,False,False,False,,,False,,False,False
26daecc92ca6,GRINDWELL,2019-04-15,false_touch,0,0,1,0,0,-1.645,0.865,11.93,0.0573,1,False,extended,no_clear_setup,,"[{'low_frac': 0.75, 'high_frac': 0.85, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.65, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
427d28bc9ffa,CONCOR,2019-12-16,false_touch,0,0,1,0,0,-2.254,0.555,9.64,0.0357,2,False,extended,sr_breakout,"{'low_frac': 0.5, 'high_frac': 0.72, 'start_bars_ago': 8}","[{'low_frac': 0.72, 'high_frac': 0.79, 'kind': 'resistance'}, {'low_frac': 0.5, 'high_frac': 0.57, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
f73fb18c4bf8,FSL,2021-12-27,false_touch,0,0,1,0,0,-1.321,0.126,10.73,0.0312,1,False,pre,no_clear_setup,,"[{'low_frac': 0.72, 'high_frac': 0.82, 'kind': 'resistance'}, {'low_frac': 0.5, 'high_frac': 0.58, 'kind': 'support'}]",0,2021,False,False,False,False,False,False,,,False,,False,False
e85b45e9e71e,TIMKEN,2018-02-26,false_touch,0,0,1,0,0,-1.255,-0.29,4.2,0.0141,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.93, 'kind': 'resistance'}, {'low_frac': 0.5, 'high_frac': 0.58, 'kind': 'support'}]",0,2018,False,False,False,False,False,False,,,False,,False,False
a84a7a4d5c59,ATGL,2019-12-30,false_touch,0,0,1,0,0,-0.083,3.977,8.28,0.0011,2,False,pre,sr_breakout,"{'low_frac': 0.45, 'high_frac': 0.78, 'start_bars_ago': 14}","[{'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'resistance'}, {'low_frac': 0.45, 'high_frac': 0.52, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
1730b4d68cd2,GOCOLORS,2023-01-02,false_touch,0,0,1,0,0,-1.366,0.004,8.53,0.0126,1,False,pre,no_clear_setup,"{'low_frac': 0.4, 'high_frac': 0.62, 'start_bars_ago': 6}","[{'low_frac': 0.08, 'high_frac': 0.18, 'kind': 'resistance'}, {'low_frac': 0.42, 'high_frac': 0.5, 'kind': 'support'}]",0,2023,False,False,False,False,False,False,,,False,,False,False
297527ade6b5,VEDL,2018-04-23,false_touch,0,0,1,0,0,-1.173,-0.125,7.24,0.0267,2,False,pre,pullback_to_ma,"{'low_frac': 0.5, 'high_frac': 0.8, 'start_bars_ago': 7}","[{'low_frac': 0.82, 'high_frac': 0.92, 'kind': 'resistance'}, {'low_frac': 0.52, 'high_frac': 0.62, 'kind': 'support'}]",0,2018,False,False,False,False,False,False,,,False,,False,False
df52ebe55364,INDIACEM,2024-02-02,false_touch,0,0,1,0,0,-1.014,0.416,8.74,0.0225,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.9, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.63, 'kind': 'support'}]",0,2024,False,False,False,False,False,False,,,False,,False,False
25ef1d599aa9,HCLTECH,2019-04-30,false_touch,0,0,1,0,0,-1.378,0.469,12.55,0.0493,1,False,extended,no_clear_setup,,"[{'low_frac': 0.62, 'high_frac': 0.72, 'kind': 'support'}, {'low_frac': 0.78, 'high_frac': 0.88, 'kind': 'resistance'}]",0,2019,False,False,False,False,False,False,,,True,436.7567182871018,False,True
bca62c154563,KOTAKBANK,2020-01-15,false_touch,0,0,1,0,0,-1.184,1.026,10.6,0.0414,1,False,extended,no_clear_setup,,"[{'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'support'}, {'low_frac': 0.88, 'high_frac': 0.95, 'kind': 'resistance'}]",0,2020,False,False,False,False,False,True,311.71768390772274,345.51649451313926,False,,False,True
53e56bb2283a,MOTHERSON,2018-02-12,false_touch,0,0,1,0,0,-1.36,0.044,9.98,0.0297,1,False,extended,no_clear_setup,,"[{'low_frac': 0.85, 'high_frac': 0.95, 'kind': 'resistance'}, {'low_frac': 0.6, 'high_frac': 0.7, 'kind': 'support'}]",0,2018,False,False,False,False,False,True,57.42789297610156,65.06794884194929,False,,False,True
3f23b9933757,BERGEPAINT,2023-11-13,false_touch,0,0,1,0,0,-1.267,1.725,7.5,0.0306,1,False,extended,no_clear_setup,,"[{'low_frac': 0.06, 'high_frac': 0.16, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.65, 'kind': 'support'}]",0,2023,False,False,False,False,False,False,,,False,,False,False
fe4cf71affb8,FLUOROCHEM,2023-05-02,false_touch,0,0,1,0,0,-1.155,0.011,4.11,0.0042,2,False,at,sr_breakout,"{'low_frac': 0.38, 'high_frac': 0.58, 'start_bars_ago': 10}","[{'low_frac': 0.44, 'high_frac': 0.52, 'kind': 'support'}, {'low_frac': 0.63, 'high_frac': 0.72, 'kind': 'resistance'}, {'low_frac': 0.26, 'high_frac': 0.34, 'kind': 'support'}]",0,2023,False,False,False,False,False,False,,,False,,False,False
cc3552c56a50,GRINDWELL,2019-11-19,false_touch,0,0,1,0,0,-0.467,-0.082,4.7,0.0041,2,False,extended,sr_breakout,"{'low_frac': 0.6, 'high_frac': 0.8, 'start_bars_ago': 6}","[{'low_frac': 0.55, 'high_frac': 0.63, 'kind': 'support'}, {'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'resistance'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
4cc8e7a1d056,ABB,2019-05-27,false_touch,0,0,1,0,0,-1.146,2.266,11.36,0.0416,1,False,extended,no_clear_setup,,"[{'low_frac': 0.75, 'high_frac': 0.85, 'kind': 'resistance'}, {'low_frac': 0.35, 'high_frac': 0.45, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
1d40ec3f37ba,ADANIPOWER,2019-12-16,false_touch,0,0,1,0,0,-1.509,1.281,10.33,0.0321,1,False,extended,no_clear_setup,"{'low_frac': 0.6, 'high_frac': 0.9, 'start_bars_ago': 10}","[{'low_frac': 0.78, 'high_frac': 0.9, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.65, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,False,,False,False
dc41bc923c62,HDFCBANK,2019-12-02,false_touch,0,0,1,0,0,-1.258,0.15,9.79,0.0373,1,False,extended,no_clear_setup,,"[{'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'support'}, {'low_frac': 0.87, 'high_frac': 0.95, 'kind': 'resistance'}]",0,2019,False,False,False,False,False,True,550.2769868504864,599.5906799764068,False,,False,True
7dea3e0cd5ba,SUNDARMFIN,2019-11-18,false_touch,0,0,1,0,0,-1.518,0.039,10.29,0.0433,2,False,at,sr_breakout,"{'low_frac': 0.4, 'high_frac': 0.8, 'start_bars_ago': 12}","[{'low_frac': 0.72, 'high_frac': 0.82, 'kind': 'resistance'}, {'low_frac': 0.42, 'high_frac': 0.52, 'kind': 'support'}]",0,2019,False,False,False,False,False,False,,,True,1577.757853461983,False,True
4779a85ed928,UPL,2022-04-11,false_touch,0,0,1,0,0,-1.585,0.602,6.83,0.0354,1,False,pre,no_clear_setup,"{'low_frac': 0.4, 'high_frac': 0.8, 'start_bars_ago': 22}","[{'low_frac': 0.72, 'high_frac': 0.8, 'kind': 'resistance'}, {'low_frac': 0.42, 'high_frac': 0.52, 'kind': 'support'}]",0,2022,False,False,False,False,False,False,,,False,,False,False
3595ea4ded0a,IBREALEST,2018-02-15,false_touch,0,0,1,0,0,-1.12,-0.072,11.52,0.0261,1,False,pre,no_clear_setup,"{'low_frac': 0.6, 'high_frac': 0.9, 'start_bars_ago': 18}","[{'low_frac': 0.82, 'high_frac': 0.9, 'kind': 'resistance'}, {'low_frac': 0.6, 'high_frac': 0.68, 'kind': 'support'}]",0,2018,False,False,False,False,False,False,,,False,,False,False
90efa4550ab0,FINCABLES,2022-01-31,false_touch,0,0,1,0,0,-1.722,0.07,5.15,0.0067,1,False,extended,no_clear_setup,,"[{'kind': 'resistance', 'low_frac': 0.82, 'high_frac': 0.9}, {'kind': 'support', 'low_frac': 0.55, 'high_frac': 0.63}]",0,2022,False,False,False,False,False,False,,,False,,False,False
194978f087e1,ATUL,2022-03-14,false_touch,0,0,1,0,0,-0.942,0.729,3.64,0.0562,1,False,pre,no_clear_setup,"{'low_frac': 0.42, 'high_frac': 0.82, 'start_bars_ago': 14}","[{'low_frac': 0.72, 'high_frac': 0.82, 'kind': 'resistance'}, {'low_frac': 0.42, 'high_frac': 0.52, 'kind': 'support'}]",0,2022,False,False,False,False,False,False,,,False,,False,False
f70bdc68209e,CHEMPLASTS,2023-10-09,false_touch,0,0,1,0,0,-1.506,-0.335,10.29,0.0592,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.92, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.65, 'kind': 'support'}]",0,2023,False,False,False,False,False,False,,,False,,False,False
574d2e1c81aa,ZEEL,2018-03-13,false_touch,0,0,1,0,0,-1.116,1.112,5.77,0.0417,1,False,extended,no_clear_setup,,"[{'low_frac': 0.82, 'high_frac': 0.92, 'kind': 'resistance'}, {'low_frac': 0.55, 'high_frac': 0.63, 'kind': 'support'}]",0,2018,False,False,False,False,False,True,513.8738531330243,576.6640801153303,False,,False,True
