id,ticker,entry_date,cohort,setup_type,any_detector,grade,R
ebdf83499ea6,TORNTPOWER,2022-04-11,false_touch,pullback_to_ma,False,2,-1.369
33efe1378d33,SKFINDIA,2023-09-04,false_touch,no_clear_setup,True,1,-1.105
427d28bc9ffa,CONCOR,2019-12-16,false_touch,sr_breakout,False,2,-2.254
a84a7a4d5c59,ATGL,2019-12-30,false_touch,sr_breakout,False,2,-0.083
297527ade6b5,VEDL,2018-04-23,false_touch,pullback_to_ma,False,2,-1.173
25ef1d599aa9,HCLTECH,2019-04-30,false_touch,no_clear_setup,True,1,-1.378
bca62c154563,KOTAKBANK,2020-01-15,false_touch,no_clear_setup,True,1,-1.184
53e56bb2283a,MOTHERSON,2018-02-12,false_touch,no_clear_setup,True,1,-1.36
fe4cf71affb8,FLUOROCHEM,2023-05-02,false_touch,sr_breakout,False,2,-1.155
cc3552c56a50,GRINDWELL,2019-11-19,false_touch,sr_breakout,False,2,-0.467
dc41bc923c62,HDFCBANK,2019-12-02,false_touch,no_clear_setup,True,1,-1.258
574d2e1c81aa,ZEEL,2018-03-13,false_touch,no_clear_setup,True,1,-1.116
e8714dce9350,CENTURYPLY,2022-08-08,false_touch,sr_breakout,False,2,-1.175
8091705bf3ad,GREAVESCOT,2020-01-20,false_touch,sr_breakout,False,2,-1.48
f3c3b0c91105,HAVELLS,2022-04-25,false_touch,sr_breakout,False,2,-1.633
e7f4918dc394,FIVESTAR,2024-06-24,false_touch,sr_breakout,False,2,-1.328
2774b35d8e14,BAYERCROP,2024-04-23,noise_stop,pullback_to_ma,False,2,-1.26
2fb980911b39,CUB,2024-05-21,noise_stop,sr_breakout,False,1,-1.269
9bd16fc56d56,NHPC,2022-02-21,noise_stop,no_clear_setup,True,1,-1.111
d3c9f8db8bf9,GAIL,2018-08-20,noise_stop,sr_breakout,False,1,-2.168
017ed75bb875,SAIL,2023-07-17,noise_stop,flat_base_box,False,3,-1.532
1a9915a7ba71,UNOMINDA,2023-10-23,noise_stop,no_clear_setup,True,2,-1.153
921ee566b453,ASIANPAINT,2021-12-13,noise_stop,sr_breakout,False,2,-2.364
e684dffe4222,ACC,2019-05-27,noise_stop,no_clear_setup,True,1,-1.456
9bc9929baee9,CHEMPLASTS,2023-12-05,noise_stop,pullback_to_ma,False,2,-1.435
2aec67d78797,ZEEL,2018-02-12,noise_stop,no_clear_setup,True,1,-1.117
8bdbca0b6ba3,AIAENG,2018-07-30,noise_stop,sr_breakout,False,2,0.33
a17a868f80fe,M&M,2023-06-05,strong_winner,sr_breakout,False,2,3.261
32891a4bfc32,GUJALKALI,2024-02-06,strong_winner,sr_breakout,False,1,3.422
