id,ticker,entry_date,cohort,ext_band,crs_tercile,false_touch,noise_stop,exit_too_early,R,opp_quality_R,ext_vs_sma,rank_crs
4a52a3a48a62,SAIL,2023-10-03,false_touch,0,0,1,0,0,-2.182,-0.837,9.56,0.0235
70aa51a2d4ea,CENTURYPLY,2024-02-19,false_touch,0,0,1,0,0,-1.195,-0.891,13.96,0.0123
4182fa59e4e3,CERA,2018-02-14,false_touch,0,0,1,0,0,-1.118,0.222,6.4,0.0131
ebdf83499ea6,TORNTPOWER,2022-04-11,false_touch,0,0,1,0,0,-1.369,0.724,9.05,0.0458
33efe1378d33,SKFINDIA,2023-09-04,false_touch,0,0,1,0,0,-1.105,1.351,11.82,0.0538
8315aab47ef0,DEEPAKNTR,2022-04-11,false_touch,0,0,1,0,0,-1.259,-0.661,5.87,0.0036
26daecc92ca6,GRINDWELL,2019-04-15,false_touch,0,0,1,0,0,-1.645,0.865,11.93,0.0573
427d28bc9ffa,CONCOR,2019-12-16,false_touch,0,0,1,0,0,-2.254,0.555,9.64,0.0357
f73fb18c4bf8,FSL,2021-12-27,false_touch,0,0,1,0,0,-1.321,0.126,10.73,0.0312
e85b45e9e71e,TIMKEN,2018-02-26,false_touch,0,0,1,0,0,-1.255,-0.29,4.2,0.0141
a84a7a4d5c59,ATGL,2019-12-30,false_touch,0,0,1,0,0,-0.083,3.977,8.28,0.0011
1730b4d68cd2,GOCOLORS,2023-01-02,false_touch,0,0,1,0,0,-1.366,0.004,8.53,0.0126
297527ade6b5,VEDL,2018-04-23,false_touch,0,0,1,0,0,-1.173,-0.125,7.24,0.0267
df52ebe55364,INDIACEM,2024-02-02,false_touch,0,0,1,0,0,-1.014,0.416,8.74,0.0225
25ef1d599aa9,HCLTECH,2019-04-30,false_touch,0,0,1,0,0,-1.378,0.469,12.55,0.0493
bca62c154563,KOTAKBANK,2020-01-15,false_touch,0,0,1,0,0,-1.184,1.026,10.6,0.0414
53e56bb2283a,MOTHERSON,2018-02-12,false_touch,0,0,1,0,0,-1.36,0.044,9.98,0.0297
3f23b9933757,BERGEPAINT,2023-11-13,false_touch,0,0,1,0,0,-1.267,1.725,7.5,0.0306
fe4cf71affb8,FLUOROCHEM,2023-05-02,false_touch,0,0,1,0,0,-1.155,0.011,4.11,0.0042
cc3552c56a50,GRINDWELL,2019-11-19,false_touch,0,0,1,0,0,-0.467,-0.082,4.7,0.0041
4cc8e7a1d056,ABB,2019-05-27,false_touch,0,0,1,0,0,-1.146,2.266,11.36,0.0416
1d40ec3f37ba,ADANIPOWER,2019-12-16,false_touch,0,0,1,0,0,-1.509,1.281,10.33,0.0321
dc41bc923c62,HDFCBANK,2019-12-02,false_touch,0,0,1,0,0,-1.258,0.15,9.79,0.0373
7dea3e0cd5ba,SUNDARMFIN,2019-11-18,false_touch,0,0,1,0,0,-1.518,0.039,10.29,0.0433
4779a85ed928,UPL,2022-04-11,false_touch,0,0,1,0,0,-1.585,0.602,6.83,0.0354
3595ea4ded0a,IBREALEST,2018-02-15,false_touch,0,0,1,0,0,-1.12,-0.072,11.52,0.0261
90efa4550ab0,FINCABLES,2022-01-31,false_touch,0,0,1,0,0,-1.722,0.07,5.15,0.0067
194978f087e1,ATUL,2022-03-14,false_touch,0,0,1,0,0,-0.942,0.729,3.64,0.0562
f70bdc68209e,CHEMPLASTS,2023-10-09,false_touch,0,0,1,0,0,-1.506,-0.335,10.29,0.0592
574d2e1c81aa,ZEEL,2018-03-13,false_touch,0,0,1,0,0,-1.116,1.112,5.77,0.0417
e8714dce9350,CENTURYPLY,2022-08-08,false_touch,0,0,1,0,0,-1.175,1.329,6.27,0.0269
8091705bf3ad,GREAVESCOT,2020-01-20,false_touch,0,0,1,0,0,-1.48,-0.023,6.01,0.0016
00d469720d27,SYMPHONY,2019-08-05,false_touch,0,0,1,0,0,-1.017,0.662,5.68,0.058
f3c3b0c91105,HAVELLS,2022-04-25,false_touch,0,0,1,0,0,-1.633,0.619,3.33,0.0327
099db0e9f951,M&MFIN,2021-04-26,false_touch,0,0,1,0,0,-1.389,-0.214,6.09,0.0091
2650f699edae,ITI,2018-04-09,false_touch,0,0,1,0,0,-1.039,0.367,6.57,0.0373
e7f4918dc394,FIVESTAR,2024-06-24,false_touch,0,0,1,0,0,-1.328,0.567,11.67,0.0133
92ac6b62e225,VOLTAS,2022-02-07,false_touch,0,0,1,0,0,-2.267,1.131,10.27,0.0457
2b778d2b6fea,RAJESHEXPO,2018-02-12,false_touch,0,0,1,0,0,-1.97,0.576,11.62,0.0495
56a7847e6994,SUNTV,2018-04-09,false_touch,0,0,1,0,0,-1.303,1.965,3.53,0.0204
ee7ccf280985,PGHH,2019-12-02,noise_stop,0,0,0,1,0,-1.567,0.42,6.56,0.0048
