tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:GREENPLY,A,2017-01-27,9.88,0.53,12.75,2017-01-30,263.12,237.12,9.88,9.11,0.03,2017-12-18,330.06,25.44,2.29,27.29,2.76,-6.05,blowoff_half,46.0,
NSE:RELCAPITAL,A,2017-02-03,9.48,0.51,11.84,2017-02-06,414.68,373.21,10.0,9.83,0.04,2017-04-10,513.12,23.74,2.19,27.36,2.74,-4.78,blowoff_half,9.0,
NSE:MANPASAND,A,2017-02-10,6.54,0.71,7.61,2017-02-13,348.14,326.76,6.14,11.16,0.05,2017-06-05,388.43,11.57,1.94,26.86,4.37,-3.82,blowoff_half,16.0,
NSE:AVANTIFEED,A,2017-02-17,5.38,0.59,8.53,2017-02-20,177.73,168.18,5.37,12.5,0.06,2017-07-17,476.71,168.22,16.66,180.4,33.57,-0.34,blowoff_half,21.0,
NSE:GAYAPROJ,A,2017-03-31,6.92,0.57,11.08,2017-04-03,138.2,127.75,7.56,11.0,0.02,2017-05-15,153.83,11.31,1.5,19.83,2.62,-3.09,blowoff,6.0,
NSE:LAXMIMACH,A,2017-03-31,4.62,0.7,5.44,2017-04-03,4067.71,3878.62,4.65,8.41,0.0,2017-06-19,5003.25,23.0,3.47,26.86,5.78,-0.57,blowoff_half,11.0,
NSE:EROSMEDIA,A,2017-05-26,8.85,0.03,12.56,2017-05-29,217.5,205.0,5.75,5.86,0.01,2017-07-03,217.45,-0.02,1.0,18.41,3.2,-5.17,trail,5.0,
NSE:HCC,A,2017-06-02,11.21,0.13,18.56,2017-06-05,39.03,35.12,10.02,14.29,0.0,2017-07-03,35.17,-9.89,-0.99,1.72,0.17,-11.5,stop,4.0,
NSE:RELCAPITAL,A,2017-06-09,6.69,0.6,8.55,2017-06-12,492.13,461.96,6.13,10.64,0.01,2017-08-14,638.03,29.65,3.42,39.94,6.51,-0.65,blowoff_half,9.0,
NSE:THYROCARE,B,2017-06-16,5.6,0.56,6.53,2017-06-20,200.36,190.62,4.86,9.83,0.0,2017-08-14,194.09,-3.13,-0.64,17.71,3.64,-7.46,stop,7.9,
NSE:GAYAPROJ,A,2017-08-24,11.51,0.63,14.1,2017-08-28,163.66,148.17,9.46,17.84,0.1,2018-01-08,207.21,26.61,2.41,38.71,4.09,-0.0,blowoff_half,19.0,
NSE:RUPA,A,2017-09-29,9.26,0.22,15.54,2017-10-03,391.42,352.28,10.0,16.96,0.08,2018-03-26,326.9,-16.48,-1.65,19.01,1.9,-18.28,stop,24.9,
NSE:QUESS,A,2017-09-29,5.35,0.32,6.17,2017-10-03,742.95,703.18,5.35,7.51,0.01,2018-01-08,1004.44,35.2,4.29,42.95,8.02,-4.89,blowoff_half,13.9,
