bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
LOSS_RANDOM,NSE:RUPA,2017-09-29,9.26,0.22,15.54,2017-10-03,391.42,350.51,10.45,16.96,0.08,2018-03-26,326.9,-16.48,-1.58,19.01,-18.28,stop,24.9
LOSS_RANDOM,NSE:ZENSARTECH,2021-12-03,13.39,0.13,19.02,2021-12-06,414.49,357.48,13.75,21.3,0.12,2022-02-21,337.5,-18.57,-1.35,22.14,-21.33,stop,11.0
LOSS_RANDOM,NSE:GREENPLY,2018-02-09,15.88,0.57,21.17,2018-02-12,357.25,299.97,16.03,23.84,0.19,2018-04-02,300.94,-15.76,-0.98,2.72,-17.66,stop,7.0
LOSS_RANDOM,NSE:GODREJIND,2025-02-21,32.3,0.81,55.87,2025-02-24,1098.0,766.0,30.24,13.01,0.22,2026-02-23,1050.0,-4.37,-0.14,26.59,-14.5,time,52.0
LOSS_RANDOM,NSE:IDBI,2020-10-16,14.27,0.58,19.04,2020-10-19,36.34,31.56,13.15,17.41,0.1,2020-12-28,30.62,-15.74,-1.2,14.33,-19.92,stop,10.0
LOSS_RANDOM,NSE:KIOCL,2018-04-06,27.95,0.62,50.81,2018-04-09,283.57,202.55,28.57,23.09,0.15,2018-06-04,201.49,-28.95,-1.01,5.31,-34.35,stop,8.0
LOSS_RANDOM,NSE:EMAMILTD,2024-05-31,17.67,0.59,25.48,2024-06-03,615.54,495.31,19.53,28.93,0.18,2025-06-02,572.72,-6.96,-0.36,34.37,-19.65,time,52.0
LOSS_RANDOM,NSE:CANFINHOME,2020-01-24,18.11,0.68,30.47,2020-01-27,448.39,368.47,17.82,24.77,0.18,2020-03-23,285.6,-36.31,-2.04,10.19,-43.52,stop,8.0
LOSS_RANDOM,NSE:ATGL,2022-12-30,16.05,0.5,29.0,2023-01-02,3694.93,3095.85,16.21,26.44,0.16,2023-01-30,2497.57,-32.41,-2.0,8.11,-36.69,stop,4.0
LOSS_RANDOM,NSE:MANAPPURAM,2025-12-12,6.64,0.39,7.56,2025-12-15,286.61,267.62,6.63,13.19,0.06,2026-03-09,254.6,-11.17,-1.69,11.84,-13.02,stop,12.0
LOSS_RANDOM,NSE:PRAJIND,2019-05-17,10.7,0.43,16.74,2019-05-20,120.49,104.49,13.28,14.27,0.04,2019-07-29,98.96,-17.87,-1.35,15.98,-17.87,stop,10.0
