bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
LOSS_RANDOM,NSE:HEG,2025-12-26,5.62,0.67,8.07,2025-12-29,562.4,528.35,6.05,13.5,0.06,2026-02-16,520.05,-7.53,-1.24,19.49,-10.03,stop,7.0
LOSS_RANDOM,NSE:LALPATHLAB,2018-09-28,6.0,0.3,10.99,2018-10-04,449.83,425.44,5.42,5.19,0.04,2018-10-29,412.46,-8.31,-1.53,5.7,-10.64,stop,3.6
LOSS_RANDOM,NSE:DOMS,2025-03-13,6.22,0.42,9.22,2025-03-17,2795.45,2631.8,5.85,11.62,0.18,2025-04-15,2596.85,-7.1,-1.21,8.34,-19.61,stop,4.1
LOSS_RANDOM,NSE:EROSMEDIA,2018-01-12,6.68,0.11,12.73,2018-01-15,247.65,230.5,6.93,12.32,0.05,2018-01-22,224.9,-9.19,-1.33,2.26,-10.76,stop,1.0
LOSS_RANDOM,NSE:CRISIL,2025-06-20,8.0,0.77,10.09,2025-06-23,5519.54,5215.91,5.5,13.0,0.1,2025-08-04,5154.28,-6.62,-1.2,9.64,-8.23,stop,6.0
LOSS_RANDOM,NSE:INDUSINDBK,2021-09-17,12.15,0.65,19.53,2021-09-20,1080.32,972.29,10.0,15.42,0.0,2021-11-29,898.07,-16.87,-1.69,11.39,-20.28,stop,10.0
LOSS_RANDOM,NSE:VIPIND,2019-01-18,4.76,0.18,7.7,2019-01-21,497.1,473.44,4.76,11.09,0.08,2019-01-28,466.21,-6.21,-1.31,0.41,-9.05,stop,1.0
LOSS_RANDOM,NSE:EDELWEISS,2018-05-04,7.33,0.26,10.3,2018-05-07,135.98,125.12,7.99,12.25,0.05,2018-09-10,121.09,-10.95,-1.37,16.12,-15.63,stop,18.0
LOSS_RANDOM,NSE:NAUKRI,2020-05-08,8.78,0.75,11.42,2020-05-11,525.08,482.27,8.15,11.9,0.33,2020-05-26,474.89,-9.56,-1.17,1.46,-17.71,stop,2.1
LOSS_RANDOM,NSE:SUVEN,2018-01-25,8.33,0.76,10.6,2018-01-29,7.54,6.81,9.68,17.47,0.04,2018-02-05,6.49,-13.93,-1.44,14.98,-16.56,stop,1.0
LOSS_RANDOM,NSE:EVEREADY,2018-02-16,5.63,0.11,10.69,2018-02-19,389.99,365.79,6.21,11.62,0.06,2018-03-26,359.37,-7.85,-1.26,5.85,-10.86,stop,5.0
LOSS_RANDOM,NSE:SUDARSCHEM,2021-08-27,20.48,0.72,26.34,2021-08-31,665.95,599.35,10.0,18.36,0.08,2021-10-25,597.65,-10.26,-1.03,4.81,-11.91,stop,7.9
LOSS_RANDOM,NSE:CAPLIPOINT,2021-12-03,10.83,0.46,13.49,2021-12-06,795.32,715.79,10.0,19.78,0.11,2022-02-28,667.68,-16.05,-1.6,9.63,-19.75,stop,12.0
LOSS_RANDOM,NSE:PGHH,2019-09-27,9.06,0.7,10.68,2019-09-30,10938.31,9921.9,9.29,16.64,0.13,2019-11-25,9766.41,-10.71,-1.15,5.14,-11.11,stop,8.0
LOSS_RANDOM,NSE:GSKCONS,2018-08-24,10.9,0.8,14.98,2018-08-28,7530.2,6777.18,10.0,19.21,0.09,2018-10-08,6560.0,-12.88,-1.29,4.25,-16.2,stop,5.9
LOSS_RANDOM,NSE:SBIN,2019-03-28,8.4,0.53,16.24,2019-04-01,291.67,264.84,9.2,14.08,0.07,2019-08-13,263.67,-9.6,-1.04,16.16,-12.21,stop,19.1
LOSS_RANDOM,NSE:WELCORP,2025-10-31,13.18,0.85,17.47,2025-11-03,966.79,870.11,10.0,15.9,0.09,2025-11-24,865.78,-10.45,-1.04,2.35,-12.98,stop,3.0
LOSS_RANDOM,NSE:ABBOTINDIA,2025-08-14,4.07,0.18,6.74,2025-08-18,33495.0,31910.0,4.73,12.22,0.08,2025-08-25,32145.0,-4.03,-0.85,0.0,-6.05,stop,1.0
LOSS_RANDOM,NSE:MAXHEALTH,2025-03-21,16.23,0.84,21.33,2025-03-24,1173.3,1055.97,10.0,19.43,0.21,2026-01-12,1012.0,-13.75,-1.38,12.02,-15.28,stop,42.0
LOSS_RANDOM,NSE:USHAMART,2024-05-03,7.57,0.29,14.96,2024-05-06,364.61,337.74,7.37,13.44,0.05,2024-05-13,336.37,-7.75,-1.05,0.22,-10.86,stop,1.0
LOSS_RANDOM,NSE:SUNTECK,2022-02-25,14.96,0.51,18.93,2022-02-28,473.83,426.45,10.0,16.9,0.17,2022-03-28,412.86,-12.87,-1.29,4.59,-13.93,stop,4.0
