date,total_value
2026-07-06,1024851.982575916
2026-07-07,1029572.8718192183
2026-07-08,1007201.3783005142
2026-07-09,1027101.3843021276
2026-07-10,1029144.3002125544
2026-07-13,1017562.1524061525
2026-07-14,1010671.6110516301
2026-07-15,1006440.479620876
2026-07-16,1007068.1205770114
2026-07-17,1012185.293375905
2026-07-20,1014242.5317977342
2026-07-21,1025090.6615261445
2026-07-22,1019394.1803399106
2026-07-23,995633.9408751933
2026-07-24,991807.3859708452
2026-07-27,998875.9746301877
2026-07-28,1017426.7793813223
2026-07-29,1023711.6070734089
2026-07-30,1013597.209840113
2026-07-31,1013016.100144961
2026-08-03,1015941.3347340703
2026-08-04,1021034.5477543123
2026-08-05,1018972.4563870585
2026-08-06,1019711.4326371164
2026-08-07,1024062.8880544287
2026-08-10,1031024.6674736328
2026-08-11,1017226.1893259623
2026-08-12,1019694.7019992954
2026-08-13,1020721.197959695
2026-08-14,1019996.9663380455
