trade_id,ticker,signal_date,bought_date,as_of_snapshot,provenance,entry,stop,target,grade,tier,crs_rank,ext_pct_over_sma44,band_width_pct,body_ratio,signal_conviction,stop_week_low,buy_zone_low,buy_zone_high,record_would_skip_as_extended,pattern,corporate_actions,stop_width_pct_card,status,r_multiple,return_pct,exit_reason,hold_days,close_date,close_price,designed_r,beyond_stop_r,gap_through,mae_r,mfe_r,capture_of_mfe,nifty_same_window_pct,stop_width_pct_engine,width_gap_pct,stop_width_pct,stop_width_basis,state,has_corporate_action,shares,position_size,entry_price_filled
CUB:2026-07-06,CUB,2026-07-06,2026-07-06,2026-07-24,reconstructed,212.0,199.2,237.6,A,signal,,,,,,,,,,44-week SMA pullback,,6.0377,ACTIVE,,7.4,,60.0,,225.57,,,,,,,,,,6.0377,card,open,False,943.4,200000.0,212.0
DELHIVERY:2026-07-06,DELHIVERY,2026-07-06,2026-07-06,2026-07-24,reconstructed,510.95,461.0,610.85,A,signal,,,,,,,,,,44-week SMA pullback,,9.7759,HIT_STOP,-1.05,-10.23,stop,30.0,2026-08-17,458.7,-1.0,-0.05,True,-1.1702,0.2613,-4.0184,-0.5841,9.7429,0.339,9.7429,engine,closed,False,391.43,200000.0,510.95
INDUSINDBK:2026-07-06,INDUSINDBK,2026-07-06,2026-07-06,2026-07-24,reconstructed,968.0,908.1,1087.8,A,signal,,,,,,,,,,44-week SMA pullback,,6.188,ACTIVE,,-5.76,,60.0,,912.2,,,,,,,,,,6.188,card,open,False,206.61,200000.0,968.0
NESTLEIND:2026-07-06,NESTLEIND,2026-07-06,2026-07-06,2026-07-24,reconstructed,1450.13,1374.89,1600.61,A,signal,,,,,,,,,,44-week SMA pullback,,5.1885,HIT_STOP,-1.2,-6.22,stop,55.0,2026-09-21,1360.0,-1.0,-0.2,True,-1.5594,1.3672,-0.8777,-4.159,5.1833,0.1,5.1833,engine,closed,False,137.92,200000.0,1450.13
LTF:2026-07-09,LTF,2026-07-09,2026-07-09,2026-07-24,reconstructed,314.75,297.5,349.25,A,signal,,,,,,,,,,44-week SMA pullback,,5.4805,ACTIVE,,-9.77,,60.0,,284.0,,,,,,,,,,5.4805,card,open,False,,,
BAJAJ-AUTO:2026-07-13,BAJAJ-AUTO,2026-07-13,2026-07-13,2026-07-24,reconstructed,10080.0,9785.5,10669.0,A,signal,,,,,,,,,,44-week SMA pullback,,2.9216,ACTIVE,,11.91,,55.0,,11281.0,,,,,,,,,,2.9216,card,open,False,,,
CANFINHOME:2026-07-13,CANFINHOME,2026-07-13,2026-07-13,2026-07-24,reconstructed,920.25,885.75,989.25,A,signal,,,,,,,,,,44-week SMA pullback,,3.749,HIT_STOP,-2.94,-11.04,stop,10.0,2026-07-27,818.7,-1.0,-1.94,True,-3.5145,0.5971,-4.9238,-0.8882,3.7551,0.162,3.7551,engine,closed,False,,,
GLENMARK:2026-07-13,GLENMARK,2026-07-13,2026-07-13,2026-07-24,reconstructed,2285.9,2212.6,2432.5,A,signal,,,,,,,,,,44-week SMA pullback,,3.2066,HIT_STOP,-0.93,-2.97,stop,10.0,2026-07-27,2215.8,-0.93,0.0,False,-1.6651,0.5169,-1.7992,-0.8882,3.1935,0.41,3.1935,engine,closed,False,,,
NATCOPHARM:2026-07-13,NATCOPHARM,2026-07-13,2026-07-13,2026-07-24,reconstructed,984.05,919.9,1112.35,A,signal,,,,,,,,,,44-week SMA pullback,,6.519,HIT_STOP,-0.95,-6.19,sma_break,10.0,2026-07-27,921.59,-0.95,0.0,False,-1.1534,0.0503,-18.8867,-0.8882,6.5158,0.049,6.5158,engine,closed,False,,,
NLCINDIA:2026-07-13,NLCINDIA,2026-07-13,2026-07-13,2026-07-24,reconstructed,310.0,292.7,344.6,A,signal,,,,,,,,,,44-week SMA pullback,,5.5806,HIT_STOP,-1.97,-10.97,stop,25.0,2026-08-17,276.0,-1.0,-0.97,True,-2.2746,0.0983,-20.0407,0.3166,5.5685,0.217,5.5685,engine,closed,False,,,
BIOCON:2026-07-20,BIOCON,2026-07-20,2026-07-20,2026-07-24,reconstructed,440.4,402.7,515.8,A,signal,,,,,,,,,,44-week SMA pullback,,8.5604,HIT_STOP,-1.16,-9.97,stop,35.0,2026-09-07,396.5,-1.0,-0.16,True,-1.3727,0.0584,-19.863,-1.8951,8.5948,0.4,8.5948,engine,closed,False,,,
LINDEINDIA:2026-07-20,LINDEINDIA,2026-07-20,2026-07-20,2026-07-24,reconstructed,7070.0,6933.0,7344.0,A,signal,,,,,,,,,,44-week SMA pullback,,1.9378,HIT_STOP,-2.32,-4.5,stop,5.0,2026-07-27,6740.57,-1.0,-1.32,True,-3.1369,0.3535,-6.5629,-1.0007,1.9397,0.098,1.9397,engine,closed,False,,,
MRPL:2026-07-20,MRPL,2026-07-20,2026-07-20,2026-07-24,reconstructed,172.0,156.15,203.7,A,signal,,,,,,,,,,44-week SMA pullback,,9.2151,HIT_STOP,-0.29,-2.65,sma_break,45.0,2026-09-21,167.45,-0.29,0.0,False,-0.8202,1.2555,-0.231,-3.4004,9.1379,0.845,9.1379,engine,closed,False,,,
SIEMENS:2026-07-20,SIEMENS,2026-07-20,2026-07-20,2026-07-24,reconstructed,3651.0,3437.0,4079.0,A,signal,,,,,,,,,,44-week SMA pullback,,5.8614,ACTIVE,,6.71,,50.0,,3877.0,,,,,,,,,,5.8614,card,open,False,,,
3MINDIA:2026-07-24,3MINDIA,2026-07-24,2026-07-27,2026-07-24,reconstructed,35500.0,34710.0,37080.0,A,signal,0.1063,,,,,,,,,44-week SMA pullback,,2.2254,HIT_STOP,-0.57,-1.73,stop,5.0,2026-08-03,35170.0,-0.57,0.0,False,-1.2848,1.4684,-0.3882,3.2437,3.0351,26.678,3.0351,engine,closed,False,,,
GESHIP:2026-07-24,GESHIP,2026-07-24,2026-07-27,2026-07-24,reconstructed,1437.9,1340.0,1633.7,A,signal,0.1386,,,,,,,,,44-week SMA pullback,,6.8085,HIT_STOP,-1.46,-10.01,stop,15.0,2026-08-17,1281.1,-1.0,-0.46,True,-1.8069,1.4707,-0.9927,1.2156,6.8562,0.696,6.8562,engine,closed,False,,,
HEG:2026-07-24,HEG,2026-07-24,2026-07-27,2026-07-24,reconstructed,643.15,579.43,770.59,A,signal,0.1996,,,,,,,,,44-week SMA pullback,"[{""kind"": ""demerger"", ""ex_date"": ""2026-09-07"", ""retained"": 0.373773, ""prior_close"": 728.25, ""spin_value_per_share"": 456.05, ""credit"": 140323.02, ""r_credited"": 0.7539, ""shares"": 307.6923}]",9.9075,ACTIVE,,0.58,,45.0,,244.35,,,,,,,,,,9.9075,card,open,True,,,
M&MFIN:2026-07-24,M&MFIN,2026-07-24,2026-07-27,2026-07-24,reconstructed,356.5,317.6,434.3,A,signal,0.1276,,,,,,,,,44-week SMA pullback,,10.9116,ACTIVE,,-7.73,,45.0,,333.1,,,,,,,,,,10.9116,card,open,False,,,
TVSMOTOR:2026-07-24,TVSMOTOR,2026-07-24,2026-07-27,2026-07-24,reconstructed,3870.2,3550.1,4510.4,A,signal,0.1167,,,,,,,,,44-week SMA pullback,,8.2709,ACTIVE,,6.46,,45.0,,4157.3,,,,,,,,,,8.2709,card,open,False,,,
CHOLAFIN:2026-07-31,CHOLAFIN,2026-07-31,,2026-07-31,reconstructed,1849.9,1696.2,2157.3,A,signal,0.1334,12.03,,,,1696.2,,,False,44-week SMA pullback,,8.3086,,,,,,,,,,,,,,,,,8.3086,card,not_entered,False,,,
GVT&D:2026-07-31,GVT&D,2026-07-31,2026-08-03,2026-07-31,reconstructed,4323.3,3962.2,5045.5,A,signal,0.1317,14.98,,,,3962.2,,,False,44-week SMA pullback,,8.3524,ACTIVE,,-0.75,,40.0,,4280.0,,,,,,,,,,8.3524,card,open,False,,,
ENGINERSIN:2026-08-07,ENGINERSIN,2026-08-07,2026-08-10,2026-08-07,reconstructed,240.6,222.38,277.04,A,signal,0.1259,13.38,9.8,0.78,normal,222.38,239.2,245.75,False,44-week SMA pullback,,7.5727,ACTIVE,,32.27,,35.0,,315.65,,,,,,,,,,7.5727,card,open,False,,,
