deal_type,date,symbol,client,side,qty,price,fetch_ts
bulk,28-JUL-2026,AASTHA,D3 STOCK VISION LLP,BUY,222230.0,83.0,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,RATHOD DIGVIJAYSINH RAJENDRASINH,BUY,300000.0,96.82,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,MICROCURVES TRADING PRIVATE LIMITED,BUY,305625.0,88.24,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,DHWAJA SHARES & SECURITIES PVT LTD,BUY,709151.0,93.96,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,PRRSAAR COMMODITIES PVT LTD,BUY,306411.0,90.13,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,L7 HITECH PRIVATE LIMITED,BUY,875000.0,93.68,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,400057.0,82.02,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,QE SECURITIES LLP,BUY,637081.0,90.27,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,HRTI PRIVATE LIMITED,BUY,559868.0,87.7,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,MATHISYS QUANTCAP LLP,BUY,536289.0,90.83,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,JAGID VANITABEN RAJENDRAPRASAD,BUY,3477529.0,87.99,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,RIDDHI SIDDHI INTERNATIONAL,BUY,515271.0,81.9,2026-07-28 20:59:44
bulk,28-JUL-2026,AASTHA,MATALIA STOCK BROKING PRIVATE LIMITED,BUY,254512.0,88.2,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,84994.0,533.78,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,198940.0,535.88,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,GRT STRATEGIC VENTURES LLP,BUY,104304.0,537.3,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,94446.0,532.76,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,81473.0,545.62,2026-07-28 20:59:44
bulk,28-JUL-2026,AGARIND,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,109748.0,533.9,2026-07-28 20:59:44
bulk,28-JUL-2026,AQYLON,PINE OAK GLOBAL FUND,BUY,2500000.0,25.19,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,3836351.0,58.54,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,HRTI PRIVATE LIMITED,BUY,2983201.0,58.06,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,1561593.0,58.31,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,HJS SECURITIES PRIVATE LIMITED,BUY,1841602.0,56.54,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,QE SECURITIES LLP,BUY,3985540.0,58.6,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,GAURAV R GANDHI HUF,BUY,6273512.0,58.3,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,NOVA GLOBAL OPPORTUNITIES FUND PCC - TOUCHSTONE,BUY,2000000.0,60.0,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,MICROCURVES TRADING PRIVATE LIMITED,BUY,6210745.0,58.92,2026-07-28 20:59:44
bulk,28-JUL-2026,ASIANTILES,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,1840648.0,59.16,2026-07-28 20:59:44
bulk,28-JUL-2026,ATALREAL,CHAUBARA EATS PRIVATE LIMITED,BUY,650000.0,31.5,2026-07-28 20:59:44
bulk,28-JUL-2026,ATALREAL,ACME CAPITAL MARKET LIMITED,BUY,887242.0,31.39,2026-07-28 20:59:44
bulk,28-JUL-2026,BIRDYS,KINGSMAN WEALTH FUND PCC - KIF II,BUY,565200.0,90.66,2026-07-28 20:59:44
bulk,28-JUL-2026,BLUESTONE,HRTI PRIVATE LIMITED,BUY,784389.0,783.58,2026-07-28 20:59:44
bulk,28-JUL-2026,CKKRETAIL,RIDDHI SIDDHI INTERNATIONAL,BUY,840800.0,143.0,2026-07-28 20:59:44
bulk,28-JUL-2026,CKKRETAIL,JAGID VANITABEN RAJENDRAPRASAD,BUY,11200.0,138.4,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,535832.0,584.9,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,439209.0,592.11,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,MATHISYS QUANTCAP LLP,BUY,548308.0,590.54,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,IRAGE BROKING SERVICES LLP,BUY,410706.0,594.29,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,684198.0,592.46,2026-07-28 20:59:44
bulk,28-JUL-2026,CMLL,MICROCURVES TRADING PRIVATE LIMITED,BUY,834074.0,589.86,2026-07-28 20:59:44
