date,status,base_ret,base_equity,base_npos,veto_ret,veto_equity,veto_npos,drift_ret,drift_equity,drift_npos,drift_mult,row_hash
2026-08-12,ok,0.01795382,1004620.12,9,0.00867161,975545.42,9,0.01795382,1017953.82,9,1.0000,a05a5e9e096af80afa14b8dbee229fe9598e5264ca4fc38d2051a7a349a350da
2026-08-13,ok,-0.00141050,1003203.10,12,-0.00247051,973135.33,11,-0.00141050,1016517.99,12,1.0000,1a353e50fc59efb13a72d1ceae36cc518de35b2f46aafc6548e78cd4fd4c3daa
2026-08-14,ok,-0.00803083,995146.55,12,-0.00872968,964640.17,11,-0.00803083,1008354.51,12,1.0000,19d7825d21c27038efdd8002e7ca54110694465cc5753ef49269cbcb9c6ceca3
2026-08-17,ok,0.00766919,1002778.52,12,0.01058579,974851.65,11,0.00766919,1016087.77,12,1.0000,a7ac194c05694782f4562dd04f2879a23d1758ec695beb23c1c6d7f6dc3ed451
2026-08-18,ok,0.00530096,1010698.92,12,0.00597496,980676.35,10,0.00530096,1021474.01,12,1.0000,6e2c7b75aa40d7e4f939561e0c8f64522f93b222d60023d8397cce44c54ccb8a
2026-08-19,ok,-0.01042563,1000161.75,14,-0.01419038,966760.18,11,-0.01042563,1010824.50,14,1.0000,96f6952eda1f957143f8432a458c7ad970cf440ae7ca25983c065f316b9ee16d
2026-08-20,ok,0.01134340,1011506.98,13,0.00932174,975772.07,11,0.01134340,1022290.68,13,1.0000,bad69ab30183f16227ec25ebc03f1a2973e5e9542508e238a727a89d91d4c3af
2026-08-21,ok,0.03719269,1049127.65,14,0.01696772,992328.70,11,0.03719269,1060312.42,14,1.0000,e61994135c917366160b266c9cdabbeeaae41398cd80b33d2dc32011d81ad51f
2026-08-24,gap,,,,,,,,,,,f33df9b41ed9e6975e010bb938321d25fe514e39cfef51a13ce31dd813a49304
2026-08-25,gap,,,,,,,,,,,1cb53de4e88d246d9666df5d535c0827eaf4f777fa010d0bcc1b22b0af904778
2026-08-26,gap,,,,,,,,,,,0e45936f4db42ef94215926dd3721ba9811a12b2ea43f5077626e2d383586281
2026-08-27,gap,,,,,,,,,,,ad214b7a1f91a5aa38675f56687cbc6df0ab0e13b22ea7726519d8bb6197a5d5
2026-08-28,gap,,,,,,,,,,,6599d4fff2444e49060cfa3a1e329221bc9a3388d8748f1a9ee2f5a22f93cbc2
2026-08-31,gap,,,,,,,,,,,4f1c6b83007701624ff4b8586a81d209e6120ac017711b2050db817f4bcef74e
2026-09-01,ok,-0.00510801,1031885.19,15,-0.00596242,990022.73,15,-0.00510801,1054896.34,15,1.0000,1cb755579c4702fffab6412ffb33e95b6967da11d89c9e30d97c8fc3caf9d0f2
2026-09-02,ok,-0.00632199,1025361.62,14,-0.00876977,981340.46,14,-0.00632199,1048227.29,14,1.0000,5cad44f8354dca19573298e187a0f600c85826d2fc18bf7b1af126f1deaf469e
