date,total_value,cash,n_positions
2026-06-30,1000000.0,1000000.0,0
2026-07-01,992297.93,358.83,7
2026-07-02,986459.53,148.95,8
2026-07-03,972927.61,148.95,8
2026-07-06,975838.07,148.95,8
2026-07-07,961395.89,148.95,8
2026-07-08,964579.42,148.95,8
2026-07-09,979686.06,148.95,8
2026-07-10,992364.26,148.95,8
2026-07-13,981330.54,148.95,8
2026-07-14,988519.26,148.95,8
2026-07-15,987367.4,148.95,8
2026-07-16,971908.03,148.95,8
2026-07-17,944367.76,292220.61,5
2026-07-20,953047.95,138.96,8
2026-07-21,965424.07,138.96,8
2026-07-22,958610.83,138.96,8
2026-07-23,943099.73,138.96,8
2026-07-24,928871.82,138.96,8
2026-07-27,934375.97,138.96,8
2026-07-28,912523.78,138.96,8
2026-07-29,921488.6,118871.33,7
2026-07-30,913809.7,80.92,10
2026-07-31,931283.88,80.92,10
2026-08-03,943149.96,139163.97,9
2026-08-04,944483.79,67.56,10
2026-08-05,964129.52,67.56,10
2026-08-06,961020.8,67.56,10
2026-08-07,956199.08,67.56,10
2026-08-10,963933.22,67.56,10
2026-08-11,967158.6,67.56,10
2026-08-12,975545.42,7986.01,9
2026-08-13,973135.33,82.9,11
2026-08-14,964640.17,82.9,11
2026-08-17,974851.65,82.9,11
2026-08-18,980676.35,117042.05,10
2026-08-19,966760.18,724.68,11
2026-08-20,975772.07,724.68,11
2026-08-21,992328.7,724.68,11
2026-08-24,997273.7,1956.66,10
2026-08-25,982610.85,158222.91,10
2026-08-26,990810.6,446.32,12
2026-08-27,1009606.47,9596.94,11
2026-08-28,1014430.48,169911.53,13
2026-08-31,995961.07,319.91,15
2026-09-01,990022.73,319.91,15
2026-09-02,981340.46,2945.58,14
