as_of,ticker,week_ending,weekly_close,weekly_low,weekly_high,sma44,close_above_sma,touch_ok,dist_to_sma_pct,is_signal,is_grade_a,crs_rank_dist
2026-07-31,3MINDIA,2026-07-30,34940.0,34700.0,35830.0,32966.32,True,True,5.99,True,True,0.1109
2026-07-31,AUBANK,2026-07-31,1047.3,1020.01,1067.76,961.89,True,True,8.88,True,True,0.0807
2026-07-31,GESHIP,2026-07-30,1371.3,1356.1,1440.0,1281.72,True,True,6.99,True,True,0.1433
2026-07-31,HEG,2026-07-30,659.25,635.5,683.0,553.43,True,False,19.12,True,True,0.2046
2026-07-31,M&MFIN,2026-07-30,392.55,352.65,398.8,325.92,True,False,20.44,True,True,0.1323
2026-07-31,SAIL,2026-07-31,169.03,160.02,175.9,157.45,True,True,7.35,True,True,0.0632
2026-07-31,SCI,2026-07-31,291.45,275.35,292.8,258.44,True,True,12.77,True,True,0.1242
2026-07-31,TVSMOTOR,2026-07-30,4208.4,3850.0,4219.0,3595.13,True,False,17.06,True,True,0.1214
2026-07-31,ASHOKLEY,2026-07-31,166.18,152.84,166.7,163.68,True,True,1.53,True,False,0.0089
2026-07-31,BANDHANBNK,2026-07-31,174.13,166.61,175.4,171.53,True,True,1.52,True,False,0.0194
2026-07-31,CHOLAFIN,2026-07-31,1849.9,1696.2,1863.1,1651.22,True,True,12.03,True,False,0.1334
2026-07-31,EICHERMOT,2026-07-31,7833.5,7568.74,7899.0,7162.0,True,True,9.38,True,False,0.1012
2026-07-31,GRAPHITE,2026-07-30,665.7,638.0,675.9,627.12,True,True,6.15,True,False,0.1026
2026-07-31,GVT&D,2026-07-31,4323.3,3962.2,4410.0,3760.13,True,True,14.98,True,False,0.1317
2026-07-31,JSWSTEEL,2026-07-31,1270.0,1234.3,1304.5,1199.12,True,True,5.91,True,False,0.065
2026-07-31,KEI,2026-07-31,4999.0,4745.5,5085.0,4580.79,True,True,9.13,True,False,0.0898
2026-07-31,LT,2026-07-31,3938.9,3793.0,3978.2,3926.86,True,True,0.31,True,False,0.0107
2026-07-31,NATIONALUM,2026-07-31,350.05,332.0,355.75,336.86,True,True,3.92,True,False,0.0095
2026-07-31,NMDC,2026-07-31,85.04,83.01,86.45,80.93,True,True,5.08,True,False,0.0501
2026-07-31,SBIN,2026-07-31,1027.4,1007.6,1034.3,1005.09,True,True,2.22,True,False,0.0187
2026-07-31,TATASTEEL,2026-07-31,189.69,182.01,191.84,187.36,True,True,1.24,True,False,0.0115
2026-07-31,TORNTPOWER,2026-07-30,1423.5,1413.2,1446.5,1396.21,True,True,1.95,True,False,0.056
2026-07-31,360ONE,2026-07-30,1142.9,1103.1,1170.0,1098.3,True,True,4.06,False,False,
2026-07-31,AADHARHFC,2026-07-30,490.75,487.1,507.6,487.4,True,True,0.69,False,False,
2026-07-31,AARTIIND,2026-07-31,489.1,475.1,516.95,423.62,True,False,15.46,False,False,
2026-07-31,AAVAS,2026-07-30,1362.6,1355.0,1398.0,1426.07,False,True,-4.45,False,False,
2026-07-31,ABB,2026-07-30,7291.5,7085.0,7458.0,6053.53,True,False,20.45,False,False,
2026-07-31,ABBOTINDIA,2026-07-30,27555.0,27500.0,28155.0,26948.49,True,True,2.25,False,False,
2026-07-31,ABCAPITAL,2026-07-30,394.05,388.0,401.05,347.26,True,False,13.48,False,False,
2026-07-31,ABFRL,2026-07-30,58.94,56.6,61.01,68.5,False,True,-13.96,False,False,
2026-07-31,ABREL,2026-07-30,1378.1,1364.9,1430.0,1449.64,False,True,-4.93,False,False,
2026-07-31,ABSLAMC,2026-07-30,1008.8,976.8,1029.3,898.85,True,False,12.23,False,False,
2026-07-31,ACC,2026-07-30,1356.5,1328.6,1387.7,1561.63,False,True,-13.14,False,False,
2026-07-31,ACE,2026-07-30,1057.2,1032.6,1087.5,939.76,True,False,12.5,False,False,
2026-07-31,ACMESOLAR,2026-07-30,360.7,344.7,371.0,277.14,True,False,30.15,False,False,
2026-07-31,ADANIENSOL,2026-07-31,1645.4,1625.0,1719.6,1165.44,True,False,41.18,False,False,
2026-07-31,ADANIENT,2026-07-31,3009.5,2972.7,3067.5,2440.98,True,False,23.29,False,False,
2026-07-31,ADANIGREEN,2026-07-31,1383.0,1350.0,1418.2,1135.65,True,False,21.78,False,False,
2026-07-31,ADANIPORTS,2026-07-31,1696.5,1650.0,1792.0,1562.34,True,True,8.59,False,False,
2026-07-31,ADANIPOWER,2026-07-31,211.31,207.11,215.75,175.11,True,False,20.67,False,False,
2026-07-31,AEGISLOG,2026-07-31,1280.8,1222.3,1360.0,803.43,True,False,59.42,False,False,
2026-07-31,AFCONS,2026-07-30,273.25,271.1,288.6,345.55,False,True,-20.92,False,False,
2026-07-31,AFFLE,2026-07-31,1586.0,1453.7,1669.6,1580.4,True,True,0.35,False,False,
2026-07-31,AIAENG,2026-07-30,4563.5,4520.0,4675.0,3931.83,True,False,16.07,False,False,
2026-07-31,AIIL,2026-07-30,545.9,538.5,573.8,528.87,True,True,3.22,False,False,
2026-07-31,AJANTPHARM,2026-07-31,3465.2,3301.0,3531.9,2852.81,True,False,21.47,False,False,
2026-07-31,AKUMS,2026-07-30,660.6,656.75,703.0,501.69,True,False,31.68,False,False,
2026-07-31,ALIVUS,2026-07-31,1160.0,1089.8,1177.6,982.48,True,False,18.07,False,False,
2026-07-31,ALKEM,2026-07-30,5816.5,5585.0,5882.5,5512.43,True,True,5.52,False,False,
2026-07-31,ALKYLAMINE,2026-07-30,1787.2,1777.0,1891.4,1636.65,True,False,9.2,False,False,
2026-07-31,ALOKINDS,2026-07-31,11.92,11.81,12.33,14.61,False,True,-18.41,False,False,
2026-07-31,AMBER,2026-07-30,7401.0,7195.0,7532.5,7329.06,True,True,0.98,False,False,
2026-07-31,AMBUJACEM,2026-07-31,432.2,418.1,443.0,487.46,False,True,-11.34,False,False,
2026-07-31,ANANDRATHI,2026-07-30,2039.3,2003.1,2065.4,1652.5,True,False,23.41,False,False,
2026-07-31,ANANTRAJ,2026-07-31,624.5,585.34,632.4,548.16,True,True,13.93,False,False,
2026-07-31,ANGELONE,2026-07-31,297.95,290.05,312.5,275.77,True,True,8.04,False,False,
2026-07-31,APARINDS,2026-07-31,14348.0,13289.0,14502.0,10743.4,True,False,33.55,False,False,
2026-07-31,APLAPOLLO,2026-07-31,1819.5,1805.0,1908.0,1900.42,False,True,-4.26,False,False,
2026-07-31,APLLTD,2026-07-30,802.75,790.3,818.25,791.14,True,True,1.47,False,False,
2026-07-31,APOLLOHOSP,2026-07-30,8988.0,8744.0,9009.0,7753.69,True,False,15.92,False,False,
2026-07-31,APOLLOTYRE,2026-07-30,423.2,418.0,431.4,453.87,False,True,-6.76,False,False,
2026-07-31,APTUS,2026-07-31,261.2,256.0,288.4,266.77,False,True,-2.09,False,False,
2026-07-31,ARE&M,2026-07-30,906.85,859.05,921.8,871.59,True,True,4.05,False,False,
2026-07-31,ASAHIINDIA,2026-07-30,869.3,862.5,899.0,909.74,False,True,-4.45,False,False,
2026-07-31,ASIANPAINT,2026-07-30,2746.2,2664.3,2864.0,2558.72,True,True,7.33,False,False,
2026-07-31,ASTERDM,2026-07-31,822.15,786.05,839.4,684.41,True,False,20.13,False,False,
2026-07-31,ASTRAL,2026-07-30,1471.9,1448.1,1504.4,1503.34,False,True,-2.09,False,False,
2026-07-31,ASTRAZEN,2026-07-30,8058.5,7969.4,8192.9,8590.37,False,True,-6.19,False,False,
2026-07-31,ATGL,2026-07-31,651.45,643.15,665.5,612.11,True,True,6.43,False,False,
2026-07-31,ATUL,2026-07-31,6736.5,6550.0,6900.0,6297.84,True,True,6.97,False,False,
2026-07-31,AUROPHARMA,2026-07-30,1576.3,1531.9,1607.5,1307.38,True,False,20.57,False,False,
2026-07-31,AWL,2026-07-31,189.44,185.85,199.9,213.84,False,True,-11.41,False,False,
2026-07-31,AXISBANK,2026-07-31,1229.5,1214.4,1239.7,1279.45,False,True,-3.9,False,False,
2026-07-31,BAJAJ-AUTO,2026-07-30,11432.0,11094.0,11532.0,9513.08,True,False,20.17,False,False,
2026-07-31,BAJAJFINSV,2026-07-31,2029.1,1885.0,2036.6,1915.34,True,True,5.94,False,False,
2026-07-31,BAJAJHFL,2026-07-31,86.02,84.98,87.95,92.13,False,True,-6.63,False,False,
2026-07-31,BAJAJHLDNG,2026-07-30,10970.0,10631.0,10990.0,10761.35,True,True,1.94,False,False,
2026-07-31,BAJFINANCE,2026-07-31,1141.2,1026.6,1151.5,969.95,True,True,17.66,False,False,
2026-07-31,BALKRISIND,2026-07-31,2473.5,2005.0,2511.2,2277.71,True,True,8.6,False,False,
2026-07-31,BALRAMCHIN,2026-07-30,596.3,594.0,618.0,487.45,True,False,22.33,False,False,
2026-07-31,BANKBARODA,2026-07-31,242.6,238.45,247.7,270.72,False,True,-10.39,False,False,
2026-07-31,BANKINDIA,2026-07-31,137.95,135.62,145.39,142.55,False,True,-3.23,False,False,
2026-07-31,BASF,2026-07-30,3687.9,3662.46,3740.0,3774.57,False,True,-2.3,False,False,
2026-07-31,BATAINDIA,2026-07-31,696.15,682.17,701.9,826.65,False,True,-15.79,False,False,
2026-07-31,BAYERCROP,2026-07-30,4226.5,4200.0,4279.8,4534.66,False,True,-6.8,False,False,
2026-07-31,BBTC,2026-07-31,1497.1,1461.9,1506.0,1671.65,False,True,-10.44,False,False,
2026-07-31,BDL,2026-07-31,1253.1,1237.1,1285.7,1379.42,False,True,-9.16,False,False,
2026-07-31,BEL,2026-07-31,387.85,382.2,408.45,419.63,False,True,-7.57,False,False,
2026-07-31,BEML,2026-07-31,1750.4,1726.9,1799.2,1798.95,False,True,-2.7,False,False,
2026-07-31,BERGEPAINT,2026-07-30,521.35,497.25,528.1,503.31,True,True,3.58,False,False,
2026-07-31,BHARATFORG,2026-07-31,2199.8,2141.4,2212.6,1687.43,True,False,30.36,False,False,
2026-07-31,BHARTIARTL,2026-07-31,1972.0,1890.0,1976.4,1924.64,True,True,2.46,False,False,
2026-07-31,BHARTIHEXA,2026-07-31,1607.5,1578.33,1659.84,1611.73,False,True,-0.26,False,False,
2026-07-31,BHEL,2026-07-31,407.0,395.5,422.4,309.35,True,False,31.56,False,False,
2026-07-31,BIKAJI,2026-07-30,643.7,626.15,654.15,673.5,False,True,-4.42,False,False,
2026-07-31,BIOCON,2026-07-30,425.35,421.35,439.95,388.72,True,False,9.42,False,False,
